,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2019,Q4 2019,Q3 2020,Q4 2020
"Other Curr. Lblts, Total",,,,0.0,0.0,139.0,65.0,Balance Sheet,,,,
Total Current Liabilities,,,,34.0,13.0,194.0,106.0,Balance Sheet,,,,
Long Term Debt,,,,13.0,13.0,207.0,196.0,Balance Sheet,,,,
Capital Lease Obligations,,,,8.0,8.0,8.0,7.0,Balance Sheet,,,,
Total Long Term Debt,,,,21.0,21.0,214.0,203.0,Balance Sheet,,,,
Total Debt,,,,43.0,22.0,216.0,204.0,Balance Sheet,,,,
Deferred Income Tax,,,,,,8.0,15.0,Balance Sheet,,,,
"Other Liabilities, Total",,,,1.0,1.0,2.0,2.0,Balance Sheet,,,,
Total Liabilities,,,,56.0,35.0,418.0,325.0,Balance Sheet,,,,
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Additional Paid-In Capital,,,,71.0,72.0,173.0,174.0,Balance Sheet,,,,
Ret. Earn.(Accum. Deficit),,,,-11.0,-12.0,-26.0,-30.0,Balance Sheet,,,,
"Other Equity, Total",,,,,,-1.0,-9.0,Balance Sheet,,,,
Total Equity,,,,60.0,59.0,146.0,135.0,Balance Sheet,,,,
Total Liabilities & Shareholders’ Equity,,,,116.0,95.0,564.0,460.0,Balance Sheet,,,,
Ttl Comm. Shares Outs.,,,,26.0,26.0,26.0,26.0,Balance Sheet,,,,
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,,,,
Total Revenue,,,,12254.0,13250.0,21052.0,62174.0,Income Statement,,,,
"Sell/Gen/AdminExpenses,Tot",,,,6713.0,6690.0,13310.0,49036.0,Income Statement,,,,
Research & Development,,,,3462.0,2542.0,3029.0,2085.0,Income Statement,,,,
Depreciation/Amortization,,,,3957.0,3954.0,5051.0,14348.0,Income Statement,,,,
Unusual Expense (Income),,,,3841.0,2221.0,14161.0,835.0,Income Statement,,,,
Total Operating Expense,,,,17973.0,15407.0,35551.0,66304.0,Income Statement,,,,
Total Operating Income,,,,-5719.0,-2157.0,-14499.0,-4130.0,Income Statement,,,,
"Inter Expse,Net Non-Operat",,,,-1226.0,-1640.0,-1227.0,0.0,Income Statement,,,,
"Inter/Invest Inc, Non-Oper",,,,-1097.0,3388.0,3411.0,823.0,Income Statement,,,,
Income Before Tax,,,,-8042.0,-409.0,-12315.0,-3307.0,Income Statement,,,,
Income Tax - Total,,,,-1316.0,484.0,596.0,1061.0,Income Statement,,,,
Income After Tax,,,,-6726.0,-893.0,-12911.0,-4368.0,Income Statement,,,,
Equity In Affiliates,,,,3168.0,,,,Income Statement,,,,
Net Inc Before Extra Items,,,,-3558.0,-893.0,-12911.0,-4368.0,Income Statement,,,,
Total Net Income,,,,-3558.0,-893.0,-12911.0,-4368.0,Income Statement,,,,
Income Available to Common Excl. Extra. Items,,,,-3558.0,-893.0,-12911.0,-4368.0,Income Statement,,,,
Income Available to Common Incl. Extra. Items,,,,-3558.0,-893.0,-12911.0,-4368.0,Income Statement,,,,
Basic/Primary Weighted Average Shares,,,,25553.0,25593.0,26158.0,33454.0,Income Statement,,,,
Basic/Primary EPS Excl. Extra. Items,,,,-0.14,-0.03,-0.49,-0.13,Income Statement,,,,
Basic/Primary EPS Incl. Extra. Items,,,,-0.14,-0.03,-0.49,-0.13,Income Statement,,,,
Diluted Weighted Average Shares,,,,25553.0,25593.0,26158.0,33454.0,Income Statement,,,,
Diluted EPS Excl. Extra. Items,,,,-0.14,-0.03,-0.49,-0.13,Income Statement,,,,
Diluted EPS Incl. Extra. Items,,,,-0.14,-0.03,-0.49,-0.13,Income Statement,,,,
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement,,,,
Pro Forma Net Income,,,,,,,,Income Statement,,,,
"Interest Expense, Suppl",,,,1226.0,1640.0,1227.0,0.0,Income Statement,,,,
"Depreciat/Amort, Suppl",,,,3957.0,3954.0,5051.0,14348.0,Income Statement,,,,
Total Special Items,,,,3841.0,2221.0,14161.0,835.0,Income Statement,,,,
Normalzd Income Before Tax,,,,-4201.0,1812.0,1846.0,-2472.0,Income Statement,,,,
Efct/SpecItemsIncTxs (STEC),,,,1344.0,777.0,4956.0,292.0,Income Statement,,,,
IncTxsExcl ImpctofSpec Itms,,,,28.0,1261.0,5552.0,1353.0,Income Statement,,,,
Normalized Income After Tax,,,,-4229.0,551.0,-3706.0,-3825.0,Income Statement,,,,
Normalzd Inc Avail to Common,,,,-1061.0,551.0,-3706.0,-3825.0,Income Statement,,,,
Basic Normalized EPS,,,,-0.04,0.02,-0.14,-0.11,Income Statement,,,,
Diluted Normalized EPS,,,,-0.04,0.02,-0.14,-0.11,Income Statement,,,,
Date,,,,,,,,Cash Flow,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00
Net Income,,,,,,,,Cash Flow,-3330.0,-3978.0,4020.0,6514.0
Depreciation/Depletion,,,,,,,,Cash Flow,7115.0,9685.0,8496.0,11657.0
Unusual Items,,,,,,,,Cash Flow,0.0,,1390.0,2430.0
Equity in Net Earnings/Loss,,,,,,,,Cash Flow,3137.0,3924.0,121.0,-1393.0
Other Non-Cash Items,,,,,,,,Cash Flow,4769.0,7170.0,5766.0,8631.0
Non-Cash Items,,,,,,,,Cash Flow,7906.0,11094.0,7277.0,9668.0
"Cash Taxes Pd, Supplemental",,,,,,,,Cash Flow,327.0,461.0,408.0,606.0
"Cash Interest Pd, Suppl",,,,,,,,Cash Flow,501.0,645.0,473.0,684.0
Accounts Receivable,,,,,,,,Cash Flow,-275.0,-364.0,-2395.0,-4228.0
Prepaid Expenses,,,,,,,,Cash Flow,-495.0,-397.0,-396.0,-541.0
Other Assets,,,,,,,,Cash Flow,-202.0,-152.0,282.0,240.0
Accrued Expenses,,,,,,,,Cash Flow,368.0,718.0,863.0,1087.0
Payable/Accrued,,,,,,,,Cash Flow,-422.0,-460.0,288.0,1411.0
Changes in Working Capital,,,,,,,,Cash Flow,-1854.0,-1761.0,-2239.0,-3321.0
Total Cash from Operations,,,,,,,,Cash Flow,9837.0,15040.0,17554.0,24518.0
Purchase of Fixed Assets,,,,,,,,Cash Flow,-613.0,-756.0,-422.0,-928.0
Purchase/Acq of Intangibles,,,,,,,,Cash Flow,-8249.0,-11454.0,-9452.0,-13128.0
Capital Expenditures,,,,,,,,Cash Flow,-8862.0,-12210.0,-9874.0,-14056.0
Sale/Maturity of Investment,,,,,,,,Cash Flow,,,495.0,3021.0
Purchase of Investments,,,,,,,,Cash Flow,-4270.0,-5067.0,-1773.0,-1773.0
Other Investing Cash Flow,,,,,,,,Cash Flow,-286.0,-147.0,132.0,112.0
"OtherInvestCashFlowItms,Tot",,,,,,,,Cash Flow,-4556.0,-5214.0,-1146.0,1360.0
Total Cash from Investing,,,,,,,,Cash Flow,-13418.0,-17424.0,-11020.0,-12696.0
Financing Cash Flow Items,,,,,,,,Cash Flow,0.0,,-1390.0,
"Common Stock, Net",,,,,,,,Cash Flow,,0.0,,43380.0
Options Exercised,,,,,,,,Cash Flow,706.0,0.0,554.0,4.0
"Iss (Retirmnt) of Stock,Net",,,,,,,,Cash Flow,706.0,0.0,554.0,43384.0
"Long Term Debt, Net",,,,,,,,Cash Flow,-987.0,-1334.0,-1073.0,-1455.0
Total Debt Issued,,,,,,,,Cash Flow,6500.0,6500.0,2500.0,2500.0
Total Debt Reduction,,,,,,,,Cash Flow,0.0,0.0,-2500.0,-2500.0
"Iss (Retirmnt) of Debt, Net",,,,,,,,Cash Flow,5513.0,5166.0,-1073.0,-1455.0
Total Cash From Financing,,,,,,,,Cash Flow,6219.0,5166.0,-1909.0,41929.0
Net Change in Cash,,,,,,,,Cash Flow,2638.0,2782.0,4625.0,53751.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,,Cash Flow,3234.0,3234.0,6016.0,6016.0
NetCash-EndBal/RsrvforFutUse,,,,,,,,Cash Flow,5872.0,6016.0,10641.0,59767.0
"Depreciation, Supplemental",,,,,,,,Cash Flow,7115.0,9685.0,8496.0,11657.0
Free Cash Flow,,,,,,,,,975.0,2830.0,7680.0,10462.0
FCF Growth,,,,,,,,,,1.9025641025641025,1.7137809187279154,0.3622395833333334
