,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2012,Q2 2013,Q4 2013,Q4 2014
Amortiz of Intangibles,,,,,,,19981.0,19936.0,18489.0,8497.0,Income Statement,,,,
Depreciation/Amortization,,,,,,,144128.0,141292.0,136726.0,122046.0,Income Statement,,,,
Unusual Expense (Income),,,,,,,0.0,0.0,0.0,0.0,Income Statement,,,,
"Other Operat Expse, Total",,,,,,,6102.0,7215.0,11246.0,8417.0,Income Statement,,,,
Total Operating Expense,,,,,,,584973.0,610842.0,505285.0,440383.0,Income Statement,,,,
Total Operating Income,,,,,,,-104365.0,-135897.0,-209178.0,-198546.0,Income Statement,,,,
"Inter Expse,Net Non-Operat",,,,,,,-85448.0,-87087.0,-91221.0,-93747.0,Income Statement,,,,
"Inter Income, Non-Operating",,,,,,,1457.0,990.0,7221.0,8814.0,Income Statement,,,,
"Invest Income, Non-Operat",,,,,,,1516.0,2778.0,584.0,-505.0,Income Statement,,,,
"Inter/Invest Inc, Non-Oper",,,,,,,2973.0,3768.0,7805.0,8309.0,Income Statement,,,,
OtherNon-OperatInc (Expnse),,,,,,,-370.0,-655.0,-1461.0,-610.0,Income Statement,,,,
"Other, Net",,,,,,,-370.0,-655.0,-1461.0,-610.0,Income Statement,,,,
Income Before Tax,,,,,,,-187210.0,-219871.0,-294055.0,-284594.0,Income Statement,,,,
Income Tax - Total,,,,,,,2731.0,1973.0,617.0,2028.0,Income Statement,,,,
Income After Tax,,,,,,,-189941.0,-221844.0,-294672.0,-286622.0,Income Statement,,,,
Minority Interest,,,,,,,30004.0,38560.0,43213.0,42780.0,Income Statement,,,,
Net Inc Before Extra Items,,,,,,,-159937.0,-183284.0,-251459.0,-243842.0,Income Statement,,,,
Total Net Income,,,,,,,-159937.0,-183284.0,-251459.0,-243842.0,Income Statement,,,,
Income Available to Common Excl. Extra. Items,,,,,,,-159937.0,-183284.0,-251459.0,-243842.0,Income Statement,,,,
Income Available to Common Incl. Extra. Items,,,,,,,-159937.0,-183284.0,-251459.0,-243842.0,Income Statement,,,,
Basic/Primary Weighted Average Shares,,,,,,,1428527.0,1422175.0,1421444.0,1386721.0,Income Statement,,,,
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.11,-0.13,-0.18,-0.18,Income Statement,,,,
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.11,-0.13,-0.18,-0.18,Income Statement,,,,
Diluted Weighted Average Shares,,,,,,,1428527.0,1422175.0,1421444.0,1386721.0,Income Statement,,,,
Diluted EPS Excl. Extra. Items,,,,,,,-0.11,-0.13,-0.18,-0.18,Income Statement,,,,
Diluted EPS Incl. Extra. Items,,,,,,,-0.11,-0.13,-0.18,-0.18,Income Statement,,,,
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement,,,,
Pro Forma Net Income,,,,,,,,,,,Income Statement,,,,
"Interest Expense, Suppl",,,,,,,85448.0,87087.0,91221.0,93747.0,Income Statement,,,,
"Depreciat/Amort, Suppl",,,,,,,124147.0,121356.0,118237.0,113549.0,Income Statement,,,,
Total Special Items,,,,,,,0.0,0.0,0.0,0.0,Income Statement,,,,
Normalzd Income Before Tax,,,,,,,-187210.0,-219871.0,-294055.0,-284594.0,Income Statement,,,,
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,0.0,0.0,0.0,Income Statement,,,,
IncTxsExcl ImpctofSpec Itms,,,,,,,2731.0,1973.0,617.0,2028.0,Income Statement,,,,
Normalized Income After Tax,,,,,,,-189941.0,-221844.0,-294672.0,-286622.0,Income Statement,,,,
Normalzd Inc Avail to Common,,,,,,,-159937.0,-183284.0,-251459.0,-243842.0,Income Statement,,,,
Basic Normalized EPS,,,,,,,-0.11,-0.13,-0.18,-0.18,Income Statement,,,,
Diluted Normalized EPS,,,,,,,-0.11,-0.13,-0.18,-0.18,Income Statement,,,,
Date,,,,,,,,,,,Cash Flow,2012-12-31 00:00:00,2013-06-30 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00
Net Income,,,,,,,,,,,Cash Flow,399.0,,578.0,527.0
Depreciation/Depletion,,,,,,,,,,,Cash Flow,379.0,,383.0,368.0
Deferred Taxes,,,,,,,,,,,Cash Flow,-4.0,,-4.0,-4.0
Unusual Items,,,,,,,,,,,Cash Flow,0.0,,64.0,-13.0
Other Non-Cash Items,,,,,,,,,,,Cash Flow,59.0,,96.0,97.0
Non-Cash Items,,,,,,,,,,,Cash Flow,60.0,,160.0,83.0
"Cash Taxes Pd, Supplemental",,,,,,,,,,,Cash Flow,1.0,,0.0,7.0
"Cash Interest Pd, Suppl",,,,,,,,,,,Cash Flow,102.0,127.0,128.0,95.0
Accounts Receivable,,,,,,,,,,,Cash Flow,-42.0,,-14.0,-9.0
Inventories,,,,,,,,,,,Cash Flow,-1.0,,-2.0,-5.0
Prepaid Expenses,,,,,,,,,,,Cash Flow,-6.0,,-27.0,-53.0
Accounts Payable,,,,,,,,,,,Cash Flow,2.0,,-4.0,5.0
Accrued Expenses,,,,,,,,,,,Cash Flow,165.0,,72.0,-43.0
Changes in Working Capital,,,,,,,,,,,Cash Flow,117.0,520.0,35.0,-81.0
Total Cash from Operations,,,,,,,,,,,Cash Flow,950.0,520.0,1152.0,895.0
Purchase of Fixed Assets,,,,,,,,,,,Cash Flow,-13.0,-168.0,-754.0,-1422.0
Purchase/Acq of Intangibles,,,,,,,,,,,Cash Flow,-54.0,-30.0,-64.0,-51.0
Capital Expenditures,,,,,,,,,,,Cash Flow,-67.0,-199.0,-818.0,-1472.0
Sale of Business,,,,,,,,,,,Cash Flow,,,,29.0
Sale of Fixed Assets,,,,,,,,,,,Cash Flow,0.0,0.0,2.0,1.0
Sale/Maturity of Investment,,,,,,,,,,,Cash Flow,,,,627.0
Purchase of Investments,,,,,,,,,,,Cash Flow,-220.0,-40.0,-627.0,-111.0
Other Investing Cash Flow,,,,,,,,,,,Cash Flow,-1049.0,300.0,234.0,-679.0
"OtherInvestCashFlowItms,Tot",,,,,,,,,,,Cash Flow,-1269.0,260.0,-391.0,-133.0
Total Cash from Investing,,,,,,,,,,,Cash Flow,-1336.0,62.0,-1209.0,-1605.0
Financing Cash Flow Items,,,,,,,,,,,Cash Flow,66.0,-124.0,61.0,78.0
Total Cash Dividends Paid,,,,,,,,,,,Cash Flow,,,,-343.0
Sale/Issuance of Common,,,,,,,,,,,Cash Flow,,339.0,338.0,122.0
Repurch/Retirement Common,,,,,,,,,,,Cash Flow,,-7.0,,-300.0
"Common Stock, Net",,,,,,,,,,,Cash Flow,,332.0,338.0,-178.0
Options Exercised,,,,,,,,,,,Cash Flow,4.0,1.0,4.0,1.0
"Iss (Retirmnt) of Stock,Net",,,,,,,,,,,Cash Flow,4.0,333.0,342.0,-178.0
Long Term Debt Issued,,,,,,,,,,,Cash Flow,868.0,1000.0,1000.0,1633.0
Long Term Debt Reduction,,,,,,,,,,,Cash Flow,-3.0,-1537.0,-1668.0,-263.0
"Long Term Debt, Net",,,,,,,,,,,Cash Flow,865.0,-537.0,-668.0,1370.0
Total Debt Reduction,,,,,,,,,,,Cash Flow,,,0.0,0.0
"Iss (Retirmnt) of Debt, Net",,,,,,,,,,,Cash Flow,865.0,-537.0,-668.0,1370.0
Total Cash From Financing,,,,,,,,,,,Cash Flow,935.0,-327.0,-265.0,927.0
Foreign Exchange Effects,,,,,,,,,,,Cash Flow,2.0,-4.0,-5.0,0.0
Net Change in Cash,,,,,,,,,,,Cash Flow,551.0,250.0,-327.0,216.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,,,,,Cash Flow,1158.0,1709.0,1709.0,1382.0
NetCash-EndBal/RsrvforFutUse,,,,,,,,,,,Cash Flow,1709.0,1959.0,1382.0,1598.0
"Depreciation, Supplemental",,,,,,,,,,,Cash Flow,379.0,,383.0,368.0
Free Cash Flow,,,,,,,,,,,,883.0,321.0,334.0,-577.0
FCF Growth,,,,,,,,,,,,,-0.636466591166478,0.04049844236760114,-2.727544910179641
