,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,-50369.0,-16697.0,-37772.0,-58750.0,Cash Flow
Depreciation/Depletion,,,,1.0,6.0,Cash Flow
Unusual Items,,7880.0,3044.0,3044.0,3044.0,Cash Flow
Other Non-Cash Items,,12513.0,1187.0,2287.0,3336.0,Cash Flow
Non-Cash Items,,20393.0,4231.0,5331.0,6380.0,Cash Flow
Accounts Receivable,,4027.0,,,,Cash Flow
Prepaid Expenses,,-1782.0,-5612.0,-6788.0,-4628.0,Cash Flow
Accounts Payable,,-3115.0,3683.0,1409.0,1653.0,Cash Flow
Accrued Expenses,,,-3318.0,552.0,2959.0,Cash Flow
Changes in Working Capital,,-871.0,-5247.0,-4826.0,-16.0,Cash Flow
Total Cash from Operations,,-30847.0,-17713.0,-37266.0,-52381.0,Cash Flow
Capital Expenditures,,,,-42.0,-105.0,Cash Flow
Sale/Maturity of Investment,,,10000.0,60000.0,105000.0,Cash Flow
Purchase of Investments,,,-159839.0,-227226.0,-335391.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-149839.0,-167226.0,-230391.0,Cash Flow
Total Cash from Investing,,,-149839.0,-167268.0,-230496.0,Cash Flow
Financing Cash Flow Items,,-1997.0,-2219.0,-2219.0,-2564.0,Cash Flow
"Common Stock, Net",,,197767.0,197767.0,440992.0,Cash Flow
Sale/Issuance of Preferred,,142865.0,,,,Cash Flow
Repurch/Retirement Preferd,,-898.0,,,,Cash Flow
"Preferred Stock, Net",,141967.0,,,,Cash Flow
Options Exercised,,1404.0,,0.0,400.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,143371.0,197767.0,197767.0,441392.0,Cash Flow
Total Cash From Financing,,141375.0,195548.0,195548.0,438828.0,Cash Flow
Net Change in Cash,,110528.0,27996.0,-8986.0,155951.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,26078.0,136606.0,136606.0,136606.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,136606.0,164602.0,127620.0,292557.0,Cash Flow
"Depreciation, Supplemental",,,,1.0,6.0,Cash Flow
Free Cash Flow,,,,-37308.0,-52486.0,
FCF Growth,,,,,0.40682963439476794,
