,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Total Equity,,,,,,469.0,492.0,517.0,544.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,982.0,1026.0,1070.0,1095.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,59.0,60.0,61.0,61.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,17.0,16.0,15.0,15.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,76.0,76.0,76.0,76.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,129916.0,145899.0,170215.0,184481.0,Income Statement
"Cost of Revenue, Total",,,,,,91343.0,100815.0,111234.0,117215.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,12861.0,14094.0,14740.0,15970.0,Income Statement
Unusual Expense (Income),,,,,,0.0,,,,Income Statement
Total Operating Expense,,,,,,104204.0,114909.0,125974.0,133185.0,Income Statement
Total Operating Income,,,,,,25712.0,30990.0,44241.0,51296.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-142.0,-100.0,304.0,1140.0,Income Statement
"Other, Net",,,,,,1902.0,-1115.0,0.0,1125.0,Income Statement
Income Before Tax,,,,,,27472.0,29775.0,44545.0,53561.0,Income Statement
Income Tax - Total,,,,,,7089.0,2692.0,8765.0,12041.0,Income Statement
Income After Tax,,,,,,20383.0,27083.0,35780.0,41520.0,Income Statement
Minority Interest,,,,,,-5359.0,-6467.0,-8636.0,-10095.0,Income Statement
Net Inc Before Extra Items,,,,,,15024.0,20616.0,27144.0,31425.0,Income Statement
Total Net Income,,,,,,15024.0,20616.0,27144.0,31425.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,15024.0,20616.0,27144.0,31425.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,15024.0,20616.0,27144.0,31425.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,59028.0,59288.0,60523.0,60665.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.25,0.35,0.45,0.52,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.25,0.35,0.45,0.52,Income Statement
Dilution Adjustment,,,,,,4253.0,4953.0,6759.0,0.0,Income Statement
Diluted Weighted Average Shares,,,,,,76293.0,76162.0,76322.0,61106.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.25,0.34,0.44,0.51,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.25,0.34,0.44,0.51,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.1,0.11,0.11,0.11,Income Statement
Gross Divid - Common Stock,,,,,,5972.0,6569.0,6724.0,6787.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,8828.0,8677.0,8915.0,8399.0,Income Statement
Total Special Items,,,,,,0.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,27472.0,29775.0,44545.0,53561.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,7089.0,2692.0,8765.0,12041.0,Income Statement
Normalized Income After Tax,,,,,,20383.0,27083.0,35780.0,41520.0,Income Statement
Normalzd Inc Avail to Common,,,,,,15024.0,20616.0,27144.0,31425.0,Income Statement
Basic Normalized EPS,,,,,,0.25,0.35,0.45,0.52,Income Statement
Diluted Normalized EPS,,,,,,0.25,0.34,0.44,0.51,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,67470.0,27083.0,62863.0,104383.0,Cash Flow
Depreciation/Depletion,,,,,,36308.0,8677.0,17592.0,25991.0,Cash Flow
Deferred Taxes,,,,,,4829.0,1919.0,8504.0,19230.0,Cash Flow
Unusual Items,,,,,,-2284.0,822.0,597.0,-480.0,Cash Flow
Other Non-Cash Items,,,,,,12588.0,3078.0,6299.0,10033.0,Cash Flow
Non-Cash Items,,,,,,10304.0,3900.0,6896.0,9553.0,Cash Flow
Accounts Receivable,,,,,,-45492.0,-14681.0,-36484.0,-42906.0,Cash Flow
Inventories,,,,,,-36083.0,-16648.0,-30670.0,-45545.0,Cash Flow
Prepaid Expenses,,,,,,-2789.0,-463.0,-210.0,-4265.0,Cash Flow
Accounts Payable,,,,,,22281.0,6934.0,14238.0,20537.0,Cash Flow
Accrued Expenses,,,,,,16628.0,488.0,5494.0,3293.0,Cash Flow
Changes in Working Capital,,,,,,-55152.0,-24370.0,-47632.0,-80552.0,Cash Flow
Total Cash from Operations,,,,,,63759.0,17209.0,48223.0,78605.0,Cash Flow
Capital Expenditures,,,,,,-13939.0,-7652.0,-13752.0,-21197.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,2306.0,358.0,876.0,1701.0,Cash Flow
Total Cash from Investing,,,,,,-11633.0,-7294.0,-12876.0,-19496.0,Cash Flow
Financing Cash Flow Items,,,,,,-9742.0,-1654.0,-3348.0,-8172.0,Cash Flow
Total Cash Dividends Paid,,,,,,-21158.0,-6664.0,-13335.0,-20015.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-3283.0,-4424.0,-4495.0,-4495.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-5205.0,-1438.0,-2987.0,-4505.0,Cash Flow
Total Cash From Financing,,,,,,-39388.0,-14180.0,-24165.0,-37187.0,Cash Flow
Foreign Exchange Effects,,,,,,272.0,337.0,-1167.0,-2968.0,Cash Flow
Net Change in Cash,,,,,,13010.0,-3928.0,10015.0,18954.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,288659.0,301669.0,301669.0,301669.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,301669.0,297741.0,311684.0,320623.0,Cash Flow
"Depreciation, Supplemental",,,,,,36308.0,8677.0,17592.0,25991.0,Cash Flow
Free Cash Flow,,,,,,49820.0,9557.0,34471.0,57408.0,
FCF Growth,,,,,,,-0.808169409875552,2.606885005754944,0.6653999013663658,
