,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
"Short Term Debt, Net",,,,,-111736.0,-8967.0,-22034.0,-139684.0,Cash Flow
Long Term Debt Issued,,,,,0.0,,278.0,266.0,Cash Flow
Long Term Debt Reduction,,,,,-13309.0,-3325.0,-6653.0,-10427.0,Cash Flow
"Long Term Debt, Net",,,,,48320.0,6012.0,60759.0,130172.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-63416.0,-2955.0,38725.0,-9512.0,Cash Flow
Total Cash From Financing,,,,,-86300.0,-2017.0,18781.0,-32920.0,Cash Flow
Foreign Exchange Effects,,,,,-3177.0,-1485.0,-6603.0,-12311.0,Cash Flow
Net Change in Cash,,,,,-39329.0,-39696.0,-46974.0,-66343.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,219966.0,180637.0,180637.0,180637.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,180637.0,140941.0,133663.0,114294.0,Cash Flow
"Depreciation, Supplemental",,,,,240041.0,57768.0,116212.0,173997.0,Cash Flow
Free Cash Flow,,,,,94816.0,-34394.0,8459.0,51913.0,
FCF Growth,,,,,,-1.3627446844414446,-1.245944060010467,5.137013831422154,
