,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Curr. Port. LT Dbt/Cap Ls.,,,,,,,18.0,18.0,23.0,23.0,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,,15.0,14.0,15.0,16.0,Balance Sheet,
Total Current Liabilities,,,,,,,72.0,72.0,86.0,93.0,Balance Sheet,
Total Long Term Debt,,,,,,,324.0,323.0,479.0,498.0,Balance Sheet,
Total Debt,,,,,,,342.0,342.0,502.0,521.0,Balance Sheet,
Deferred Income Tax,,,,,,,2.0,7.0,29.0,35.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,60.0,55.0,49.0,32.0,Balance Sheet,
Total Liabilities,,,,,,,458.0,458.0,643.0,657.0,Balance Sheet,
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,188.0,189.0,191.0,192.0,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,-20.0,-4.0,18.0,40.0,Balance Sheet,
Treasury Stock - Common,,,,,,,-9.0,-23.0,-42.0,-65.0,Balance Sheet,
"Other Equity, Total",,,,,,,0.0,5.0,7.0,13.0,Balance Sheet,
Total Equity,,,,,,,158.0,167.0,174.0,181.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,616.0,625.0,817.0,838.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,93.0,92.0,91.0,89.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,4.0,6.0,Balance Sheet,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,
Total Revenue,,,,,,,192313.0,196891.0,227869.0,266967.0,Income Statement,
"Cost of Revenue, Total",,,,,,,129630.0,132620.0,155431.0,187534.0,Income Statement,
"Sell/Gen/AdminExpenses,Tot",,,,,,,32177.0,31119.0,32719.0,39796.0,Income Statement,
Depreciation,,,,,,,5816.0,5841.0,6598.0,8136.0,Income Statement,
Amortiz of Intangibles,,,,,,,3551.0,3548.0,3574.0,5156.0,Income Statement,
Depreciation/Amortization,,,,,,,9367.0,9389.0,10172.0,13292.0,Income Statement,
Unusual Expense (Income),,,,,,,1152.0,,,,Income Statement,
"Other Operat Expse, Total",,,,,,,4076.0,2556.0,2232.0,3106.0,Income Statement,
Total Operating Expense,,,,,,,176402.0,175684.0,200554.0,243728.0,Income Statement,
Total Operating Income,,,,,,,15911.0,21207.0,27315.0,23239.0,Income Statement,
"Inter Expse,Net Non-Operat",,,,,,,-2966.0,-4001.0,-3791.0,-6239.0,Income Statement,
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,,,,Income Statement,
OtherNon-OperatInc (Expnse),,,,,,,-2895.0,3417.0,5722.0,10358.0,Income Statement,
"Other, Net",,,,,,,-2895.0,3417.0,5722.0,10358.0,Income Statement,
Income Before Tax,,,,,,,10050.0,20623.0,29246.0,27358.0,Income Statement,
Income Tax - Total,,,,,,,3244.0,4835.0,6782.0,4914.0,Income Statement,
Income After Tax,,,,,,,6806.0,15788.0,22464.0,22444.0,Income Statement,
Net Inc Before Extra Items,,,,,,,6806.0,15788.0,22464.0,22444.0,Income Statement,
Total Net Income,,,,,,,6806.0,15788.0,22464.0,22444.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,6806.0,15788.0,22464.0,22444.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,6806.0,15788.0,22464.0,22444.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,94303.0,92993.0,92328.0,89992.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.07,0.17,0.24,0.25,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.07,0.17,0.24,0.25,Income Statement,
Diluted Weighted Average Shares,,,,,,,95145.0,92993.0,93001.0,90528.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,0.07,0.17,0.24,0.25,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,0.07,0.17,0.24,0.25,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,,Income Statement,
Gross Divid - Common Stock,,,,,,,0.0,,,,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,,,,2966.0,4001.0,3791.0,6239.0,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,5816.0,5841.0,6598.0,8136.0,Income Statement,
Total Special Items,,,,,,,1152.0,,,,Income Statement,
Normalzd Income Before Tax,,,,,,,11202.0,20623.0,29246.0,27358.0,Income Statement,
Efct/SpecItemsIncTxs (STEC),,,,,,,372.0,,,,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,3616.0,4835.0,6782.0,4914.0,Income Statement,
Normalized Income After Tax,,,,,,,7586.0,15788.0,22464.0,22444.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,7586.0,15788.0,22464.0,22444.0,Income Statement,
Basic Normalized EPS,,,,,,,0.08,0.17,0.24,0.25,Income Statement,
Diluted Normalized EPS,,,,,,,0.08,0.17,0.24,0.25,Income Statement,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,,Cash Flow,2021-09-30 00:00:00
Net Income,,,,,,,31559.0,15788.0,38252.0,,Cash Flow,24753.0
Depreciation/Depletion,,,,,,,24636.0,5841.0,12439.0,,Cash Flow,18820.0
Amortization,,,,,,,22040.0,3548.0,7122.0,,Cash Flow,18489.0
Deferred Taxes,,,,,,,6108.0,2775.0,7199.0,,Cash Flow,6186.0
Unusual Items,,,,,,,11562.0,-3348.0,-9480.0,,Cash Flow,7097.0
Other Non-Cash Items,,,,,,,12744.0,1438.0,3690.0,,Cash Flow,11138.0
Non-Cash Items,,,,,,,24306.0,-1910.0,-5790.0,,Cash Flow,18235.0
"Cash Taxes Pd, Supplemental",,,,,,,8589.0,-204.0,6228.0,,Cash Flow,6307.0
"Cash Interest Pd, Suppl",,,,,,,9647.0,3386.0,6268.0,,Cash Flow,8818.0
Accounts Receivable,,,,,,,3341.0,0.0,-1174.0,,Cash Flow,2618.0
Inventories,,,,,,,,,294.0,,Cash Flow,
Prepaid Expenses,,,,,,,-4982.0,199.0,-756.0,,Cash Flow,-3421.0
Other Assets,,,,,,,-3121.0,-527.0,-2996.0,,Cash Flow,-2213.0
Accounts Payable,,,,,,,97.0,-184.0,750.0,,Cash Flow,-354.0
Accrued Expenses,,,,,,,3033.0,-4642.0,-1450.0,,Cash Flow,1826.0
Payable/Accrued,,,,,,,3738.0,1173.0,-12679.0,,Cash Flow,-4677.0
Changes in Working Capital,,,,,,,2106.0,-3981.0,-18011.0,,Cash Flow,-6221.0
Total Cash from Operations,,,,,,,110755.0,22061.0,41211.0,,Cash Flow,80262.0
Capital Expenditures,,,,,,,-29753.0,-6752.0,-13221.0,,Cash Flow,-18767.0
Acquisition of Business,,,,,,,-6196.0,0.0,-125452.0,,Cash Flow,-3259.0
Sale of Fixed Assets,,,,,,,1405.0,365.0,1406.0,,Cash Flow,806.0
"OtherInvestCashFlowItms,Tot",,,,,,,-4791.0,365.0,-124046.0,,Cash Flow,-2453.0
Total Cash from Investing,,,,,,,-34544.0,-6387.0,-137267.0,,Cash Flow,-21220.0
Financing Cash Flow Items,,,,,,,-3247.0,-15225.0,-38790.0,,Cash Flow,-1377.0
Sale/Issuance of Common,,,,,,,0.0,,,,Cash Flow,0.0
Repurch/Retirement Common,,,,,,,-8983.0,,,,Cash Flow,
"Common Stock, Net",,,,,,,-8983.0,,,,Cash Flow,0.0
Options Exercised,,,,,,,1704.0,38.0,353.0,,Cash Flow,1455.0
"Iss (Retirmnt) of Stock,Net",,,,,,,-7279.0,38.0,353.0,,Cash Flow,1455.0
Long Term Debt Issued,,,,,,,54338.0,0.0,169000.0,,Cash Flow,47000.0
Long Term Debt Reduction,,,,,,,-55688.0,-4375.0,-13125.0,,Cash Flow,-60688.0
"Iss (Retirmnt) of Debt, Net",,,,,,,-1350.0,-4375.0,155875.0,,Cash Flow,-13688.0
Total Cash From Financing,,,,,,,-11876.0,-19562.0,117438.0,,Cash Flow,-13610.0
Net Change in Cash,,,,,,,64335.0,-3888.0,21382.0,,Cash Flow,45432.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,134451.0,198786.0,198786.0,,Cash Flow,134451.0
NetCash-EndBal/RsrvforFutUse,,,,,,,198786.0,194898.0,220168.0,,Cash Flow,179883.0
"Depreciation, Supplemental",,,,,,,24636.0,5841.0,12439.0,,Cash Flow,18820.0
Free Cash Flow,,,,,,,81002.0,15309.0,27990.0,,,61495.0
FCF Growth,,,,,,,,-0.8110046665514432,0.8283362727807173,0.0,,1.1970346552340123
