,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
"Other Equity, Total",,-31.0,-2016.0,-1992.0,-1969.0,Balance Sheet
Total Equity,,11219.0,11105.0,11000.0,10803.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,48086.0,46846.0,45333.0,46616.0,Balance Sheet
Ttl Comm. Shares Outs.,,327.0,327.0,327.0,327.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,5532.0,5591.0,5465.0,6051.0,Income Statement
"Cost of Revenue, Total",,4060.0,3550.0,3508.0,4695.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,360.0,1342.0,1406.0,1134.0,Income Statement
Depreciation/Amortization,,268.0,280.0,277.0,262.0,Income Statement
Unusual Expense (Income),,846.0,-16.0,2.0,1.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,-57.0,-16.0,2.0,1.0,Income Statement
Total Operating Expense,,5534.0,5156.0,5193.0,6092.0,Income Statement
Total Operating Income,,-2.0,435.0,272.0,-41.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,-68.0,-55.0,-56.0,-75.0,Income Statement
"Other, Net",,234.0,-318.0,-654.0,-196.0,Income Statement
Income Before Tax,,160.0,61.0,-438.0,-312.0,Income Statement
Income Tax - Total,,117.0,-53.0,-328.0,-123.0,Income Statement
Income After Tax,,43.0,114.0,-110.0,-189.0,Income Statement
Minority Interest,,3.0,-5.0,2.0,5.0,Income Statement
Equity In Affiliates,,-4.0,-3.0,-3.0,-4.0,Income Statement
Net Inc Before Extra Items,,42.0,106.0,-111.0,-188.0,Income Statement
Total Net Income,,42.0,106.0,-111.0,-188.0,Income Statement
Income Available to Common Excl. Extra. Items,,42.0,106.0,-111.0,-188.0,Income Statement
Income Available to Common Incl. Extra. Items,,42.0,106.0,-111.0,-188.0,Income Statement
Basic/Primary Weighted Average Shares,,329.0,327.0,327.0,327.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,0.13,0.32,-0.34,-0.57,Income Statement
Basic/Primary EPS Incl. Extra. Items,,0.13,0.32,-0.34,-0.57,Income Statement
Diluted Weighted Average Shares,,329.0,327.0,327.0,327.0,Income Statement
Diluted EPS Excl. Extra. Items,,0.13,0.32,-0.34,-0.57,Income Statement
Diluted EPS Incl. Extra. Items,,0.13,0.32,-0.34,-0.57,Income Statement
Div/Share-ComStockPrimIssue,,0.0,0.14,0.14,0.14,Income Statement
Gross Divid - Common Stock,,0.0,46.0,47.0,43.0,Income Statement
Pro Forma Net Income,,,,,,Income Statement
"Interest Expense, Suppl",,4.0,1.0,0.0,0.0,Income Statement
"Depreciat/Amort, Suppl",,589.0,270.0,272.0,598.0,Income Statement
Total Special Items,,846.0,-16.0,2.0,1.0,Income Statement
Normalzd Income Before Tax,,1006.0,45.0,-436.0,-311.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,296.0,-6.0,1.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,413.0,-59.0,-327.0,-123.0,Income Statement
Normalized Income After Tax,,593.0,104.0,-109.0,-188.0,Income Statement
Normalzd Inc Avail to Common,,592.0,96.0,-110.0,-187.0,Income Statement
Basic Normalized EPS,,1.8,0.29,-0.34,-0.57,Income Statement
Diluted Normalized EPS,,1.8,0.29,-0.34,-0.57,Income Statement
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,-83.0,111.0,-2.0,-195.0,Cash Flow
Depreciation/Depletion,,4540.0,602.0,1207.0,1810.0,Cash Flow
Deferred Taxes,,-205.0,-307.0,-707.0,-915.0,Cash Flow
Unusual Items,,-650.0,350.0,843.0,1590.0,Cash Flow
Other Non-Cash Items,,-605.0,256.0,459.0,304.0,Cash Flow
Non-Cash Items,,-1255.0,606.0,1302.0,1894.0,Cash Flow
Accounts Receivable,,-602.0,-58.0,80.0,-130.0,Cash Flow
Inventories,,-68.0,82.0,-88.0,-166.0,Cash Flow
Payable/Accrued,,346.0,36.0,385.0,789.0,Cash Flow
Changes in Working Capital,,-4335.0,339.0,-537.0,-2525.0,Cash Flow
Total Cash from Operations,,-1338.0,1351.0,1263.0,69.0,Cash Flow
Capital Expenditures,,-1329.0,-410.0,-800.0,-1090.0,Cash Flow
Sale of Business,,878.0,28.0,39.0,41.0,Cash Flow
Sale/Maturity of Investment,,10434.0,1983.0,3783.0,6129.0,Cash Flow
Purchase of Investments,,-6673.0,-1193.0,-2323.0,-3212.0,Cash Flow
Other Investing Cash Flow,,-28.0,-4.0,2.0,3.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,4611.0,814.0,1501.0,2961.0,Cash Flow
Total Cash from Investing,,3282.0,404.0,701.0,1871.0,Cash Flow
Financing Cash Flow Items,,-2699.0,1727.0,1722.0,1707.0,Cash Flow
Total Cash Dividends Paid,,,-46.0,-93.0,-139.0,Cash Flow
Short Term Debt Issued,,880.0,,,0.0,Cash Flow
Short Term Debt Reduction,,,-300.0,-1180.0,-1180.0,Cash Flow
"Short Term Debt, Net",,1242.0,-1002.0,-1882.0,-1389.0,Cash Flow
Long Term Debt Issued,,152.0,2.0,6.0,9.0,Cash Flow
Long Term Debt Reduction,,-105.0,-1316.0,-1367.0,-1401.0,Cash Flow
"Long Term Debt, Net",,-238.0,-1314.0,-1361.0,-1392.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,1004.0,-2316.0,-3243.0,-2781.0,Cash Flow
Total Cash From Financing,,-1695.0,-635.0,-1614.0,-1213.0,Cash Flow
Net Change in Cash,,249.0,1120.0,350.0,727.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,327.0,576.0,576.0,576.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,576.0,1696.0,926.0,1303.0,Cash Flow
"Depreciation, Supplemental",,4540.0,602.0,1207.0,1810.0,Cash Flow
Free Cash Flow,,-2667.0,941.0,463.0,-1021.0,
FCF Growth,,,-1.3528308961379827,-0.5079702444208289,-3.205183585313175,
