,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Income Before Tax,,,,,,1355.0,1535.0,646.0,1648.0,Income Statement
Income Tax - Total,,,,,,339.0,369.0,286.0,391.0,Income Statement
Income After Tax,,,,,,1016.0,1166.0,360.0,1257.0,Income Statement
Minority Interest,,,,,,-30.0,-36.0,-38.0,-27.0,Income Statement
Equity In Affiliates,,,,,,38.0,44.0,50.0,43.0,Income Statement
Net Inc Before Extra Items,,,,,,1024.0,1174.0,372.0,1273.0,Income Statement
Total Extraordinary Items,,,,,,2.0,0.0,0.0,0.0,Income Statement
Total Net Income,,,,,,1026.0,1174.0,372.0,1273.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,1024.0,1174.0,372.0,1273.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,1026.0,1174.0,372.0,1273.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,511.0,507.0,501.0,497.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,2.0,2.31,0.74,2.56,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,2.01,2.31,0.74,2.56,Income Statement
Diluted Weighted Average Shares,,,,,,517.0,511.0,505.0,501.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,1.98,2.3,0.74,2.54,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,1.99,2.3,0.74,2.54,Income Statement
Div/Share-ComStockPrimIssue,,,,,,1.06,1.17,1.17,1.17,Income Statement
Gross Divid - Common Stock,,,,,,541.0,592.0,585.0,581.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,1135.0,1112.0,1091.0,1045.0,Income Statement
Total Special Items,,,,,,82.0,-4.0,993.0,15.0,Income Statement
Normalzd Income Before Tax,,,,,,1437.0,1531.0,1639.0,1663.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,21.0,-1.0,440.0,4.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,360.0,368.0,726.0,395.0,Income Statement
Normalized Income After Tax,,,,,,1077.0,1163.0,913.0,1268.0,Income Statement
Normalzd Inc Avail to Common,,,,,,1085.0,1171.0,925.0,1284.0,Income Statement
Basic Normalized EPS,,,,,,2.12,2.31,1.85,2.58,Income Statement
Diluted Normalized EPS,,,,,,2.1,2.29,1.83,2.56,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,3826.0,1174.0,1546.0,2819.0,Cash Flow
Depreciation/Depletion,,,,,,4635.0,1112.0,2203.0,3248.0,Cash Flow
Deferred Taxes,,,,,,-254.0,-59.0,-221.0,-412.0,Cash Flow
Discontinued Operations,,,,,,-5.0,0.0,0.0,0.0,Cash Flow
Unusual Items,,,,,,98.0,-34.0,922.0,909.0,Cash Flow
Other Non-Cash Items,,,,,,244.0,70.0,125.0,179.0,Cash Flow
Non-Cash Items,,,,,,337.0,36.0,1047.0,1088.0,Cash Flow
Accounts Receivable,,,,,,-553.0,-340.0,-543.0,-572.0,Cash Flow
Inventories,,,,,,-129.0,-35.0,-144.0,-300.0,Cash Flow
Prepaid Expenses,,,,,,76.0,-107.0,-123.0,-111.0,Cash Flow
Payable/Accrued,,,,,,447.0,51.0,70.0,376.0,Cash Flow
Changes in Working Capital,,,,,,1181.0,-263.0,-442.0,26.0,Cash Flow
Total Cash from Operations,,,,,,9725.0,2000.0,4133.0,6769.0,Cash Flow
Capital Expenditures,,,,,,-3086.0,-649.0,-1475.0,-2237.0,Cash Flow
Acquisition of Business,,,,,,-88.0,-43.0,-49.0,-110.0,Cash Flow
Sale of Business,,,,,,167.0,27.0,17.0,140.0,Cash Flow
Other Investing Cash Flow,,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,79.0,-16.0,-32.0,30.0,Cash Flow
Total Cash from Investing,,,,,,-3007.0,-665.0,-1507.0,-2207.0,Cash Flow
Financing Cash Flow Items,,,,,,-323.0,-1.0,-35.0,-62.0,Cash Flow
Total Cash Dividends Paid,,,,,,-2189.0,-592.0,-1177.0,-1758.0,Cash Flow
Sale/Issuance of Common,,,,,,50.0,10.0,22.0,24.0,Cash Flow
Repurch/Retirement Common,,,,,,-4612.0,-1719.0,-3329.0,-4478.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-4562.0,-1709.0,-3307.0,-4454.0,Cash Flow
"Short Term Debt, Net",,,,,,-1329.0,1416.0,2172.0,2229.0,Cash Flow
Long Term Debt Issued,,,,,,2283.0,2296.0,2291.0,2291.0,Cash Flow
Long Term Debt Reduction,,,,,,-1468.0,-1166.0,-1703.0,-1725.0,Cash Flow
"Long Term Debt, Net",,,,,,815.0,1130.0,588.0,566.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-514.0,2546.0,2760.0,2795.0,Cash Flow
Total Cash From Financing,,,,,,-7588.0,244.0,-1759.0,-3479.0,Cash Flow
Foreign Exchange Effects,,,,,,-61.0,62.0,-35.0,-150.0,Cash Flow
Net Change in Cash,,,,,,-931.0,1641.0,832.0,933.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,3754.0,2823.0,2823.0,2823.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,2823.0,4464.0,3655.0,3756.0,Cash Flow
"Depreciation, Supplemental",,,,,,4635.0,1112.0,2203.0,3248.0,Cash Flow
Free Cash Flow,,,,,,6639.0,1351.0,2658.0,4532.0,
FCF Growth,,,,,,,-0.7965054978159362,0.9674315321983715,0.7050413844996237,
