,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Purchase of Investments,,-74193.0,-27026.0,-119374.0,-247980.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,-74193.0,-10176.0,-69260.0,-150295.0,Cash Flow
Total Cash from Investing,,-79976.0,-10643.0,-69876.0,-151296.0,Cash Flow
Financing Cash Flow Items,,-688.0,0.0,0.0,0.0,Cash Flow
Sale/Issuance of Common,,,139156.0,260649.0,259833.0,Cash Flow
Repurch/Retirement Common,,-24.0,,,0.0,Cash Flow
"Common Stock, Net",,-24.0,139156.0,260649.0,259833.0,Cash Flow
"Preferred Stock, Net",,119118.0,0.0,0.0,0.0,Cash Flow
Options Exercised,,432.0,429.0,429.0,773.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,119526.0,139585.0,261078.0,260606.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,-387.0,-29.0,-59.0,-9295.0,Cash Flow
Total Cash From Financing,,118451.0,139556.0,261019.0,251311.0,Cash Flow
Net Change in Cash,,-15763.0,96327.0,136009.0,28232.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,46795.0,31032.0,31032.0,31032.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,31032.0,127359.0,167041.0,59264.0,Cash Flow
"Depreciation, Supplemental",,1041.0,263.0,565.0,904.0,Cash Flow
Free Cash Flow,,-60021.0,-33053.0,-55750.0,-72784.0,
FCF Growth,,,-0.4493094083737359,0.6866850210268356,0.3055426008968609,
