,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
Ttl Comm. Shares Outs.,,,,,,,179.0,180.0,180.0,183.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Trsry Shrs-Pref. Iss. 6,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,
Interest & Fees on Loans,,,,,,,992.0,1002.0,1094.0,1269.0,Income Statement,
Inter & Divs/ Invest Securs,,,,,,,165.0,180.0,209.0,219.0,Income Statement,
Other Interest Income,,,,,,,10.0,7.0,13.0,30.0,Income Statement,
"Interest Income, Bank",,,,,,,1167.0,1189.0,1316.0,1518.0,Income Statement,
Interest on Deposit,,,,,,,21.0,20.0,37.0,169.0,Income Statement,
Inter on Other Borrowings,,,,,,,27.0,24.0,33.0,80.0,Income Statement,
Total Interest Expense,,,,,,,48.0,44.0,70.0,249.0,Income Statement,
Net Interest Income,,,,,,,1119.0,1145.0,1246.0,1269.0,Income Statement,
Loan Loss Provision,,,,,,,23.0,10.0,31.0,36.0,Income Statement,
NetInterIn after Loan Loss Provision,,,,,,,1096.0,1135.0,1215.0,1233.0,Income Statement,
Fees & Commish from Operat,,,,,,,22.0,22.0,25.0,24.0,Income Statement,
Commish & Fees/Secur Act,,,,,,,169.0,187.0,197.0,176.0,Income Statement,
Invest Securities Gains,,,,,,,-3.0,,,,Income Statement,
Foreign Currency Gains,,,,,,,24.0,23.0,25.0,25.0,Income Statement,
Other Revenue,,,,,,,34.0,19.0,16.0,29.0,Income Statement,
"Non-Interest Income, Bank",,,,,,,247.0,251.0,263.0,254.0,Income Statement,
Labor & Related Expenses,,,,,,,-544.0,-560.0,-567.0,-557.0,Income Statement,
Amortization of Intangibles,,,,,,,-2.0,,,,Income Statement,
Other Expense,,,,,,,-320.0,-306.0,-346.0,-362.0,Income Statement,
"Non-Interest Expense, Bank",,,,,,,-865.0,-866.0,-913.0,-919.0,Income Statement,
Income Before Tax,,,,,,,478.0,520.0,565.0,568.0,Income Statement,
Income Tax - Total,,,,,,,77.0,119.0,132.0,123.0,Income Statement,
Income After Tax,,,,,,,400.0,401.0,433.0,445.0,Income Statement,
Net Inc Before Extra Items,,,,,,,400.0,401.0,433.0,445.0,Income Statement,
Total Net Income,,,,,,,400.0,401.0,433.0,445.0,Income Statement,
Total Adjust to Net Income,,,,,,,-32.0,-37.0,-41.0,-40.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,368.0,364.0,392.0,405.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,368.0,364.0,392.0,405.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,179.0,180.0,180.0,182.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,2.06,2.02,2.18,2.23,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,2.06,2.02,2.18,2.23,Income Statement,
Diluted Weighted Average Shares,,,,,,,184.0,182.0,180.0,183.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,2.0,2.0,2.18,2.21,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,2.0,2.0,2.18,2.21,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,0.22,0.22,0.0,0.27,Income Statement,
Gross Divid - Common Stock,,,,,,,41.0,40.0,49.0,,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,42.0,50.0,47.0,,Income Statement,
Normalzd Income Before Tax,,,,,,,478.0,520.0,565.0,568.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,77.0,119.0,132.0,123.0,Income Statement,
Normalized Income After Tax,,,,,,,400.0,401.0,433.0,445.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,368.0,364.0,392.0,405.0,Income Statement,
Basic Normalized EPS,,,,,,,2.06,2.02,2.18,2.23,Income Statement,
Diluted Normalized EPS,,,,,,,2.0,2.0,2.18,2.21,Income Statement,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,,Cash Flow,2021-09-30 00:00:00
Net Income,,,,,,,1478.0,401.0,834.0,,Cash Flow,1078.0
Depreciation/Depletion,,,,,,,184.0,51.0,100.0,,Cash Flow,140.0
Deferred Taxes,,,,,,,-79.0,92.0,70.0,,Cash Flow,-36.0
Non-Cash Items,,,,,,,277.0,43.0,98.0,,Cash Flow,174.0
"Cash Taxes Pd, Supplemental",,,,,,,255.0,86.0,206.0,,Cash Flow,184.0
"Cash Interest Pd, Suppl",,,,,,,272.0,51.0,112.0,,Cash Flow,231.0
Loan Loss Provision,,,,,,,59.0,10.0,41.0,,Cash Flow,36.0
Other Assets,,,,,,,-57.0,-101.0,-276.0,,Cash Flow,-305.0
Changes in Working Capital,,,,,,,-656.0,-577.0,-986.0,,Cash Flow,-1133.0
Total Cash from Operations,,,,,,,1204.0,10.0,116.0,,Cash Flow,223.0
Capital Expenditures,,,,,,,-198.0,-55.0,-104.0,,Cash Flow,-138.0
Sale/Maturity of Investment,,,,,,,2812.0,510.0,951.0,,Cash Flow,2169.0
Purchase of Investments,,,,,,,-9473.0,-4924.0,-6753.0,,Cash Flow,-7469.0
Loans,,,,,,,-22399.0,-6362.0,-16557.0,,Cash Flow,-15824.0
Other Investing Cash Flow,,,,,,,115.0,-27.0,-261.0,,Cash Flow,27.0
"OtherInvestCashFlowItms,Tot",,,,,,,-28945.0,-10803.0,-22620.0,,Cash Flow,-21097.0
Total Cash from Investing,,,,,,,-29143.0,-10858.0,-22724.0,,Cash Flow,-21235.0
Deposits,,,,,,,41394.0,5736.0,9301.0,,Cash Flow,30403.0
FHLB,,,,,,,,,6300.0,,Cash Flow,0.0
Other Financing Cash Flow,,,,,,,-138.0,-14.0,-56.0,,Cash Flow,-84.0
Financing Cash Flow Items,,,,,,,41256.0,5722.0,15545.0,,Cash Flow,30320.0
Cash Divids Paid - Common,,,,,,,-155.0,-40.0,-89.0,,Cash Flow,-115.0
Cash Divs Paid - Preferred,,,,,,,-99.0,-37.0,-78.0,,Cash Flow,-67.0
Total Cash Dividends Paid,,,,,,,-254.0,-77.0,-167.0,,Cash Flow,-181.0
"Common Stock, Net",,,,,,,804.0,12.0,20.0,,Cash Flow,795.0
"Preferred Stock, Net",,,,,,,2040.0,0.0,,,Cash Flow,1319.0
"Iss (Retirmnt) of Stock,Net",,,,,,,2844.0,12.0,20.0,,Cash Flow,2114.0
"Short Term Debt, Net",,,,,,,0.0,,,,Cash Flow,
Long Term Debt Issued,,,,,,,0.0,,1000.0,,Cash Flow,0.0
Long Term Debt Reduction,,,,,,,-8055.0,0.0,-500.0,,Cash Flow,-4055.0
"Long Term Debt, Net",,,,,,,-8055.0,0.0,500.0,,Cash Flow,-4055.0
"Iss (Retirmnt) of Debt, Net",,,,,,,-8055.0,0.0,500.0,,Cash Flow,-4055.0
Total Cash From Financing,,,,,,,35791.0,5657.0,15898.0,,Cash Flow,28197.0
Net Change in Cash,,,,,,,7852.0,-5191.0,-6710.0,,Cash Flow,7185.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,5095.0,12947.0,12947.0,,Cash Flow,5095.0
NetCash-EndBal/RsrvforFutUse,,,,,,,12947.0,7756.0,6237.0,,Cash Flow,12279.0
"Depreciation, Supplemental",,,,,,,184.0,51.0,100.0,,Cash Flow,140.0
Free Cash Flow,,,,,,,1006.0,-45.0,12.0,,,85.0
FCF Growth,,,,,,,,-1.0447316103379722,-1.2666666666666666,0.0,,6.083333333333333
