,2017,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report,Q2 2023
Total Operating Expense,,,,,,,,264118.0,313957.0,313740.0,Income Statement,339190.0
Total Operating Income,,,,,,,,27780.0,37880.0,25078.0,Income Statement,12650.0
Gain(Loss)on Sale of Assets,,,,,,,,-42.0,-61.0,-9.0,Income Statement,-242.0
Income Before Tax,,,,,,,,24794.0,34339.0,17724.0,Income Statement,4058.0
Income Tax - Total,,,,,,,,6024.0,7662.0,4027.0,Income Statement,919.0
Income After Tax,,,,,,,,18770.0,26677.0,13697.0,Income Statement,3139.0
Net Inc Before Extra Items,,,,,,,,18770.0,26677.0,13697.0,Income Statement,3139.0
Total Net Income,,,,,,,,18770.0,26677.0,13697.0,Income Statement,3139.0
Total Adjust to Net Income,,,,,,,,-10.0,-10.0,-10.0,Income Statement,-10.0
Income Available to Common Excl. Extra. Items,,,,,,,,18760.0,26667.0,13687.0,Income Statement,3129.0
Income Available to Common Incl. Extra. Items,,,,,,,,18760.0,26667.0,13687.0,Income Statement,3129.0
Basic/Primary Weighted Average Shares,,,,,,,,6487.0,6417.0,6370.0,Income Statement,6369.0
Basic/Primary EPS Excl. Extra. Items,,,,,,,,2.89,4.16,2.15,Income Statement,0.49
Basic/Primary EPS Incl. Extra. Items,,,,,,,,2.89,4.16,2.15,Income Statement,0.49
Diluted Weighted Average Shares,,,,,,,,6780.0,6653.0,6562.0,Income Statement,6548.0
Diluted EPS Excl. Extra. Items,,,,,,,,2.77,4.01,2.09,Income Statement,0.48
Diluted EPS Incl. Extra. Items,,,,,,,,2.77,4.01,2.09,Income Statement,0.48
Div/Share-ComStockPrimIssue,,,,,,,,0.0,,0.0,Income Statement,
Gross Divid - Common Stock,,,,,,,,0.0,0.0,0.0,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,,,,,2944.0,3480.0,7345.0,Income Statement,8350.0
"Depreciat/Amort, Suppl",,,,,,,,950.0,1210.0,1151.0,Income Statement,1309.0
Total Special Items,,,,,,,,42.0,61.0,9.0,Income Statement,242.0
Normalzd Income Before Tax,,,,,,,,24836.0,34400.0,17733.0,Income Statement,4300.0
Efct/SpecItemsIncTxs (STEC),,,,,,,,10.0,14.0,2.0,Income Statement,55.0
IncTxsExcl ImpctofSpec Itms,,,,,,,,6034.0,7676.0,4029.0,Income Statement,974.0
Normalized Income After Tax,,,,,,,,18802.0,26724.0,13704.0,Income Statement,3326.0
Normalzd Inc Avail to Common,,,,,,,,18792.0,26714.0,13694.0,Income Statement,3316.0
Basic Normalized EPS,,,,,,,,2.9,4.16,2.15,Income Statement,0.52
Diluted Normalized EPS,,,,,,,,2.77,4.02,2.09,Income Statement,0.51
Date,,,,,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow,2022-10-31 00:00:00
Net Income,,,,,,,,66630.0,93307.0,13242.0,Cash Flow,16836.0
Depreciation/Depletion,,,,,,,,2823.0,4033.0,1151.0,Cash Flow,2460.0
Deferred Taxes,,,,,,,,6390.0,8226.0,3082.0,Cash Flow,
Unusual Items,,,,,,,,88.0,149.0,8.0,Cash Flow,
Other Non-Cash Items,,,,,,,,202721.0,285243.0,93150.0,Cash Flow,176299.0
Non-Cash Items,,,,,,,,202809.0,285392.0,93158.0,Cash Flow,176299.0
"Cash Taxes Pd, Supplemental",,,,,,,,13232.0,19238.0,199.0,Cash Flow,
"Cash Interest Pd, Suppl",,,,,,,,7278.0,10421.0,7294.0,Cash Flow,
Accounts Receivable,,,,,,,,-424817.0,-592063.0,-183537.0,Cash Flow,-374480.0
Inventories,,,,,,,,18822.0,50881.0,-521.0,Cash Flow,46225.0
Prepaid Expenses,,,,,,,,-3006.0,-2924.0,-703.0,Cash Flow,
Accrued Expenses,,,,,,,,-853.0,-1559.0,-106.0,Cash Flow,
Payable/Accrued,,,,,,,,4031.0,5166.0,6900.0,Cash Flow,
Changes in Working Capital,,,,,,,,-381323.0,-505242.0,-169707.0,Cash Flow,-288273.0
Total Cash from Operations,,,,,,,,-102671.0,-114284.0,-59074.0,Cash Flow,-92678.0
Capital Expenditures,,,,,,,,-13881.0,-20921.0,-8248.0,Cash Flow,-16443.0
Sale of Fixed Assets,,,,,,,,0.0,20.0,,Cash Flow,
Purchase of Investments,,,,,,,,-1318.0,-1343.0,,Cash Flow,-225.0
"OtherInvestCashFlowItms,Tot",,,,,,,,-1318.0,-1323.0,,Cash Flow,-225.0
Total Cash from Investing,,,,,,,,-15199.0,-22244.0,-8248.0,Cash Flow,-16668.0
Financing Cash Flow Items,,,,,,,,-1787.0,-6108.0,-89.0,Cash Flow,-89.0
Total Cash Dividends Paid,,,,,,,,-30.0,-40.0,-10.0,Cash Flow,-20.0
Sale/Issuance of Common,,,,,,,,225.0,293.0,85.0,Cash Flow,
Repurch/Retirement Common,,,,,,,,-26503.0,-34698.0,-5196.0,Cash Flow,-5195.0
"Common Stock, Net",,,,,,,,-26278.0,-34405.0,-5111.0,Cash Flow,-5195.0
Options Exercised,,,,,,,,-984.0,-1488.0,1216.0,Cash Flow,1364.0
"Iss (Retirmnt) of Stock,Net",,,,,,,,-27262.0,-35893.0,-3895.0,Cash Flow,-3831.0
"Short Term Debt, Net",,,,,,,,-1801.0,-1802.0,1108.0,Cash Flow,0.0
Long Term Debt Issued,,,,,,,,248817.0,331113.0,148386.0,Cash Flow,256977.0
Long Term Debt Reduction,,,,,,,,-100357.0,-511042.0,-78882.0,Cash Flow,-149184.0
"Long Term Debt, Net",,,,,,,,148460.0,-179929.0,69504.0,Cash Flow,107793.0
Total Debt Issued,,,,,,,,,399994.0,,Cash Flow,
"Iss (Retirmnt) of Debt, Net",,,,,,,,146659.0,218263.0,70612.0,Cash Flow,107793.0
Total Cash From Financing,,,,,,,,117580.0,176222.0,66618.0,Cash Flow,103853.0
Net Change in Cash,,,,,,,,-290.0,39694.0,-704.0,Cash Flow,-5493.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,,2893.0,2893.0,42587.0,Cash Flow,42587.0
NetCash-EndBal/RsrvforFutUse,,,,,,,,2603.0,42587.0,41883.0,Cash Flow,37094.0
"Depreciation, Supplemental",,,,,,,,2823.0,4033.0,1151.0,Cash Flow,2460.0
Free Cash Flow,,,,,,,,-116552.0,-135205.0,-67322.0,,-109121.0
FCF Growth,,,,,,,,,0.16004015375111535,-0.5020746274176251,,0.6208817325688483
