,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Non-Interest Bearing Dep.,,,,,,1183.0,1318.0,1299.0,1319.0,Balance Sheet
Interest Bearing Deposits,,,,,,4448.0,4373.0,4904.0,5269.0,Balance Sheet
Total Deposits,,,,,,5631.0,5692.0,6203.0,6588.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,810.0,980.0,831.0,981.0,Balance Sheet
Total Long Term Debt,,,,,,123.0,152.0,152.0,153.0,Balance Sheet
Total Debt,,,,,,123.0,152.0,152.0,153.0,Balance Sheet
Minority Interest,,,,,,-3.0,-4.0,-2.0,-2.0,Balance Sheet
Total Liabilities,,,,,,6804.0,7053.0,7438.0,8042.0,Balance Sheet
Common Stock,,,,,,4.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,263.0,208.0,190.0,192.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,553.0,566.0,571.0,588.0,Balance Sheet
"Other Equity, Total",,,,,,15.0,-24.0,-51.0,-86.0,Balance Sheet
Total Equity,,,,,,834.0,753.0,713.0,698.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,7638.0,7806.0,8151.0,8740.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,36.0,34.0,34.0,34.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,0.0,,,,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,36.0,34.0,34.0,34.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,,,,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Interest & Fees on Loans,,,,,,56521.0,56338.0,61514.0,76779.0,Income Statement
Inter & Divs/ Invest Securs,,,,,,8350.0,8628.0,9135.0,10906.0,Income Statement
Interest on Deposits,,,,,,58.0,132.0,518.0,1452.0,Income Statement
"Interest Income, Bank",,,,,,64929.0,65098.0,71167.0,89137.0,Income Statement
Interest on Deposit,,,,,,5784.0,5316.0,6902.0,13260.0,Income Statement
Inter on Other Borrowings,,,,,,3365.0,4137.0,5320.0,5980.0,Income Statement
Fed Funds Sold/Secs Sold under Repurch Agrmnt,,,,,,0.0,,0.0,0.0,Income Statement
Total Interest Expense,,,,,,9149.0,9453.0,12222.0,19240.0,Income Statement
Net Interest Income,,,,,,55780.0,55645.0,58945.0,69897.0,Income Statement
Loan Loss Provision,,,,,,-6500.0,-10000.0,0.0,3000.0,Income Statement
NetInterIn after Loan Loss Provision,,,,,,62280.0,65645.0,58945.0,66897.0,Income Statement
Insur Commish Fees& Premium,,,,,,1366.0,1342.0,1334.0,1352.0,Income Statement
Credit Card Fees,,,,,,503.0,590.0,508.0,622.0,Income Statement
Fees for Other Cust Serv,,,,,,9508.0,9216.0,9016.0,9248.0,Income Statement
Invest Securities Gains,,,,,,-117.0,769.0,-2602.0,1508.0,Income Statement
Other Unusual Income,,,,,,62387.0,-714.0,2.0,0.0,Income Statement
Other Revenue,,,,,,3643.0,2822.0,4673.0,3226.0,Income Statement
"Non-Interest Income, Bank",,,,,,77290.0,14025.0,12931.0,15956.0,Income Statement
Labor & Related Expenses,,,,,,-31009.0,-29603.0,-29612.0,-29709.0,Income Statement
Depreciation Expense,,,,,,-1520.0,-1152.0,-1294.0,-1481.0,Income Statement
Real Estate Operat Expnse,,,,,,,,-3174.0,-234.0,Income Statement
Restructuring Charge,,,,,,-300.0,-2000.0,-700.0,-1500.0,Income Statement
Other Expense,,,,,,-22259.0,-28063.0,-27461.0,-23189.0,Income Statement
"Non-Interest Expense, Bank",,,,,,-55088.0,-60818.0,-62241.0,-56113.0,Income Statement
Income Before Tax,,,,,,84482.0,18852.0,9635.0,26740.0,Income Statement
Income Tax - Total,,,,,,20172.0,3978.0,2033.0,5864.0,Income Statement
Income After Tax,,,,,,64310.0,14874.0,7602.0,20876.0,Income Statement
Minority Interest,,,,,,1159.0,1076.0,72.0,44.0,Income Statement
Net Inc Before Extra Items,,,,,,65469.0,15950.0,7674.0,20920.0,Income Statement
Total Net Income,,,,,,65469.0,15950.0,7674.0,20920.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,65469.0,15950.0,7674.0,20920.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,65469.0,15950.0,7674.0,20920.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,36599.0,34820.0,33676.0,33476.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,1.79,0.46,0.23,0.62,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,1.79,0.46,0.23,0.62,Income Statement
Diluted Weighted Average Shares,,,,,,37060.0,35114.0,33915.0,33747.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,1.77,0.45,0.23,0.62,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,1.77,0.45,0.23,0.62,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.06,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,2156.0,3154.0,3049.0,3013.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,1520.0,1152.0,1294.0,1481.0,Income Statement
Total Special Items,,,,,,-62087.0,2714.0,698.0,1500.0,Income Statement
Normalzd Income Before Tax,,,,,,22395.0,21566.0,10333.0,28240.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,-14825.0,573.0,147.0,329.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,5347.0,4551.0,2180.0,6193.0,Income Statement
Normalized Income After Tax,,,,,,17048.0,17015.0,8153.0,22047.0,Income Statement
Normalzd Inc Avail to Common,,,,,,18207.0,18091.0,8225.0,22091.0,Income Statement
Basic Normalized EPS,,,,,,0.5,0.52,0.24,0.66,Income Statement
Diluted Normalized EPS,,,,,,0.49,0.52,0.24,0.65,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,110.0,15.0,22.0,43.0,Cash Flow
Depreciation/Depletion,,,,,,7.0,1.0,2.0,4.0,Cash Flow
Deferred Taxes,,,,,,6.0,3.0,5.0,6.0,Cash Flow
Unusual Items,,,,,,-60.0,1.0,1.0,1.0,Cash Flow
Other Non-Cash Items,,,,,,12.0,4.0,5.0,8.0,Cash Flow
Non-Cash Items,,,,,,-48.0,4.0,6.0,8.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,15.0,0.0,20.0,22.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,46.0,8.0,19.0,37.0,Cash Flow
Loan Loss Provision,,,,,,-17.0,-10.0,-10.0,-7.0,Cash Flow
Other Assets,,,,,,-4.0,0.0,-14.0,-14.0,Cash Flow
Payable/Accrued,,,,,,35.0,-12.0,-6.0,22.0,Cash Flow
Changes in Working Capital,,,,,,-8.0,-36.0,-84.0,-93.0,Cash Flow
Total Cash from Operations,,,,,,67.0,-12.0,-49.0,-32.0,Cash Flow
Capital Expenditures,,,,,,-7.0,-2.0,-4.0,-8.0,Cash Flow
Acquisition of Business,,,,,,-1.0,,,0.0,Cash Flow
Sale of Fixed Assets,,,,,,132.0,,,,Cash Flow
Sale/Maturity of Investment,,,,,,532.0,83.0,151.0,216.0,Cash Flow
Purchase of Investments,,,,,,-531.0,-121.0,-327.0,-371.0,Cash Flow
Loans,,,,,,260.0,-146.0,-232.0,-851.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,392.0,-184.0,-408.0,-1005.0,Cash Flow
Total Cash from Investing,,,,,,385.0,-186.0,-413.0,-1013.0,Cash Flow
Deposits,,,,,,-101.0,61.0,572.0,957.0,Cash Flow
FHLB,,,,,,-244.0,169.0,19.0,169.0,Cash Flow
Other Financing Cash Flow,,,,,,-2.0,-1.0,-1.0,-1.0,Cash Flow
Financing Cash Flow Items,,,,,,-347.0,229.0,590.0,1126.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-3.0,-6.0,-9.0,Cash Flow
Sale/Issuance of Common,,,,,,0.0,,,,Cash Flow
Repurch/Retirement Common,,,,,,-46.0,-55.0,-72.0,-72.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-46.0,-55.0,-72.0,-72.0,Cash Flow
Long Term Debt Issued,,,,,,0.0,29.0,29.0,29.0,Cash Flow
"Long Term Debt, Net",,,,,,0.0,29.0,29.0,29.0,Cash Flow
Total Debt Reduction,,,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,0.0,29.0,29.0,29.0,Cash Flow
Total Cash From Financing,,,,,,-393.0,200.0,541.0,1073.0,Cash Flow
Net Change in Cash,,,,,,60.0,2.0,80.0,28.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,214.0,274.0,274.0,274.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,274.0,276.0,354.0,302.0,Cash Flow
"Depreciation, Supplemental",,,,,,7.0,1.0,2.0,4.0,Cash Flow
Free Cash Flow,,,,,,60.0,-14.0,-53.0,-40.0,
FCF Growth,,,,,,,-1.2333333333333334,2.7857142857142856,-0.24528301886792447,
