,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Diluted EPS Excl. Extra. Items,,,,,,-0.28,-0.25,-0.19,-0.14,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.28,-0.25,-0.19,-0.14,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,2321.0,2226.0,2378.0,3092.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,3883.0,3688.0,3679.0,4547.0,Income Statement
Total Special Items,,,,,,0.0,11383.0,2242.0,287.0,Income Statement
Normalzd Income Before Tax,,,,,,-41895.0,-25778.0,-25669.0,-19772.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,3984.0,785.0,100.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-433.0,4200.0,1425.0,371.0,Income Statement
Normalized Income After Tax,,,,,,-41462.0,-29978.0,-27094.0,-20143.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-41462.0,-29978.0,-27094.0,-20143.0,Income Statement
Basic Normalized EPS,,,,,,-0.28,-0.2,-0.18,-0.14,Income Statement
Diluted Normalized EPS,,,,,,-0.28,-0.2,-0.18,-0.14,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-123249.0,-37377.0,-65928.0,-86258.0,Cash Flow
Depreciation/Depletion,,,,,,42857.0,9354.0,16860.0,23094.0,Cash Flow
Deferred Taxes,,,,,,-331.0,217.0,395.0,489.0,Cash Flow
Unusual Items,,,,,,0.0,,1411.0,1411.0,Cash Flow
Other Non-Cash Items,,,,,,114751.0,30827.0,53697.0,83389.0,Cash Flow
Non-Cash Items,,,,,,114751.0,30827.0,55108.0,84800.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,996.0,,664.0,564.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,8620.0,2009.0,4210.0,7116.0,Cash Flow
Accounts Receivable,,,,,,-9817.0,-1047.0,-2151.0,-1897.0,Cash Flow
Prepaid Expenses,,,,,,-14231.0,-8117.0,-11529.0,-12326.0,Cash Flow
Accrued Expenses,,,,,,-915.0,-10699.0,-8083.0,-14883.0,Cash Flow
Payable/Accrued,,,,,,17453.0,-2341.0,-3272.0,-4077.0,Cash Flow
Changes in Working Capital,,,,,,23739.0,-7921.0,-7685.0,-21474.0,Cash Flow
Total Cash from Operations,,,,,,57767.0,-4900.0,-1250.0,651.0,Cash Flow
Purchase of Fixed Assets,,,,,,-735.0,-441.0,-449.0,-449.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-8443.0,-2565.0,-4955.0,-6679.0,Cash Flow
Capital Expenditures,,,,,,-9178.0,-3006.0,-5404.0,-7128.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,170.0,,,0.0,Cash Flow
Total Cash from Investing,,,,,,-9008.0,-3006.0,-5404.0,-7128.0,Cash Flow
Financing Cash Flow Items,,,,,,7453.0,,2751.0,2751.0,Cash Flow
"Common Stock, Net",,,,,,,-36376.0,-68497.0,-83487.0,Cash Flow
Options Exercised,,,,,,27953.0,2273.0,2827.0,2827.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,27953.0,-34103.0,-65670.0,-80660.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-2200.0,-25550.0,-26100.0,-26650.0,Cash Flow
Total Cash From Financing,,,,,,33206.0,-59653.0,-89019.0,-104559.0,Cash Flow
Foreign Exchange Effects,,,,,,-458.0,393.0,-448.0,-1493.0,Cash Flow
Net Change in Cash,,,,,,81507.0,-67166.0,-96121.0,-112529.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,224614.0,306121.0,306121.0,306121.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,306121.0,238955.0,210000.0,193592.0,Cash Flow
"Depreciation, Supplemental",,,,,,42857.0,9354.0,16860.0,23094.0,Cash Flow
Free Cash Flow,,,,,,48589.0,-7906.0,-6654.0,-6477.0,
FCF Growth,,,,,,,-1.1627117248760008,-0.15836073867948397,-0.026600541027953062,
