,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
"Cash Interest Pd, Suppl",,,,28.0,45.0,4.0,20.0,Cash Flow
Accounts Receivable,,,,5.0,-2.0,7.0,5.0,Cash Flow
Inventories,,,,-336.0,-182.0,-152.0,-133.0,Cash Flow
Prepaid Expenses,,,,-16.0,-8.0,-3.0,-10.0,Cash Flow
Accounts Payable,,,,129.0,-51.0,86.0,32.0,Cash Flow
Accrued Expenses,,,,35.0,26.0,-66.0,-47.0,Cash Flow
Changes in Working Capital,,,,-187.0,-233.0,-90.0,-155.0,Cash Flow
Total Cash from Operations,,,,515.0,673.0,97.0,258.0,Cash Flow
Purchase of Fixed Assets,,,,-59.0,-76.0,-17.0,-48.0,Cash Flow
Purchase/Acq of Intangibles,,,,0.0,0.0,0.0,0.0,Cash Flow
Capital Expenditures,,,,-59.0,-76.0,-17.0,-48.0,Cash Flow
Sale of Fixed Assets,,,,,0.0,,,Cash Flow
Other Investing Cash Flow,,,,,0.0,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,0.0,,,Cash Flow
Total Cash from Investing,,,,-59.0,-76.0,-17.0,-48.0,Cash Flow
Financing Cash Flow Items,,,,-28.0,-28.0,-1.0,-1.0,Cash Flow
Total Cash Dividends Paid,,,,,,-7.0,-13.0,Cash Flow
Sale/Issuance of Common,,,,1.0,4.0,,3.0,Cash Flow
Repurch/Retirement Common,,,,-346.0,-411.0,-89.0,-289.0,Cash Flow
"Common Stock, Net",,,,-345.0,-408.0,-89.0,-286.0,Cash Flow
Options Exercised,,,,41.0,49.0,3.0,5.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,-304.0,-359.0,-85.0,-281.0,Cash Flow
Long Term Debt Issued,,,,0.0,0.0,,,Cash Flow
Long Term Debt Reduction,,,,-102.0,-102.0,-1.0,-2.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,-102.0,-102.0,-1.0,-2.0,Cash Flow
Total Cash From Financing,,,,-433.0,-489.0,-93.0,-296.0,Cash Flow
Net Change in Cash,,,,24.0,108.0,-14.0,-86.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,378.0,378.0,486.0,486.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,401.0,486.0,472.0,400.0,Cash Flow
"Depreciation, Supplemental",,,,78.0,105.0,26.0,52.0,Cash Flow
Free Cash Flow,,,,456.0,597.0,80.0,210.0,
FCF Growth,,,,,0.3092105263157894,-0.8659966499162479,1.625,
