,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
Total Liabilities,,,,,71.0,77.0,78.0,78.0,Balance Sheet
Common Stock,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,,,849.0,861.0,881.0,896.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-383.0,-430.0,-481.0,-528.0,Balance Sheet
Treasury Stock - Common,,,,,-9.0,-14.0,-19.0,-20.0,Balance Sheet
Total Equity,,,,,458.0,417.0,381.0,348.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,529.0,494.0,459.0,426.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,51.0,52.0,52.0,53.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,1.0,Balance Sheet
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,55915.0,58020.0,63354.0,67867.0,Income Statement
"Cost of Revenue, Total",,,,,21093.0,22356.0,26544.0,27427.0,Income Statement
Selling/Gen/Admin Expense,,,,,39400.0,50442.0,49619.0,47376.0,Income Statement
Labor & Related Expense,,,,,10100.0,8000.0,10800.0,10600.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,49500.0,58442.0,60419.0,57976.0,Income Statement
Research & Development,,,,,15273.0,17495.0,20635.0,22542.0,Income Statement
Depreciation,,,,,3719.0,4268.0,4278.0,4220.0,Income Statement
Amortiz of Intangibles,,,,,1513.0,1573.0,1604.0,1599.0,Income Statement
Depreciation/Amortization,,,,,5232.0,5841.0,5882.0,5819.0,Income Statement
"Other Operat Expse, Total",,,,,557.0,502.0,467.0,438.0,Income Statement
Total Operating Expense,,,,,91655.0,104636.0,113947.0,114202.0,Income Statement
Total Operating Income,,,,,-35740.0,-46616.0,-50593.0,-46335.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-331.0,-348.0,-402.0,-292.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,20.0,20.0,19.0,86.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-114.0,60.0,-31.0,38.0,Income Statement
"Other, Net",,,,,-114.0,60.0,-31.0,38.0,Income Statement
Income Before Tax,,,,,-36165.0,-46884.0,-51007.0,-46503.0,Income Statement
Income Tax - Total,,,,,178.0,-433.0,235.0,213.0,Income Statement
Income After Tax,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Net Inc Before Extra Items,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Total Net Income,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Total Adjust to Net Income,,,,,,0.0,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,51020.0,49725.0,51939.0,52325.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.71,-0.93,-0.99,-0.89,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.71,-0.93,-0.99,-0.89,Income Statement
Diluted Weighted Average Shares,,,,,51020.0,49725.0,51939.0,52325.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.71,-0.93,-0.99,-0.89,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.71,-0.93,-0.99,-0.89,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,331.0,348.0,402.0,292.0,Income Statement
"Depreciat/Amort, Suppl",,,,,3719.0,4268.0,4278.0,4220.0,Income Statement
Normalzd Income Before Tax,,,,,-36165.0,-46884.0,-51007.0,-46503.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,178.0,-433.0,235.0,213.0,Income Statement
Normalized Income After Tax,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Normalzd Inc Avail to Common,,,,,-36343.0,-46451.0,-51242.0,-46716.0,Income Statement
Basic Normalized EPS,,,,,-0.71,-0.93,-0.99,-0.89,Income Statement
Diluted Normalized EPS,,,,,-0.71,-0.93,-0.99,-0.89,Income Statement
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,-71710.0,-118161.0,-51242.0,-97958.0,Cash Flow
Depreciation/Depletion,,,,,15461.0,21302.0,5882.0,11701.0,Cash Flow
Deferred Taxes,,,,,508.0,143.0,224.0,440.0,Cash Flow
Unusual Items,,,,,209.0,258.0,,0.0,Cash Flow
Other Non-Cash Items,,,,,29080.0,40319.0,15261.0,31326.0,Cash Flow
Non-Cash Items,,,,,29289.0,40577.0,15261.0,31326.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,578.0,802.0,128.0,446.0,Cash Flow
Accounts Receivable,,,,,-6408.0,-10216.0,-6092.0,-6696.0,Cash Flow
Prepaid Expenses,,,,,-5686.0,-7192.0,-450.0,3190.0,Cash Flow
Other Assets,,,,,-2929.0,-3349.0,-106.0,-177.0,Cash Flow
Accounts Payable,,,,,9490.0,2881.0,123.0,3715.0,Cash Flow
Accrued Expenses,,,,,-6342.0,-4043.0,1395.0,336.0,Cash Flow
Changes in Working Capital,,,,,-10279.0,-18571.0,-3758.0,1015.0,Cash Flow
Total Cash from Operations,,,,,-36731.0,-74710.0,-33633.0,-53476.0,Cash Flow
Purchase of Fixed Assets,,,,,-16596.0,-18420.0,-1785.0,-2634.0,Cash Flow
Software Development Costs,,,,,-7962.0,-12385.0,-5239.0,-10242.0,Cash Flow
Capital Expenditures,,,,,-24558.0,-30805.0,-7024.0,-12876.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-34423.0,,,Cash Flow
Total Cash from Investing,,,,,-24558.0,-65228.0,-7024.0,-12876.0,Cash Flow
Financing Cash Flow Items,,,,,622.0,-1432.0,1101.0,1552.0,Cash Flow
Sale/Issuance of Common,,,,,245813.0,245813.0,0.0,0.0,Cash Flow
Repurch/Retirement Common,,,,,-3546.0,-8995.0,-4307.0,-6309.0,Cash Flow
"Common Stock, Net",,,,,242267.0,236818.0,-4307.0,-6309.0,Cash Flow
Options Exercised,,,,,4062.0,4889.0,709.0,1141.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,246329.0,241707.0,-3598.0,-5168.0,Cash Flow
Long Term Debt Issued,,,,,0.0,0.0,,,Cash Flow
Long Term Debt Reduction,,,,,-4048.0,-5306.0,-1468.0,-3115.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-4048.0,-5306.0,-1468.0,-3115.0,Cash Flow
Total Cash From Financing,,,,,242903.0,234969.0,-3965.0,-6731.0,Cash Flow
Net Change in Cash,,,,,181614.0,95031.0,-44622.0,-73083.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,218781.0,218781.0,313812.0,313812.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,400395.0,313812.0,269190.0,240729.0,Cash Flow
"Depreciation, Supplemental",,,,,15461.0,21302.0,5882.0,11701.0,Cash Flow
Free Cash Flow,,,,,-61289.0,-105515.0,-40657.0,-66352.0,
FCF Growth,,,,,,0.721597676581442,-0.6146803771975549,0.6319944904936419,
