,2019,2020,2021,2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Report
"Common Stock, Net",,,,,59.0,-132.0,-391.0,-956.0,Cash Flow
Options Exercised,,,,,14.0,3.0,5.0,7.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,74.0,-129.0,-386.0,-949.0,Cash Flow
Total Cash From Financing,,,,,34.0,-133.0,-389.0,-949.0,Cash Flow
Foreign Exchange Effects,,,,,,-9.0,-16.0,-37.0,Cash Flow
Net Change in Cash,,,,,-1220.0,341.0,-130.0,33.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,2293.0,1073.0,1073.0,1073.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,1073.0,1415.0,943.0,1106.0,Cash Flow
"Depreciation, Supplemental",,,,,48.0,15.0,36.0,58.0,Cash Flow
Free Cash Flow,,,,,1459.0,498.0,727.0,993.0,
FCF Growth,,,,,,-0.658670322138451,0.4598393574297188,0.3658872077028885,
