,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,6.0,6.0,6.0,6.0,Income Statement
"Depreciat/Amort, Suppl",,,,,15.0,17.0,16.0,18.0,Income Statement
Total Special Items,,,,,1.0,0.0,,,Income Statement
Normalzd Income Before Tax,,,,,-45.0,-28.0,-27.0,-44.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,0.0,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,5.0,14.0,3.0,5.0,Income Statement
Normalized Income After Tax,,,,,-50.0,-42.0,-30.0,-48.0,Income Statement
Normalzd Inc Avail to Common,,,,,-50.0,-42.0,-32.0,-49.0,Income Statement
Basic Normalized EPS,,,,,-0.22,-0.18,-0.14,-0.21,Income Statement
Diluted Normalized EPS,,,,,-0.22,-0.18,-0.14,-0.21,Income Statement
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,-191.0,-232.0,-30.0,-79.0,Cash Flow
Depreciation/Depletion,,,,,39.0,56.0,16.0,34.0,Cash Flow
Amortization,,,,,9.0,13.0,4.0,8.0,Cash Flow
Deferred Taxes,,,,,,-14.0,2.0,2.0,Cash Flow
Unusual Items,,,,,-4.0,-5.0,-2.0,-4.0,Cash Flow
Other Non-Cash Items,,,,,306.0,435.0,143.0,317.0,Cash Flow
Non-Cash Items,,,,,301.0,431.0,141.0,313.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,4.0,75.0,4.0,5.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,0.0,0.0,11.0,11.0,Cash Flow
Accounts Receivable,,,,,-41.0,-125.0,-1.0,-51.0,Cash Flow
Prepaid Expenses,,,,,-10.0,-30.0,4.0,-11.0,Cash Flow
Other Assets,,,,,-152.0,-234.0,-51.0,-109.0,Cash Flow
Accounts Payable,,,,,-7.0,33.0,-36.0,1.0,Cash Flow
Accrued Expenses,,,,,97.0,61.0,4.0,1.0,Cash Flow
Changes in Working Capital,,,,,256.0,322.0,82.0,146.0,Cash Flow
Total Cash from Operations,,,,,415.0,575.0,215.0,425.0,Cash Flow
Purchase of Fixed Assets,,,,,-85.0,-112.0,-52.0,-118.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-16.0,-22.0,-6.0,-14.0,Cash Flow
Capital Expenditures,,,,,-101.0,-134.0,-58.0,-132.0,Cash Flow
Acquisition of Business,,,,,-354.0,-415.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,0.0,0.0,,,Cash Flow
Purchase of Investments,,,,,-16.0,-16.0,-3.0,-8.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-370.0,-431.0,-3.0,-8.0,Cash Flow
Total Cash from Investing,,,,,-471.0,-565.0,-61.0,-140.0,Cash Flow
Financing Cash Flow Items,,,,,6.0,6.0,1.0,4.0,Cash Flow
"Common Stock, Net",,,,,,0.0,,,Cash Flow
Options Exercised,,,,,40.0,66.0,3.0,39.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,40.0,66.0,3.0,39.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,0.0,,,Cash Flow
Total Cash From Financing,,,,,46.0,73.0,5.0,43.0,Cash Flow
Foreign Exchange Effects,,,,,-2.0,-5.0,-2.0,-4.0,Cash Flow
Net Change in Cash,,,,,-11.0,78.0,156.0,324.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,1919.0,1919.0,1997.0,1997.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,1908.0,1997.0,2153.0,2320.0,Cash Flow
"Depreciation, Supplemental",,,,,39.0,56.0,16.0,34.0,Cash Flow
Free Cash Flow,,,,,314.0,441.0,157.0,293.0,
FCF Growth,,,,,,0.40445859872611467,-0.6439909297052154,0.8662420382165605,
