,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
"Other Curr. Lblts, Total",,,,,106.0,83.0,94.0,79.0,Balance Sheet
Total Current Liabilities,,,,,563.0,578.0,596.0,571.0,Balance Sheet
Long Term Debt,,,,,3758.0,3837.0,4052.0,4397.0,Balance Sheet
Capital Lease Obligations,,,,,15.0,14.0,13.0,12.0,Balance Sheet
Total Long Term Debt,,,,,3773.0,3851.0,4065.0,4409.0,Balance Sheet
Total Debt,,,,,3874.0,3955.0,4168.0,4467.0,Balance Sheet
Deferred Income Tax,,,,,270.0,239.0,140.0,101.0,Balance Sheet
Minority Interest,,,,,202.0,204.0,187.0,155.0,Balance Sheet
"Other Liabilities, Total",,,,,278.0,380.0,378.0,357.0,Balance Sheet
Total Liabilities,,,,,5085.0,5252.0,5366.0,5594.0,Balance Sheet
Common Stock,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,,1924.0,1889.0,1869.0,1802.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-132.0,106.0,-64.0,-2.0,Balance Sheet
"Other Equity, Total",,,,,-2.0,117.0,78.0,46.0,Balance Sheet
Total Equity,,,,,1792.0,2114.0,1885.0,1847.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,6876.0,7366.0,7251.0,7441.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,207.0,208.0,208.0,209.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,649.0,505.0,585.0,732.0,Income Statement
"Cost of Revenue, Total",,,,,290.0,210.0,271.0,391.0,Income Statement
Selling/Gen/Admin Expense,,,,,105.0,91.0,91.0,112.0,Income Statement
Labor & Related Expense,,,,,2.0,1.0,0.0,1.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,106.0,92.0,91.0,113.0,Income Statement
Depreciation/Amortization,,,,,30.0,34.0,36.0,36.0,Income Statement
Impair-Assets Held for Use,,,,,,,48.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,13.0,2.0,5.0,21.0,Income Statement
Unusual Expense (Income),,,,,13.0,2.0,53.0,21.0,Income Statement
Total Operating Expense,,,,,440.0,339.0,451.0,560.0,Income Statement
Total Operating Income,,,,,209.0,166.0,134.0,172.0,Income Statement
"Inter Expse, Non-Operating",,,,,-57.0,-58.0,-64.0,-91.0,Income Statement
"Inter Capital, Non-Operat",,,,,11.0,13.0,16.0,27.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-46.0,-45.0,-48.0,-64.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,0.0,,,Income Statement
OtherNon-OperatInc (Expnse),,,,,3.0,20.0,22.0,-10.0,Income Statement
"Other, Net",,,,,3.0,20.0,22.0,-10.0,Income Statement
Income Before Tax,,,,,166.0,141.0,108.0,98.0,Income Statement
Income Tax - Total,,,,,5.0,-50.0,-87.0,10.0,Income Statement
Income After Tax,,,,,160.0,191.0,194.0,88.0,Income Statement
Minority Interest,,,,,-1.0,-3.0,9.0,6.0,Income Statement
Equity In Affiliates,,,,,-9.0,50.0,-373.0,-32.0,Income Statement
Net Inc Before Extra Items,,,,,151.0,238.0,-170.0,62.0,Income Statement
Total Net Income,,,,,151.0,238.0,-170.0,62.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,151.0,238.0,-170.0,62.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,151.0,238.0,-170.0,62.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,207.0,210.0,210.0,210.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.73,1.14,-0.81,0.3,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.73,1.14,-0.81,0.3,Income Statement
Diluted Weighted Average Shares,,,,,220.0,210.0,210.0,210.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.69,1.13,-0.81,0.29,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.69,1.13,-0.81,0.29,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.1,0.1,0.0,0.1,Income Statement
Gross Divid - Common Stock,,,,,18.0,21.0,21.0,24.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,46.0,45.0,48.0,64.0,Income Statement
"Interest Capitalized, Suppl",,,,,-11.0,-13.0,-16.0,-27.0,Income Statement
"Depreciat/Amort, Suppl",,,,,26.0,27.0,26.0,27.0,Income Statement
Total Special Items,,,,,13.0,4.0,53.0,21.0,Income Statement
Normalzd Income Before Tax,,,,,179.0,145.0,161.0,119.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,0.0,1.0,19.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,6.0,-48.0,-68.0,12.0,Income Statement
Normalized Income After Tax,,,,,173.0,194.0,229.0,107.0,Income Statement
Normalzd Inc Avail to Common,,,,,164.0,241.0,-135.0,80.0,Income Statement
Basic Normalized EPS,,,,,0.79,1.15,-0.64,0.38,Income Statement
Diluted Normalized EPS,,,,,0.74,1.15,-0.64,0.38,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,93.0,241.0,63.0,119.0,Cash Flow
Depreciation/Depletion,,,,,100.0,35.0,71.0,107.0,Cash Flow
Deferred Taxes,,,,,-9.0,-59.0,-178.0,-203.0,Cash Flow
Unusual Items,,,,,-6.0,-25.0,39.0,68.0,Cash Flow
Equity in Net Earnings/Loss,,,,,-14.0,-50.0,323.0,354.0,Cash Flow
Other Non-Cash Items,,,,,48.0,3.0,-7.0,1.0,Cash Flow
Non-Cash Items,,,,,28.0,-72.0,355.0,424.0,Cash Flow
Accounts Receivable,,,,,-124.0,-58.0,-124.0,-288.0,Cash Flow
Inventories,,,,,-11.0,-19.0,-35.0,-28.0,Cash Flow
Other Assets,,,,,27.0,2.0,-24.0,-42.0,Cash Flow
Accounts Payable,,,,,0.0,2.0,1.0,-3.0,Cash Flow
Accrued Expenses,,,,,-36.0,-12.0,-31.0,-47.0,Cash Flow
Payable/Accrued,,,,,18.0,69.0,72.0,-10.0,Cash Flow
Changes in Working Capital,,,,,-126.0,-31.0,-140.0,-356.0,Cash Flow
Total Cash from Operations,,,,,85.0,114.0,171.0,91.0,Cash Flow
Capital Expenditures,,,,,-669.0,-189.0,-442.0,-787.0,Cash Flow
Acquisition of Business,,,,,-1595.0,0.0,0.0,0.0,Cash Flow
Sale of Business,,,,,,,0.0,0.0,Cash Flow
Other Investing Cash Flow,,,,,-9.0,0.0,0.0,591.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-1604.0,0.0,0.0,591.0,Cash Flow
Total Cash from Investing,,,,,-2274.0,-189.0,-442.0,-196.0,Cash Flow
Financing Cash Flow Items,,,,,-68.0,-17.0,-18.0,-89.0,Cash Flow
Total Cash Dividends Paid,,,,,-89.0,-24.0,-47.0,-75.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,,2435.0,201.0,438.0,1932.0,Cash Flow
Long Term Debt Reduction,,,,,-461.0,-124.0,-146.0,-1518.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,1974.0,77.0,292.0,414.0,Cash Flow
Total Cash From Financing,,,,,1817.0,37.0,227.0,250.0,Cash Flow
Foreign Exchange Effects,,,,,7.0,13.0,-2.0,-5.0,Cash Flow
Net Change in Cash,,,,,-365.0,-25.0,-46.0,140.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,629.0,264.0,264.0,264.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,264.0,239.0,218.0,404.0,Cash Flow
"Depreciation, Supplemental",,,,,100.0,35.0,71.0,107.0,Cash Flow
Free Cash Flow,,,,,-584.0,-75.0,-271.0,-696.0,
FCF Growth,,,,,,-0.8715753424657534,2.6133333333333333,1.5682656826568264,
