,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
"Inter Income, Non-Operating",,,,,81.0,198.0,372.0,912.0,Income Statement
"Invest Income, Non-Operat",,,,,-301.0,-337.0,-387.0,-1486.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,-220.0,-139.0,-15.0,-574.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-56.0,,-24.0,-74.0,Income Statement
"Other, Net",,,,,-56.0,,-24.0,-74.0,Income Statement
Income Before Tax,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Income After Tax,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Net Inc Before Extra Items,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Total Net Income,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,48739.0,48938.0,49072.0,52901.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-1.15,-1.26,-1.41,-1.37,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-1.15,-1.26,-1.41,-1.37,Income Statement
Diluted Weighted Average Shares,,,,,48739.0,48938.0,49072.0,52901.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-1.15,-1.26,-1.41,-1.37,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-1.15,-1.26,-1.41,-1.37,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,146.0,108.0,190.0,212.0,Income Statement
Normalzd Income Before Tax,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Normalized Income After Tax,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Normalzd Inc Avail to Common,,,,,-56072.0,-61801.0,-69050.0,-72388.0,Income Statement
Basic Normalized EPS,,,,,-1.15,-1.26,-1.41,-1.37,Income Statement
Diluted Normalized EPS,,,,,-1.15,-1.26,-1.41,-1.37,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,-173910.0,-61801.0,-130851.0,-203239.0,Cash Flow
Depreciation/Depletion,,,,,490.0,108.0,298.0,510.0,Cash Flow
Equity in Net Earnings/Loss,,,,,988.0,337.0,724.0,2210.0,Cash Flow
Other Non-Cash Items,,,,,39437.0,17366.0,36082.0,54886.0,Cash Flow
Non-Cash Items,,,,,40425.0,17703.0,36806.0,57096.0,Cash Flow
Prepaid Expenses,,,,,-4609.0,1729.0,1951.0,4065.0,Cash Flow
Other Assets,,,,,-707.0,82.0,22.0,256.0,Cash Flow
Accounts Payable,,,,,2074.0,-1770.0,-1233.0,1162.0,Cash Flow
Accrued Expenses,,,,,9912.0,-4695.0,5438.0,13542.0,Cash Flow
Changes in Working Capital,,,,,5118.0,-4698.0,5988.0,38270.0,Cash Flow
Total Cash from Operations,,,,,-127877.0,-48688.0,-87759.0,-107363.0,Cash Flow
Capital Expenditures,,,,,-2016.0,-2387.0,-4912.0,-8440.0,Cash Flow
Sale/Maturity of Investment,,,,,391031.0,52053.0,130246.0,220006.0,Cash Flow
Purchase of Investments,,,,,-305423.0,-23242.0,-72153.0,-72153.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,85608.0,28811.0,58093.0,147853.0,Cash Flow
Total Cash from Investing,,,,,83592.0,26424.0,53181.0,139413.0,Cash Flow
Sale/Issuance of Common,,,,,0.0,,,340066.0,Cash Flow
Repurch/Retirement Common,,,,,,-906.0,-1129.0,-1341.0,Cash Flow
"Common Stock, Net",,,,,0.0,-906.0,-1129.0,338725.0,Cash Flow
"Preferred Stock, Net",,,,,0.0,,,,Cash Flow
Options Exercised,,,,,1157.0,1167.0,1302.0,1679.0,Cash Flow
Total Cash From Financing,,,,,1157.0,261.0,173.0,340404.0,Cash Flow
Net Change in Cash,,,,,-43128.0,-22003.0,-34405.0,372454.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,147654.0,104526.0,104526.0,104526.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,104526.0,82523.0,70121.0,476980.0,Cash Flow
"Depreciation, Supplemental",,,,,490.0,108.0,298.0,510.0,Cash Flow
Free Cash Flow,,,,,-129893.0,-51075.0,-92671.0,-115803.0,
FCF Growth,,,,,,-0.6067917439738861,0.8144101811062163,0.24961422667285338,
