,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Total Liabilities & Shareholders’ Equity,,,,,,4792.0,4762.0,4079.0,3479.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,159.0,160.0,161.0,161.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,187.0,177.0,176.0,179.0,Income Statement
"Cost of Revenue, Total",,,,,,57.0,35.0,19.0,20.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,102.0,94.0,106.0,107.0,Income Statement
Research & Development,,,,,,23.0,23.0,22.0,23.0,Income Statement
Depreciation/Amortization,,,,,,14.0,13.0,13.0,13.0,Income Statement
Impair-Assets Held for Use,,,,,,,,612.0,279.0,Income Statement
Other Unusual Expnse (In),,,,,,1.0,0.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,1.0,0.0,612.0,279.0,Income Statement
Total Operating Expense,,,,,,197.0,165.0,773.0,442.0,Income Statement
Total Operating Income,,,,,,-10.0,11.0,-597.0,-262.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-16.0,-16.0,-18.0,-23.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-1.0,0.0,1.0,-2.0,Income Statement
"Other, Net",,,,,,-1.0,0.0,1.0,-2.0,Income Statement
Income Before Tax,,,,,,-28.0,-5.0,-614.0,-288.0,Income Statement
Income Tax - Total,,,,,,-6.0,0.0,8.0,4.0,Income Statement
Income After Tax,,,,,,-22.0,-5.0,-622.0,-292.0,Income Statement
Net Inc Before Extra Items,,,,,,-22.0,-5.0,-622.0,-292.0,Income Statement
Discontinued Operations,,,,,,0.0,0.0,0.0,0.0,Income Statement
Tax on Extraordinary Items,,,,,,-2.0,,,,Income Statement
Total Extraordinary Items,,,,,,-2.0,0.0,0.0,0.0,Income Statement
Total Net Income,,,,,,-24.0,-5.0,-622.0,-292.0,Income Statement
Total Adjust to Net Income,,,,,,0.0,0.0,0.0,,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-22.0,-5.0,-622.0,-292.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-24.0,-5.0,-622.0,-292.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,159.0,160.0,161.0,161.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.14,-0.03,-3.87,-1.81,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.15,-0.03,-3.87,-1.81,Income Statement
Diluted Weighted Average Shares,,,,,,159.0,160.0,161.0,161.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.14,-0.03,-3.87,-1.81,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.15,-0.03,-3.87,-1.81,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,16.0,16.0,18.0,23.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,4.0,3.0,3.0,3.0,Income Statement
Total Special Items,,,,,,19.0,7.0,616.0,290.0,Income Statement
Normalzd Income Before Tax,,,,,,-9.0,3.0,2.0,2.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,7.0,3.0,216.0,101.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,0.0,2.0,224.0,106.0,Income Statement
Normalized Income After Tax,,,,,,-10.0,0.0,-222.0,-104.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-10.0,0.0,-222.0,-104.0,Income Statement
Basic Normalized EPS,,,,,,-0.06,0.0,-1.38,-0.64,Income Statement
Diluted Normalized EPS,,,,,,-0.06,0.0,-1.38,-0.64,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-64.0,-5.0,-627.0,-919.0,Cash Flow
Depreciation/Depletion,,,,,,230.0,34.0,54.0,74.0,Cash Flow
Deferred Taxes,,,,,,-41.0,-6.0,-9.0,-10.0,Cash Flow
Discontinued Operations,,,,,,38.0,0.0,0.0,0.0,Cash Flow
Unusual Items,,,,,,,,,2.0,Cash Flow
Other Non-Cash Items,,,,,,67.0,18.0,659.0,963.0,Cash Flow
Non-Cash Items,,,,,,105.0,18.0,659.0,965.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,44.0,6.0,19.0,25.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,56.0,14.0,31.0,55.0,Cash Flow
Accounts Receivable,,,,,,-10.0,-4.0,9.0,-2.0,Cash Flow
Prepaid Expenses,,,,,,-14.0,8.0,7.0,-20.0,Cash Flow
Accounts Payable,,,,,,-5.0,0.0,0.0,2.0,Cash Flow
Accrued Expenses,,,,,,-11.0,-8.0,-4.0,19.0,Cash Flow
Changes in Working Capital,,,,,,-74.0,-1.0,4.0,-4.0,Cash Flow
Total Cash from Operations,,,,,,156.0,40.0,81.0,107.0,Cash Flow
Purchase of Fixed Assets,,,,,,-9.0,-1.0,-4.0,-6.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-5.0,-3.0,-8.0,-11.0,Cash Flow
Capital Expenditures,,,,,,-14.0,-4.0,-11.0,-17.0,Cash Flow
Acquisition of Business,,,,,,,-7.0,-7.0,-7.0,Cash Flow
Sale of Business,,,,,,0.0,,,,Cash Flow
Sale/Maturity of Investment,,,,,,0.0,,,16.0,Cash Flow
Purchase of Investments,,,,,,,,-56.0,-67.0,Cash Flow
Other Investing Cash Flow,,,,,,-15.0,0.0,0.0,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-15.0,-7.0,-62.0,-57.0,Cash Flow
Total Cash from Investing,,,,,,-28.0,-11.0,-73.0,-74.0,Cash Flow
Financing Cash Flow Items,,,,,,504.0,0.0,0.0,0.0,Cash Flow
Total Cash Dividends Paid,,,,,,-237.0,,,0.0,Cash Flow
Sale/Issuance of Common,,,,,,6.0,2.0,2.0,3.0,Cash Flow
Repurch/Retirement Common,,,,,,-14.0,-6.0,-8.0,-9.0,Cash Flow
"Common Stock, Net",,,,,,-9.0,-5.0,-6.0,-6.0,Cash Flow
Options Exercised,,,,,,1.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-8.0,-5.0,-6.0,-6.0,Cash Flow
Long Term Debt Issued,,,,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,,,,-21.0,-5.0,-10.0,-315.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-21.0,-5.0,-10.0,-315.0,Cash Flow
Total Cash From Financing,,,,,,238.0,-10.0,-16.0,-321.0,Cash Flow
Foreign Exchange Effects,,,,,,-4.0,-1.0,-2.0,-2.0,Cash Flow
Net Change in Cash,,,,,,362.0,19.0,-10.0,-290.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,370.0,732.0,732.0,732.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,732.0,751.0,722.0,442.0,Cash Flow
"Depreciation, Supplemental",,,,,,230.0,34.0,54.0,74.0,Cash Flow
Free Cash Flow,,,,,,142.0,36.0,70.0,90.0,
FCF Growth,,,,,,,-0.7464788732394366,0.9444444444444444,0.2857142857142858,
