,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Curr. Port. LT Dbt/Cap Ls.,,,,25.0,25.0,25.0,25.0,Balance Sheet
Income Taxes Payable,,,,,18.0,,,Balance Sheet
Other Payables,,,,38.0,41.0,46.0,44.0,Balance Sheet
"Other Curr. Lblts, Total",,,,38.0,59.0,46.0,44.0,Balance Sheet
Total Current Liabilities,,,,484.0,482.0,519.0,548.0,Balance Sheet
Total Long Term Debt,,,,2087.0,2082.0,2076.0,2071.0,Balance Sheet
Total Debt,,,,2112.0,2107.0,2101.0,2096.0,Balance Sheet
Deferred Income Tax,,,,351.0,349.0,352.0,362.0,Balance Sheet
Pension Benefits - Underfunded,,,,50.0,49.0,50.0,49.0,Balance Sheet
Other LT Liabilities,,,,84.0,81.0,86.0,84.0,Balance Sheet
"Other Liabilities, Total",,,,134.0,130.0,136.0,133.0,Balance Sheet
Total Liabilities,,,,3056.0,3043.0,3083.0,3114.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1381.0,1381.0,1383.0,1383.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,365.0,369.0,373.0,373.0,Balance Sheet
Cum. Trans. Adjustment,,,,-6.0,-6.0,-6.0,42.0,Balance Sheet
Other Equity,,,,0.0,0.0,0.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,12.0,11.0,11.0,,Balance Sheet
Other Comprehensive Income,,,,4.0,12.0,15.0,,Balance Sheet
"Other Equity, Total",,,,10.0,17.0,20.0,42.0,Balance Sheet
Total Equity,,,,1756.0,1767.0,1776.0,1798.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,4812.0,4810.0,4859.0,4912.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,210.0,210.0,210.0,210.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,1022.0,845.0,917.0,967.0,Income Statement
"Cost of Revenue, Total",,,,793.0,677.0,733.0,789.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,76.0,83.0,91.0,90.0,Income Statement
Unusual Expense (Income),,,,3.0,4.0,3.0,3.0,Income Statement
"Other Operat Expse, Total",,,,,1.0,4.0,2.0,Income Statement
Total Operating Expense,,,,872.0,765.0,831.0,884.0,Income Statement
Total Operating Income,,,,150.0,80.0,86.0,83.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-12.0,-12.0,-16.0,-20.0,Income Statement
Income Before Tax,,,,138.0,68.0,70.0,63.0,Income Statement
Income Tax - Total,,,,34.0,16.0,18.0,15.0,Income Statement
Income After Tax,,,,104.0,52.0,52.0,48.0,Income Statement
Net Inc Before Extra Items,,,,104.0,52.0,52.0,48.0,Income Statement
Total Net Income,,,,104.0,52.0,52.0,48.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,104.0,52.0,52.0,48.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,104.0,52.0,52.0,48.0,Income Statement
Basic/Primary Weighted Average Shares,,,,210.0,210.0,210.0,210.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,0.5,0.25,0.25,0.23,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,0.5,0.25,0.25,0.23,Income Statement
Diluted Weighted Average Shares,,,,210.0,210.0,210.0,210.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,0.5,0.25,0.25,0.23,Income Statement
Diluted EPS Incl. Extra. Items,,,,0.5,0.25,0.25,0.23,Income Statement
Div/Share-ComStockPrimIssue,,,,0.23,0.23,0.0,0.23,Income Statement
Gross Divid - Common Stock,,,,48.0,48.0,48.0,,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,12.0,12.0,16.0,20.0,Income Statement
"Depreciat/Amort, Suppl",,,,28.0,28.0,29.0,30.0,Income Statement
Total Special Items,,,,3.0,4.0,3.0,3.0,Income Statement
Normalzd Income Before Tax,,,,141.0,72.0,73.0,66.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1.0,1.0,1.0,1.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,35.0,17.0,19.0,16.0,Income Statement
Normalized Income After Tax,,,,106.0,55.0,54.0,50.0,Income Statement
Normalzd Inc Avail to Common,,,,106.0,55.0,54.0,50.0,Income Statement
Basic Normalized EPS,,,,0.51,0.26,0.26,0.24,Income Statement
Diluted Normalized EPS,,,,0.51,0.26,0.26,0.24,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,324000.0,52000.0,104000.0,152000.0,Cash Flow
Depreciation/Depletion,,,,109000.0,28000.0,57000.0,87000.0,Cash Flow
Deferred Taxes,,,,22000.0,-4000.0,-3000.0,-1000.0,Cash Flow
Unusual Items,,,,0.0,,,,Cash Flow
Other Non-Cash Items,,,,4000.0,2000.0,4000.0,4000.0,Cash Flow
Non-Cash Items,,,,4000.0,2000.0,4000.0,4000.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,91000.0,,37000.0,49000.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,42000.0,Cash Flow
Accounts Receivable,,,,-29000.0,-4000.0,64000.0,27000.0,Cash Flow
Inventories,,,,-165000.0,-64000.0,-151000.0,-213000.0,Cash Flow
Accounts Payable,,,,68000.0,8000.0,30000.0,46000.0,Cash Flow
Accrued Expenses,,,,-15000.0,-18000.0,12000.0,23000.0,Cash Flow
Changes in Working Capital,,,,-149000.0,-59000.0,-61000.0,-124000.0,Cash Flow
Total Cash from Operations,,,,310000.0,19000.0,101000.0,118000.0,Cash Flow
Capital Expenditures,,,,-141000.0,-28000.0,-56000.0,-86000.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,0.0,,,,Cash Flow
Total Cash from Investing,,,,-141000.0,-28000.0,-56000.0,-86000.0,Cash Flow
Financing Cash Flow Items,,,,0.0,,,,Cash Flow
Total Cash Dividends Paid,,,,-192000.0,-48000.0,-96000.0,-144000.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,,-125000.0,-6000.0,-12000.0,-19000.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,-125000.0,-6000.0,-12000.0,-19000.0,Cash Flow
Total Cash From Financing,,,,-317000.0,-54000.0,-108000.0,-163000.0,Cash Flow
Net Change in Cash,,,,-148000.0,-63000.0,-63000.0,-131000.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,312000.0,164000.0,164000.0,164000.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,164000.0,101000.0,101000.0,33000.0,Cash Flow
"Depreciation, Supplemental",,,,109000.0,28000.0,57000.0,87000.0,Cash Flow
Free Cash Flow,,,,169000.0,-9000.0,45000.0,32000.0,
FCF Growth,,,,,-1.0532544378698225,-6.0,-0.28888888888888886,
