,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,0.0,0.0,0.0,0.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,9.0,10.0,9.0,11.0,Income Statement
Total Special Items,,,,,,4.0,6.0,7.0,6.0,Income Statement
Normalzd Income Before Tax,,,,,,135.0,14.0,5.0,-62.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,2.0,3.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,8.0,1.0,1.0,-2.0,Income Statement
Normalized Income After Tax,,,,,,127.0,12.0,4.0,-60.0,Income Statement
Normalzd Inc Avail to Common,,,,,,127.0,12.0,4.0,-60.0,Income Statement
Basic Normalized EPS,,,,,,1.0,0.1,0.03,-0.47,Income Statement
Diluted Normalized EPS,,,,,,0.89,0.09,0.03,-0.47,Income Statement
Date,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Cash Flow
Net Income,,,,,,123481.0,132047.0,131451.0,67383.0,Cash Flow
Depreciation/Depletion,,,,,,9217.0,18792.0,27699.0,38504.0,Cash Flow
Deferred Taxes,,,,,,14.0,-129.0,-1238.0,-1508.0,Cash Flow
Unusual Items,,,,,,,,62.0,62.0,Cash Flow
Other Non-Cash Items,,,,,,19092.0,45308.0,70494.0,97334.0,Cash Flow
Non-Cash Items,,,,,,19092.0,45308.0,70556.0,97396.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,413.0,8916.0,8862.0,9306.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,23.0,85.0,223.0,344.0,Cash Flow
Accounts Receivable,,,,,,-79000.0,-12786.0,-28476.0,-5513.0,Cash Flow
Inventories,,,,,,-21800.0,-86153.0,-158129.0,-277489.0,Cash Flow
Other Assets,,,,,,4086.0,-6082.0,-1587.0,-16604.0,Cash Flow
Accrued Expenses,,,,,,-49094.0,-45084.0,-49769.0,-52904.0,Cash Flow
Payable/Accrued,,,,,,185127.0,51643.0,97421.0,129686.0,Cash Flow
Changes in Working Capital,,,,,,28130.0,-113644.0,-152811.0,-230035.0,Cash Flow
Total Cash from Operations,,,,,,179934.0,82374.0,75657.0,-28260.0,Cash Flow
Capital Expenditures,,,,,,-6355.0,-15665.0,-24946.0,-46216.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-27101.0,-27101.0,-126416.0,-126416.0,Cash Flow
Total Cash from Investing,,,,,,-33456.0,-42766.0,-151362.0,-172632.0,Cash Flow
Financing Cash Flow Items,,,,,,-929.0,-929.0,-929.0,-929.0,Cash Flow
"Common Stock, Net",,,,,,-43247.0,-97083.0,-150505.0,-189774.0,Cash Flow
Options Exercised,,,,,,13232.0,29254.0,37257.0,40443.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-30015.0,-67829.0,-113248.0,-149331.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,0.0,0.0,0.0,Cash Flow
Total Cash From Financing,,,,,,-30944.0,-68758.0,-114177.0,-150260.0,Cash Flow
Foreign Exchange Effects,,,,,,-1218.0,-4207.0,-10493.0,-14094.0,Cash Flow
Net Change in Cash,,,,,,114316.0,-33357.0,-200375.0,-365246.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,640101.0,640101.0,640101.0,640101.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,754417.0,606744.0,439726.0,274855.0,Cash Flow
"Depreciation, Supplemental",,,,,,9217.0,18792.0,27699.0,38504.0,Cash Flow
Free Cash Flow,,,,,,173579.0,66709.0,50711.0,-74476.0,
FCF Growth,,,,,,,-0.6156850771118626,-0.23981771575049848,-2.468635996134961,
