,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Ret. Earn.(Accum. Deficit),,,,,,-2428.0,-2407.0,-2417.0,-3004.0,Balance Sheet
"Other Equity, Total",,,,,,-2.0,-2.0,-2.0,-2.0,Balance Sheet
Total Equity,,,,,,2209.0,2233.0,2228.0,1646.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,10921.0,10819.0,10962.0,10387.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,433.0,433.0,433.0,433.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,247.0,342.0,329.0,332.0,Income Statement
"Cost of Revenue, Total",,,,,,42.0,33.0,32.0,35.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,34.0,28.0,29.0,33.0,Income Statement
Depreciation,,,,,,66.0,67.0,68.0,69.0,Income Statement
Amortiz of Intangibles,,,,,,16.0,16.0,16.0,16.0,Income Statement
Depreciation/Amortization,,,,,,83.0,83.0,84.0,85.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,,0.0,0.0,Income Statement
Impair-Assets Held for Sale,,,,,,1926.0,,,583.0,Income Statement
Other Unusual Expnse (In),,,,,,0.0,0.0,25.0,0.0,Income Statement
Unusual Expense (Income),,,,,,1926.0,0.0,25.0,583.0,Income Statement
Total Operating Expense,,,,,,2086.0,144.0,170.0,736.0,Income Statement
Total Operating Income,,,,,,-1839.0,198.0,158.0,-405.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-95.0,-95.0,,,Income Statement
"Inter Income, Non-Operating",,,,,,1.0,1.0,,,Income Statement
"Invest Income, Non-Operat",,,,,,-51.0,6.0,14.0,-2.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-50.0,8.0,14.0,-2.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,,-95.0,-101.0,Income Statement
"Other, Net",,,,,,0.0,0.0,0.0,3.0,Income Statement
Income Before Tax,,,,,,-1984.0,111.0,77.0,-505.0,Income Statement
Income Tax - Total,,,,,,-410.0,6.0,4.0,-1.0,Income Statement
Income After Tax,,,,,,-1574.0,105.0,74.0,-504.0,Income Statement
Minority Interest,,,,,,-4.0,-4.0,-4.0,-3.0,Income Statement
Net Inc Before Extra Items,,,,,,-1578.0,101.0,70.0,-507.0,Income Statement
Total Net Income,,,,,,-1578.0,101.0,70.0,-507.0,Income Statement
Total Adjust to Net Income,,,,,,-15.0,-15.0,-15.0,-15.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-1592.0,87.0,55.0,-521.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-1592.0,87.0,55.0,-521.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,433.0,433.0,433.0,433.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-3.68,0.2,0.13,-1.2,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-3.68,0.2,0.13,-1.2,Income Statement
Diluted Weighted Average Shares,,,,,,433.0,434.0,434.0,433.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-3.68,0.2,0.13,-1.2,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-3.68,0.2,0.13,-1.2,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.15,0.15,0.15,0.15,Income Statement
Gross Divid - Common Stock,,,,,,95.0,66.0,65.0,66.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,95.0,95.0,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,66.0,67.0,68.0,69.0,Income Statement
Total Special Items,,,,,,1926.0,0.0,25.0,583.0,Income Statement
Normalzd Income Before Tax,,,,,,-57.0,111.0,102.0,78.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,674.0,0.0,1.0,204.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,264.0,6.0,5.0,203.0,Income Statement
Normalized Income After Tax,,,,,,-321.0,105.0,98.0,-125.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-340.0,87.0,79.0,-142.0,Income Statement
Basic Normalized EPS,,,,,,-0.79,0.2,0.18,-0.33,Income Statement
Diluted Normalized EPS,,,,,,-0.79,0.2,0.18,-0.33,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-1366.0,105.0,179.0,-325.0,Cash Flow
Depreciation/Depletion,,,,,,270.0,67.0,135.0,203.0,Cash Flow
Amortization,,,,,,65.0,16.0,32.0,49.0,Cash Flow
Deferred Taxes,,,,,,-350.0,5.0,7.0,8.0,Cash Flow
Unusual Items,,,,,,2024.0,0.0,25.0,608.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,-18.0,0.0,0.0,0.0,Cash Flow
Other Non-Cash Items,,,,,,31.0,-4.0,-14.0,-11.0,Cash Flow
Non-Cash Items,,,,,,2037.0,-4.0,11.0,597.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,1.0,1.0,1.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,343.0,166.0,198.0,339.0,Cash Flow
Accounts Receivable,,,,,,64.0,35.0,39.0,35.0,Cash Flow
Accounts Payable,,,,,,-3.0,-8.0,0.0,2.0,Cash Flow
Accrued Expenses,,,,,,,-75.0,-15.0,-57.0,Cash Flow
Changes in Working Capital,,,,,,512.0,-3.0,173.0,215.0,Cash Flow
Total Cash from Operations,,,,,,1169.0,186.0,537.0,747.0,Cash Flow
Capital Expenditures,,,,,,-291.0,-71.0,-163.0,-277.0,Cash Flow
Sale of Business,,,,,,0.0,,,,Cash Flow
Sale of Fixed Assets,,,,,,,,,4.0,Cash Flow
Purchase of Investments,,,,,,-288.0,-73.0,-112.0,-158.0,Cash Flow
Other Investing Cash Flow,,,,,,5.0,1.0,3.0,4.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-282.0,-71.0,-109.0,-150.0,Cash Flow
Total Cash from Investing,,,,,,-573.0,-142.0,-272.0,-427.0,Cash Flow
Financing Cash Flow Items,,,,,,-32.0,0.0,-20.0,-36.0,Cash Flow
Cash Divids Paid - Common,,,,,,-259.0,-65.0,-130.0,-195.0,Cash Flow
Cash Divs Paid - Preferred,,,,,,-59.0,-15.0,-29.0,-44.0,Cash Flow
Total Cash Dividends Paid,,,,,,-318.0,-80.0,-159.0,-239.0,Cash Flow
"Common Stock, Net",,,,,,0.0,,,,Cash Flow
Sale/Issuance of Preferred,,,,,,0.0,,,,Cash Flow
Repurch/Retirement Preferd,,,,,,0.0,,,,Cash Flow
"Preferred Stock, Net",,,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,,,2368.0,55.0,1140.0,1285.0,Cash Flow
Long Term Debt Reduction,,,,,,-2686.0,-112.0,-1246.0,-1416.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-319.0,-57.0,-106.0,-131.0,Cash Flow
Total Cash From Financing,,,,,,-669.0,-137.0,-285.0,-406.0,Cash Flow
Net Change in Cash,,,,,,-73.0,-93.0,-20.0,-87.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,208.0,135.0,135.0,135.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,135.0,42.0,115.0,48.0,Cash Flow
"Depreciation, Supplemental",,,,,,270.0,67.0,135.0,203.0,Cash Flow
Free Cash Flow,,,,,,878.0,115.0,374.0,470.0,
FCF Growth,,,,,,,-0.8690205011389521,2.252173913043478,0.25668449197860954,
