,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Total Current Liabilities,,,,,,1515.0,1360.0,1520.0,1591.0,Balance Sheet
Long Term Debt,,,,,,7453.0,7466.0,7619.0,7634.0,Balance Sheet
Capital Lease Obligations,,,,,,7.0,10.0,9.0,9.0,Balance Sheet
Total Long Term Debt,,,,,,7460.0,7476.0,7629.0,7644.0,Balance Sheet
Total Debt,,,,,,7566.0,7594.0,7795.0,7852.0,Balance Sheet
Deferred Income Tax,,,,,,696.0,699.0,688.0,704.0,Balance Sheet
Minority Interest,,,,,,677.0,687.0,651.0,650.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,216.0,,,,Balance Sheet
Other LT Liabilities,,,,,,732.0,879.0,864.0,930.0,Balance Sheet
Discont. Ops. - Lblts,,,,,,1854.0,1862.0,1801.0,1669.0,Balance Sheet
"Other Liabilities, Total",,,,,,2802.0,2741.0,2665.0,2599.0,Balance Sheet
Total Liabilities,,,,,,13150.0,12963.0,13152.0,13187.0,Balance Sheet
Common Stock,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,,,,5075.0,5113.0,5146.0,5164.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-2678.0,-2594.0,-3067.0,-3004.0,Balance Sheet
Treasury Stock - Common,,,,,,-74.0,-130.0,-193.0,-226.0,Balance Sheet
"Other Equity, Total",,,,,,-90.0,-123.0,-70.0,-60.0,Balance Sheet
Total Equity,,,,,,2236.0,2268.0,1818.0,1876.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,15386.0,15231.0,14970.0,15063.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,45.0,45.0,44.0,44.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,182.0,181.0,175.0,172.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,230.0,228.0,222.0,218.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,5.0,7.0,7.0,7.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,1.0,5.0,11.0,16.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,1279.0,1219.0,1218.0,1222.0,Income Statement
"Cost of Revenue, Total",,,,,,343.0,302.0,300.0,299.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,29.0,30.0,32.0,21.0,Income Statement
Depreciation/Amortization,,,,,,211.0,214.0,213.0,234.0,Income Statement
Restructuring Charge,,,,,,8.0,3.0,3.0,5.0,Income Statement
Impair-Assets Held for Use,,,,,,606.0,2.0,557.0,0.0,Income Statement
Other Unusual Expnse (In),,,,,,41.0,3.0,9.0,-39.0,Income Statement
Unusual Expense (Income),,,,,,656.0,8.0,569.0,-34.0,Income Statement
"Other Operat Expse, Total",,,,,,466.0,476.0,455.0,508.0,Income Statement
Total Operating Expense,,,,,,1706.0,1030.0,1568.0,1028.0,Income Statement
Total Operating Income,,,,,,-427.0,188.0,-350.0,194.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-130.0,-130.0,-137.0,-149.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-14.0,63.0,21.0,79.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,0.0,-5.0,0.0,-2.0,Income Statement
"Other, Net",,,,,,0.0,-5.0,0.0,-2.0,Income Statement
Income Before Tax,,,,,,-570.0,117.0,-466.0,122.0,Income Statement
Income Tax - Total,,,,,,84.0,24.0,40.0,39.0,Income Statement
Income After Tax,,,,,,-655.0,93.0,-507.0,83.0,Income Statement
Minority Interest,,,,,,44.0,-10.0,34.0,1.0,Income Statement
Net Inc Before Extra Items,,,,,,-611.0,84.0,-473.0,84.0,Income Statement
Total Net Income,,,,,,-611.0,84.0,-473.0,84.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-611.0,84.0,-473.0,84.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-611.0,84.0,-473.0,84.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,231.0,228.0,225.0,220.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-2.64,0.37,-2.1,0.38,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-2.64,0.37,-2.1,0.38,Income Statement
Diluted Weighted Average Shares,,,,,,231.0,250.0,225.0,241.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-2.64,0.34,-2.1,0.35,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-2.64,0.34,-2.1,0.35,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,130.0,130.0,137.0,149.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,211.0,214.0,213.0,234.0,Income Statement
Total Special Items,,,,,,656.0,8.0,569.0,-34.0,Income Statement
Normalzd Income Before Tax,,,,,,86.0,125.0,102.0,88.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,229.0,2.0,199.0,-11.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,314.0,25.0,239.0,28.0,Income Statement
Normalized Income After Tax,,,,,,-228.0,99.0,-137.0,60.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-184.0,90.0,-103.0,61.0,Income Statement
Basic Normalized EPS,,,,,,-0.8,0.39,-0.46,0.28,Income Statement
Diluted Normalized EPS,,,,,,-0.8,0.36,-0.46,0.25,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-490.0,93.0,-413.0,-336.0,Cash Flow
Depreciation/Depletion,,,,,,965.0,214.0,427.0,662.0,Cash Flow
Deferred Taxes,,,,,,104.0,1.0,-7.0,15.0,Cash Flow
Unusual Items,,,,,,137.0,36.0,310.0,134.0,Cash Flow
Other Non-Cash Items,,,,,,471.0,-57.0,246.0,332.0,Cash Flow
Non-Cash Items,,,,,,608.0,-21.0,555.0,467.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,44.0,25.0,58.0,84.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,463.0,150.0,241.0,403.0,Cash Flow
Changes in Working Capital,,,,,,-171.0,-164.0,-216.0,-316.0,Cash Flow
Total Cash from Operations,,,,,,1016.0,122.0,347.0,492.0,Cash Flow
Capital Expenditures,,,,,,-736.0,-165.0,-320.0,-498.0,Cash Flow
Acquisition of Business,,,,,,-521.0,-25.0,-22.0,-234.0,Cash Flow
Sale of Business,,,,,,,1.0,1.0,4.0,Cash Flow
Sale of Fixed Assets,,,,,,21.0,,,,Cash Flow
Other Investing Cash Flow,,,,,,-33.0,0.0,-2.0,-16.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-532.0,-24.0,-23.0,-247.0,Cash Flow
Total Cash from Investing,,,,,,-1269.0,-189.0,-343.0,-745.0,Cash Flow
Financing Cash Flow Items,,,,,,-127.0,-11.0,-2.0,80.0,Cash Flow
Sale/Issuance of Common,,,,,,0.0,,,,Cash Flow
Repurch/Retirement Common,,,,,,-63.0,-55.0,-119.0,-153.0,Cash Flow
"Common Stock, Net",,,,,,-63.0,-55.0,-119.0,-153.0,Cash Flow
Options Exercised,,,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-63.0,-55.0,-119.0,-153.0,Cash Flow
Long Term Debt Issued,,,,,,1249.0,39.0,258.0,315.0,Cash Flow
Long Term Debt Reduction,,,,,,-633.0,-50.0,-106.0,-221.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,617.0,-12.0,153.0,95.0,Cash Flow
Total Cash From Financing,,,,,,427.0,-78.0,31.0,22.0,Cash Flow
Foreign Exchange Effects,,,,,,-13.0,2.0,-2.0,-4.0,Cash Flow
Net Change in Cash,,,,,,162.0,-143.0,33.0,-234.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,913.0,1074.0,1074.0,1074.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,1074.0,931.0,1107.0,840.0,Cash Flow
"Depreciation, Supplemental",,,,,,965.0,214.0,427.0,662.0,Cash Flow
Free Cash Flow,,,,,,280.0,-43.0,27.0,-6.0,
FCF Growth,,,,,,,-1.1535714285714285,-1.627906976744186,-1.2222222222222223,
