,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q2 2021,Q3 2021
Basic/Primary Weighted Average Shares,,,,,,,164722.0,186141.0,183711.0,183314.0,Income Statement,,
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.22,0.6,0.68,0.66,Income Statement,,
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.22,0.6,0.68,0.66,Income Statement,,
Diluted Weighted Average Shares,,,,,,,164722.0,187265.0,183711.0,183314.0,Income Statement,,
Diluted EPS Excl. Extra. Items,,,,,,,-0.22,0.6,0.68,0.66,Income Statement,,
Diluted EPS Incl. Extra. Items,,,,,,,-0.22,0.6,0.68,0.66,Income Statement,,
Div/Share-ComStockPrimIssue,,,,,,,0.2,0.2,0.22,0.22,Income Statement,,
Gross Divid - Common Stock,,,,,,,38571.0,39425.0,,,Income Statement,,
Pro Forma Net Income,,,,,,,,,,,Income Statement,,
"Depreciat/Amort, Suppl",,,,,,,5309.0,52952.0,,,Income Statement,,
Total Special Items,,,,,,,44843.0,3974.0,15039.0,26608.0,Income Statement,,
Normalzd Income Before Tax,,,,,,,-2847.0,152564.0,178151.0,186719.0,Income Statement,,
Efct/SpecItemsIncTxs (STEC),,,,,,,15695.0,900.0,3333.0,6101.0,Income Statement,,
IncTxsExcl ImpctofSpec Itms,,,,,,,2662.0,34543.0,39487.0,42814.0,Income Statement,,
Normalized Income After Tax,,,,,,,-5509.0,118021.0,138664.0,143905.0,Income Statement,,
Normalzd Inc Avail to Common,,,,,,,-7881.0,115649.0,136292.0,141533.0,Income Statement,,
Basic Normalized EPS,,,,,,,-0.05,0.62,0.74,0.77,Income Statement,,
Diluted Normalized EPS,,,,,,,-0.05,0.62,0.74,0.77,Income Statement,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,,,Cash Flow,2021-06-30 00:00:00,2021-09-30 00:00:00
Net Income,,,,,,,195.0,115.0,,,Cash Flow,157.0,230.0
Depreciation/Depletion,,,,,,,176.0,60.0,,,Cash Flow,17.0,26.0
Amortization,,,,,,,,,,,Cash Flow,5.0,7.0
Deferred Taxes,,,,,,,-22.0,,,,Cash Flow,,
Non-Cash Items,,,,,,,18.0,4.0,,,Cash Flow,32.0,52.0
"Cash Taxes Pd, Supplemental",,,,,,,77.0,1.0,,,Cash Flow,44.0,76.0
"Cash Interest Pd, Suppl",,,,,,,79.0,16.0,,,Cash Flow,37.0,57.0
Loan Loss Provision,,,,,,,138.0,,,,Cash Flow,12.0,5.0
Other Assets,,,,,,,77.0,29.0,,,Cash Flow,-10.0,-16.0
Changes in Working Capital,,,,,,,806.0,55.0,,,Cash Flow,-46.0,-54.0
Total Cash from Operations,,,,,,,1173.0,233.0,,,Cash Flow,165.0,260.0
Capital Expenditures,,,,,,,-72.0,-21.0,,,Cash Flow,-18.0,-29.0
Acquisition of Business,,,,,,,-359.0,,,,Cash Flow,,
Sale of Business,,,,,,,2665.0,,,,Cash Flow,294.0,294.0
Sale of Fixed Assets,,,,,,,6.0,6.0,,,Cash Flow,1.0,2.0
Sale/Maturity of Investment,,,,,,,2740.0,967.0,,,Cash Flow,1234.0,1760.0
Purchase of Investments,,,,,,,-7910.0,-435.0,,,Cash Flow,-3572.0,-5358.0
Loans,,,,,,,-203.0,-336.0,,,Cash Flow,936.0,953.0
Foreclosed Real Estate,,,,,,,5.0,1.0,,,Cash Flow,3.0,4.0
Other Investing Cash Flow,,,,,,,-26.0,-3.0,,,Cash Flow,0.0,-1.0
"OtherInvestCashFlowItms,Tot",,,,,,,-3081.0,199.0,,,Cash Flow,-1104.0,-2346.0
Total Cash from Investing,,,,,,,-3154.0,178.0,,,Cash Flow,-1122.0,-2376.0
Deposits,,,,,,,2564.0,750.0,,,Cash Flow,1526.0,2226.0
Other Financing Cash Flow,,,,,,,,,,,Cash Flow,0.0,0.0
Financing Cash Flow Items,,,,,,,2564.0,750.0,,,Cash Flow,1526.0,2226.0
Cash Divids Paid - Common,,,,,,,-99.0,-40.0,,,Cash Flow,-40.0,-62.0
Cash Divs Paid - Preferred,,,,,,,-9.0,-2.0,,,Cash Flow,-5.0,-7.0
Total Cash Dividends Paid,,,,,,,-109.0,-43.0,,,Cash Flow,-45.0,-69.0
"Iss (Retirmnt) of Stock,Net",,,,,,,-186.0,-157.0,,,Cash Flow,-5.0,-55.0
"Short Term Debt, Net",,,,,,,644.0,-579.0,,,Cash Flow,45.0,67.0
"Long Term Debt, Net",,,,,,,-56.0,-16.0,,,Cash Flow,-20.0,-21.0
"Iss (Retirmnt) of Debt, Net",,,,,,,588.0,-595.0,,,Cash Flow,25.0,47.0
Total Cash From Financing,,,,,,,2858.0,-44.0,,,Cash Flow,1501.0,2150.0
Net Change in Cash,,,,,,,877.0,367.0,,,Cash Flow,544.0,35.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,417.0,1295.0,,,Cash Flow,417.0,417.0
NetCash-EndBal/RsrvforFutUse,,,,,,,1295.0,1662.0,,,Cash Flow,961.0,452.0
"Depreciation, Supplemental",,,,,,,176.0,60.0,,,Cash Flow,17.0,26.0
Free Cash Flow,,,,,,,1101.0,212.0,,,,147.0,231.0
FCF Growth,,,,,,,,-0.8074477747502271,0.0,0.0,,-0.30660377358490565,0.5714285714285714
