,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
Basic/Primary Weighted Average Shares,,,,,1520.0,1503.0,1485.0,1474.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.15,0.18,0.07,0.16,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.15,0.18,0.07,0.16,Income Statement
Diluted Weighted Average Shares,,,,,1524.0,1507.0,1501.0,1486.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.15,0.18,0.07,0.15,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.15,0.18,0.07,0.15,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.12,0.12,0.12,0.12,Income Statement
Gross Divid - Common Stock,,,,,183.0,180.0,179.0,178.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,39.0,36.0,44.0,59.0,Income Statement
"Depreciat/Amort, Suppl",,,,,110.0,102.0,54.0,108.0,Income Statement
Total Special Items,,,,,10.0,9.0,207.0,11.0,Income Statement
Normalzd Income Before Tax,,,,,300.0,352.0,423.0,303.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,2.0,2.0,100.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,63.0,74.0,204.0,60.0,Income Statement
Normalized Income After Tax,,,,,237.0,278.0,219.0,243.0,Income Statement
Normalzd Inc Avail to Common,,,,,232.0,275.0,215.0,239.0,Income Statement
Basic Normalized EPS,,,,,0.15,0.18,0.15,0.16,Income Statement
Diluted Normalized EPS,,,,,0.15,0.18,0.14,0.16,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,432.0,703.0,815.0,234.0,Cash Flow
Depreciation/Depletion,,,,,332.0,479.0,625.0,151.0,Cash Flow
Deferred Taxes,,,,,-14.0,-44.0,-33.0,-16.0,Cash Flow
Unusual Items,,,,,7.0,14.0,157.0,13.0,Cash Flow
Equity in Net Earnings/Loss,,,,,0.0,0.0,0.0,,Cash Flow
Other Non-Cash Items,,,,,91.0,165.0,169.0,58.0,Cash Flow
Non-Cash Items,,,,,98.0,179.0,326.0,71.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,110.0,163.0,256.0,35.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,70.0,99.0,155.0,40.0,Cash Flow
Changes in Working Capital,,,,,-525.0,-728.0,-282.0,-679.0,Cash Flow
Total Cash from Operations,,,,,323.0,589.0,1451.0,-239.0,Cash Flow
Capital Expenditures,,,,,-255.0,-373.0,-527.0,-152.0,Cash Flow
Acquisition of Business,,,,,,-1.0,-1.0,-54.0,Cash Flow
Sale of Business,,,,,0.0,,,4.0,Cash Flow
Sale of Fixed Assets,,,,,6.0,7.0,18.0,4.0,Cash Flow
"Investment, Net",,,,,-11.0,-11.0,-12.0,-42.0,Cash Flow
Other Investing Cash Flow,,,,,-5.0,-5.0,-5.0,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-10.0,-10.0,0.0,-88.0,Cash Flow
Total Cash from Investing,,,,,-265.0,-383.0,-527.0,-240.0,Cash Flow
Financing Cash Flow Items,,,,,0.0,0.0,0.0,,Cash Flow
Total Cash Dividends Paid,,,,,-368.0,-550.0,-732.0,-181.0,Cash Flow
Sale/Issuance of Common,,,,,92.0,92.0,114.0,96.0,Cash Flow
Repurch/Retirement Common,,,,,-428.0,-556.0,-744.0,-202.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,-336.0,-464.0,-630.0,-106.0,Cash Flow
"Short Term Debt, Net",,,,,1129.0,1176.0,653.0,637.0,Cash Flow
"Long Term Debt, Net",,,,,-660.0,-110.0,-182.0,-24.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,469.0,1066.0,471.0,613.0,Cash Flow
Total Cash From Financing,,,,,-235.0,52.0,-891.0,326.0,Cash Flow
Foreign Exchange Effects,,,,,-47.0,-31.0,-108.0,-60.0,Cash Flow
Net Change in Cash,,,,,-224.0,227.0,-75.0,-213.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,850.0,850.0,850.0,775.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,626.0,1077.0,775.0,562.0,Cash Flow
"Depreciation, Supplemental",,,,,332.0,479.0,625.0,151.0,Cash Flow
Free Cash Flow,,,,,68.0,216.0,924.0,-391.0,
FCF Growth,,,,,,2.176470588235294,3.2777777777777777,-1.423160173160173,
