,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Shr Outs.-Com. Stk. Iss. 4,,,,,,4.0,4.0,4.0,4.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,51.0,52.0,52.0,52.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,,,,Balance Sheet
Trsy. Shrs-Comm. Iss. 3,,,,,,0.0,,,,Balance Sheet
Trsy. Shrs-Comm. Iss. 4,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,133189.0,126926.0,137671.0,138663.0,Income Statement
"Cost of Revenue, Total",,,,,,21489.0,22016.0,22431.0,21831.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,68067.0,72713.0,70502.0,81453.0,Income Statement
Depreciation/Amortization,,,,,,19827.0,20511.0,18806.0,21136.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,-2200.0,,,,Income Statement
Unusual Expense (Income),,,,,,-2200.0,,,,Income Statement
"Other Operat Expse, Total",,,,,,,,,-6939.0,Income Statement
Total Operating Expense,,,,,,107183.0,115240.0,111739.0,117481.0,Income Statement
Total Operating Income,,,,,,26006.0,11686.0,25932.0,21182.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-4879.0,-4254.0,-4120.0,-4260.0,Income Statement
"Inter Income, Non-Operating",,,,,,627.0,822.0,638.0,769.0,Income Statement
"Invest Income, Non-Operat",,,,,,-714.0,615.0,-2918.0,4425.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,-87.0,1437.0,-2280.0,5194.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-12252.0,-354.0,-532.0,228.0,Income Statement
"Other, Net",,,,,,-12252.0,-354.0,-532.0,228.0,Income Statement
Income Before Tax,,,,,,8788.0,8515.0,19000.0,22344.0,Income Statement
Income Tax - Total,,,,,,2178.0,3359.0,7742.0,18513.0,Income Statement
Income After Tax,,,,,,6610.0,5156.0,11258.0,3831.0,Income Statement
Minority Interest,,,,,,-2748.0,-2573.0,-6905.0,-3625.0,Income Statement
Net Inc Before Extra Items,,,,,,3862.0,2583.0,4353.0,206.0,Income Statement
Total Net Income,,,,,,3862.0,2583.0,4353.0,206.0,Income Statement
Total Adjust to Net Income,,,,,,-2551.0,-2534.0,-2603.0,-2672.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,1311.0,49.0,1750.0,-2466.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,1311.0,49.0,1750.0,-2466.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,47435.0,47540.0,47862.0,48151.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.03,0.0,0.04,-0.05,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.03,0.0,0.04,-0.05,Income Statement
Diluted Weighted Average Shares,,,,,,47435.0,47540.0,48615.0,48151.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.03,0.0,0.04,-0.05,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.03,0.0,0.04,-0.05,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,4879.0,4254.0,4120.0,4260.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,8327.0,8411.0,8106.0,7700.0,Income Statement
Total Special Items,,,,,,-2200.0,,,,Income Statement
Normalzd Income Before Tax,,,,,,6588.0,8515.0,19000.0,22344.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,-545.0,,,,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,1633.0,3359.0,7742.0,18513.0,Income Statement
Normalized Income After Tax,,,,,,4955.0,5156.0,11258.0,3831.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-344.0,49.0,1750.0,-2466.0,Income Statement
Basic Normalized EPS,,,,,,-0.01,0.0,0.04,-0.05,Income Statement
Diluted Normalized EPS,,,,,,-0.01,0.0,0.04,-0.05,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,17689.0,5156.0,16414.0,20245.0,Cash Flow
Depreciation/Depletion,,,,,,83389.0,20511.0,39317.0,60453.0,Cash Flow
Deferred Taxes,,,,,,8258.0,1100.0,6226.0,8090.0,Cash Flow
Unusual Items,,,,,,3504.0,-615.0,2674.0,-2122.0,Cash Flow
Other Non-Cash Items,,,,,,38063.0,7790.0,13437.0,21479.0,Cash Flow
Non-Cash Items,,,,,,41567.0,7175.0,16111.0,19357.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,10259.0,3583.0,7142.0,8990.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,20917.0,4094.0,7981.0,11958.0,Cash Flow
Accounts Receivable,,,,,,1945.0,-2064.0,-4725.0,-15575.0,Cash Flow
Inventories,,,,,,801.0,-1553.0,-1786.0,-3966.0,Cash Flow
Other Assets,,,,,,-1858.0,731.0,3786.0,3060.0,Cash Flow
Accounts Payable,,,,,,2475.0,-808.0,2806.0,1969.0,Cash Flow
Accrued Expenses,,,,,,3144.0,-4479.0,-3958.0,12138.0,Cash Flow
Changes in Working Capital,,,,,,-47306.0,-1088.0,17509.0,17293.0,Cash Flow
Total Cash from Operations,,,,,,103597.0,32854.0,95577.0,125438.0,Cash Flow
Purchase of Fixed Assets,,,,,,-33395.0,-8157.0,-18077.0,-26774.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-22550.0,-2483.0,-13621.0,-18256.0,Cash Flow
Capital Expenditures,,,,,,-55945.0,-10640.0,-31698.0,-45030.0,Cash Flow
Acquisition of Business,,,,,,-18809.0,,-5254.0,-5254.0,Cash Flow
Other Investing Cash Flow,,,,,,50.0,0.0,0.0,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-18759.0,0.0,-5254.0,-5254.0,Cash Flow
Total Cash from Investing,,,,,,-74704.0,-10640.0,-36952.0,-50284.0,Cash Flow
Financing Cash Flow Items,,,,,,-23495.0,-4486.0,-12237.0,-12014.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,7866.0,603.0,1152.0,7301.0,Cash Flow
Long Term Debt Issued,,,,,,725600.0,,11499.0,11200.0,Cash Flow
Long Term Debt Reduction,,,,,,-734353.0,-4796.0,-11350.0,-25905.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-8753.0,-4796.0,149.0,-14705.0,Cash Flow
Total Cash From Financing,,,,,,-24382.0,-8679.0,-10936.0,-19418.0,Cash Flow
Foreign Exchange Effects,,,,,,-12435.0,-1399.0,-19404.0,-36088.0,Cash Flow
Net Change in Cash,,,,,,-7924.0,12136.0,28285.0,19648.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,418539.0,410615.0,410615.0,410615.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,410615.0,422751.0,438900.0,430263.0,Cash Flow
"Depreciation, Supplemental",,,,,,83389.0,20511.0,39317.0,60453.0,Cash Flow
Free Cash Flow,,,,,,47652.0,22214.0,63879.0,80408.0,
FCF Growth,,,,,,,-0.5338285906152942,1.8756189790222382,0.25875483335681526,
