,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report,Q4 2021
Ret. Earn.(Accum. Deficit),,,,,,,18461.0,-15131.0,-46831.0,,Balance Sheet,
Other Equity,,,,,,,,,,321334.0,Balance Sheet,
Other Comprehensive Income,,,,,,,-1006.0,-3037.0,-3620.0,,Balance Sheet,
"Other Equity, Total",,,,,,,-1006.0,-3037.0,-3620.0,321334.0,Balance Sheet,
Total Equity,,,,,,,384384.0,358583.0,338023.0,321334.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,440594.0,406818.0,385214.0,375410.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,20506.0,20618.0,20720.0,20725.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,
Total Revenue,,,,,,,27648.0,18716.0,19479.0,20317.0,Income Statement,
Selling/Gen/Admin Expense,,,,,,,6030.0,6715.0,7528.0,12569.0,Income Statement,
Labor & Related Expense,,,,,,,3478.0,3761.0,5401.0,,Income Statement,
"Sell/Gen/AdminExpenses,Tot",,,,,,,9508.0,10476.0,12929.0,12569.0,Income Statement,
Research & Development,,,,,,,48549.0,42087.0,39090.0,34796.0,Income Statement,
Total Operating Expense,,,,,,,58057.0,52563.0,52019.0,47365.0,Income Statement,
Total Operating Income,,,,,,,-30409.0,-33847.0,-32540.0,-27048.0,Income Statement,
"Inter Inc(Exp),Net Non-Oper",,,,,,,258.0,255.0,393.0,714.0,Income Statement,
Income Before Tax,,,,,,,-30151.0,-33592.0,-32147.0,-26334.0,Income Statement,
Income Tax - Total,,,,,,,-36.0,0.0,-447.0,14.0,Income Statement,
Income After Tax,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Net Inc Before Extra Items,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Total Net Income,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,20388.0,20551.0,20710.0,20755.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,-1.48,-1.63,-1.53,-1.27,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,-1.48,-1.63,-1.53,-1.27,Income Statement,
Diluted Weighted Average Shares,,,,,,,20388.0,20551.0,20710.0,20755.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,-1.48,-1.63,-1.53,-1.27,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,-1.48,-1.63,-1.53,-1.27,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,780.0,822.0,716.0,,Income Statement,
Normalzd Income Before Tax,,,,,,,-30151.0,-33592.0,-32147.0,-26334.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,-36.0,0.0,-447.0,14.0,Income Statement,
Normalized Income After Tax,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,-30115.0,-33592.0,-31700.0,-26348.0,Income Statement,
Basic Normalized EPS,,,,,,,-1.48,-1.63,-1.53,-1.27,Income Statement,
Diluted Normalized EPS,,,,,,,-1.48,-1.63,-1.53,-1.27,Income Statement,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,,Cash Flow,2021-09-30 00:00:00
Net Income,,,,,,,-30115.0,-63707.0,-95407.0,,Cash Flow,-78996.0
Depreciation/Depletion,,,,,,,780.0,1602.0,2318.0,,Cash Flow,3334.0
Deferred Taxes,,,,,,,,,,,Cash Flow,345.0
Unusual Items,,,,,,,,,,,Cash Flow,27.0
Other Non-Cash Items,,,,,,,6134.0,12659.0,20408.0,,Cash Flow,18982.0
Non-Cash Items,,,,,,,6134.0,12659.0,20408.0,,Cash Flow,19009.0
"Cash Taxes Pd, Supplemental",,,,,,,,,,,Cash Flow,32.0
Accounts Receivable,,,,,,,4432.0,13367.0,12624.0,,Cash Flow,-24298.0
Prepaid Expenses,,,,,,,2682.0,110.0,2648.0,,Cash Flow,-533.0
Other Assets,,,,,,,1436.0,2784.0,3321.0,,Cash Flow,5418.0
Accounts Payable,,,,,,,-1663.0,-3473.0,-8555.0,,Cash Flow,3774.0
Accrued Expenses,,,,,,,2745.0,-3306.0,-6488.0,,Cash Flow,2471.0
Changes in Working Capital,,,,,,,9930.0,9800.0,3433.0,,Cash Flow,-13688.0
Total Cash from Operations,,,,,,,-13271.0,-39646.0,-69248.0,,Cash Flow,-69996.0
Capital Expenditures,,,,,,,-363.0,-437.0,-688.0,,Cash Flow,-750.0
Sale/Maturity of Investment,,,,,,,108766.0,135514.0,190068.0,,Cash Flow,345089.0
Purchase of Investments,,,,,,,-62902.0,-124631.0,-162714.0,,Cash Flow,-307348.0
"OtherInvestCashFlowItms,Tot",,,,,,,45864.0,10883.0,27354.0,,Cash Flow,37741.0
Total Cash from Investing,,,,,,,45501.0,10446.0,26666.0,,Cash Flow,36991.0
Financing Cash Flow Items,,,,,,,-777.0,-1228.0,-1228.0,,Cash Flow,-534.0
"Iss (Retirmnt) of Stock,Net",,,,,,,10409.0,14211.0,18331.0,,Cash Flow,3614.0
Total Cash From Financing,,,,,,,9632.0,12983.0,17103.0,,Cash Flow,3080.0
Net Change in Cash,,,,,,,41862.0,-16217.0,-25479.0,,Cash Flow,-29925.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,57814.0,57814.0,57814.0,,Cash Flow,87739.0
NetCash-EndBal/RsrvforFutUse,,,,,,,99676.0,41597.0,32335.0,,Cash Flow,57814.0
"Depreciation, Supplemental",,,,,,,780.0,1602.0,2318.0,,Cash Flow,3334.0
Free Cash Flow,,,,,,,-13634.0,-40083.0,-69936.0,,,-70746.0
FCF Growth,,,,,,,,1.9399295877952176,0.7447795823665893,0.0,,0.01158201784488666
