,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,7.0,13.0,13.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,592.0,712.0,747.0,723.0,Income Statement
"Cost of Revenue, Total",,,,,,452.0,555.0,558.0,535.0,Income Statement
Selling/Gen/Admin Expense,,,,,,130.0,129.0,127.0,131.0,Income Statement
Labor & Related Expense,,,,,,5.0,5.0,5.0,5.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,135.0,133.0,131.0,135.0,Income Statement
Depreciation/Amortization,,,,,,13.0,12.0,13.0,13.0,Income Statement
Total Operating Expense,,,,,,600.0,700.0,703.0,683.0,Income Statement
Total Operating Income,,,,,,-8.0,12.0,45.0,40.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-10.0,-10.0,-15.0,-19.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,1.0,-1.0,-15.0,0.0,Income Statement
"Other, Net",,,,,,1.0,-1.0,-15.0,0.0,Income Statement
Income Before Tax,,,,,,-17.0,1.0,15.0,21.0,Income Statement
Income Tax - Total,,,,,,-5.0,0.0,5.0,6.0,Income Statement
Income After Tax,,,,,,-13.0,1.0,11.0,15.0,Income Statement
Net Inc Before Extra Items,,,,,,-13.0,1.0,11.0,15.0,Income Statement
Total Net Income,,,,,,-13.0,1.0,11.0,15.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-13.0,1.0,11.0,15.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-13.0,1.0,11.0,15.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,105.0,100.0,93.0,83.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.12,0.01,0.12,0.18,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.12,0.01,0.12,0.18,Income Statement
Diluted Weighted Average Shares,,,,,,105.0,101.0,93.0,85.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.12,0.01,0.12,0.18,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.12,0.01,0.12,0.18,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,10.0,10.0,15.0,19.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,21.0,24.0,26.0,27.0,Income Statement
Total Special Items,,,,,,11.0,8.0,8.0,6.0,Income Statement
Normalzd Income Before Tax,,,,,,-7.0,9.0,23.0,28.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,4.0,3.0,2.0,2.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-1.0,3.0,7.0,8.0,Income Statement
Normalized Income After Tax,,,,,,-6.0,6.0,16.0,20.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-6.0,6.0,16.0,20.0,Income Statement
Basic Normalized EPS,,,,,,-0.06,0.06,0.18,0.24,Income Statement
Diluted Normalized EPS,,,,,,-0.06,0.06,0.18,0.23,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-12800.0,-12100.0,-1300.0,14000.0,Cash Flow
Depreciation/Depletion,,,,,,21400.0,45800.0,71500.0,98900.0,Cash Flow
Amortization,,,,,,13400.0,25500.0,38700.0,51500.0,Cash Flow
Deferred Taxes,,,,,,-5600.0,-10500.0,-12700.0,-6600.0,Cash Flow
Unusual Items,,,,,,-600.0,100.0,12800.0,11600.0,Cash Flow
Other Non-Cash Items,,,,,,5500.0,11100.0,14300.0,20900.0,Cash Flow
Non-Cash Items,,,,,,4900.0,11200.0,27100.0,32500.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,4600.0,8800.0,16500.0,17300.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,8700.0,17700.0,31100.0,48700.0,Cash Flow
Accounts Receivable,,,,,,-4300.0,-19100.0,-28800.0,-6300.0,Cash Flow
Other Assets,,,,,,-20900.0,-10900.0,-7600.0,-10500.0,Cash Flow
Payable/Accrued,,,,,,-60100.0,-35500.0,-37200.0,-59700.0,Cash Flow
Changes in Working Capital,,,,,,-43700.0,-17600.0,-57600.0,-83400.0,Cash Flow
Total Cash from Operations,,,,,,-22400.0,42300.0,65700.0,106900.0,Cash Flow
Capital Expenditures,,,,,,-28600.0,-64200.0,-88100.0,-107300.0,Cash Flow
Acquisition of Business,,,,,,-6000.0,-84400.0,-89400.0,-93100.0,Cash Flow
Sale of Business,,,,,,,,,0.0,Cash Flow
Sale of Fixed Assets,,,,,,1100.0,2600.0,5400.0,7100.0,Cash Flow
Other Investing Cash Flow,,,,,,-200.0,300.0,0.0,-400.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-5100.0,-81500.0,-84000.0,-86400.0,Cash Flow
Total Cash from Investing,,,,,,-33700.0,-145700.0,-172100.0,-193700.0,Cash Flow
Financing Cash Flow Items,,,,,,0.0,0.0,-8000.0,-18700.0,Cash Flow
Sale/Issuance of Common,,,,,,500.0,900.0,1300.0,1600.0,Cash Flow
Repurch/Retirement Common,,,,,,-2100.0,-90800.0,-163700.0,-163800.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,-1600.0,-89900.0,-162400.0,-162200.0,Cash Flow
Long Term Debt Issued,,,,,,75000.0,227000.0,1568800.0,1736800.0,Cash Flow
Long Term Debt Reduction,,,,,,-8200.0,-111900.0,-1389400.0,-1572700.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,66800.0,115100.0,179400.0,164100.0,Cash Flow
Total Cash From Financing,,,,,,65200.0,25200.0,9000.0,-16800.0,Cash Flow
Net Change in Cash,,,,,,9100.0,-78200.0,-97400.0,-103600.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,123700.0,123700.0,123700.0,123700.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,132800.0,45500.0,26300.0,20100.0,Cash Flow
"Depreciation, Supplemental",,,,,,21400.0,45800.0,71500.0,98900.0,Cash Flow
Free Cash Flow,,,,,,-51000.0,-21900.0,-22400.0,-400.0,
FCF Growth,,,,,,,-0.5705882352941176,0.022831050228310446,-0.9821428571428571,
