,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Research & Development,,,,,262.0,275.0,388.0,328.0,Income Statement
Depreciation/Amortization,,,,,13.0,11.0,12.0,14.0,Income Statement
"Inter/Invest Inc, Operating",,,,,-125.0,-127.0,-517.0,-449.0,Income Statement
Other Unusual Expnse (In),,,,,-48.0,0.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,-48.0,0.0,0.0,0.0,Income Statement
Other Operating Expense,,,,,6.0,72.0,241.0,285.0,Income Statement
"Other, Net",,,,,-14.0,-3.0,0.0,0.0,Income Statement
"Other Operat Expse, Total",,,,,3.0,64.0,192.0,275.0,Income Statement
Total Operating Expense,,,,,833.0,1622.0,987.0,1074.0,Income Statement
Total Operating Income,,,,,4700.0,4753.0,2210.0,2388.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-3.0,-4.0,-6.0,-4.0,Income Statement
"Inter Income, Non-Operating",,,,,0.0,1.0,2.0,8.0,Income Statement
"Invest Income, Non-Operat",,,,,32.0,272.0,114.0,53.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,32.0,272.0,116.0,61.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-14.0,-3.0,0.0,0.0,Income Statement
Income Before Tax,,,,,4714.0,5018.0,2319.0,2444.0,Income Statement
Income Tax - Total,,,,,1548.0,1319.0,647.0,659.0,Income Statement
Income After Tax,,,,,3166.0,3699.0,1672.0,1785.0,Income Statement
Net Inc Before Extra Items,,,,,3166.0,3699.0,1672.0,1785.0,Income Statement
Total Net Income,,,,,3166.0,3699.0,1672.0,1785.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,3166.0,3699.0,1672.0,1785.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,3166.0,3699.0,1672.0,1785.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,244.0,243.0,244.0,240.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,12.96,15.21,6.86,7.43,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,12.96,15.21,6.86,7.43,Income Statement
Diluted Weighted Average Shares,,,,,260.0,243.0,259.0,256.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,12.17,15.21,6.45,6.98,Income Statement
Diluted EPS Incl. Extra. Items,,,,,12.17,15.21,6.45,6.98,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,486.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,3.0,4.0,6.0,4.0,Income Statement
"Depreciat/Amort, Suppl",,,,,26.0,28.0,33.0,34.0,Income Statement
Total Special Items,,,,,-48.0,0.0,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,4666.0,5018.0,2319.0,2444.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,-16.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,1532.0,1319.0,647.0,659.0,Income Statement
Normalized Income After Tax,,,,,3134.0,3699.0,1672.0,1785.0,Income Statement
Normalzd Inc Avail to Common,,,,,3134.0,3699.0,1672.0,1785.0,Income Statement
Basic Normalized EPS,,,,,12.83,15.21,6.86,7.43,Income Statement
Diluted Normalized EPS,,,,,12.04,15.21,6.45,6.98,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,15046.0,5018.0,7337.0,9782.0,Cash Flow
Depreciation/Depletion,,,,,75.0,28.0,61.0,94.0,Cash Flow
Unusual Items,,,,,62.0,-2.0,85.0,83.0,Cash Flow
Other Non-Cash Items,,,,,-95.0,-195.0,-523.0,-350.0,Cash Flow
Non-Cash Items,,,,,-33.0,-197.0,-438.0,-268.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,3458.0,1290.0,2081.0,2835.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,12.0,6.0,12.0,17.0,Cash Flow
Accounts Receivable,,,,,-11808.0,-404.0,2771.0,5017.0,Cash Flow
Inventories,,,,,-438.0,43.0,135.0,208.0,Cash Flow
Accounts Payable,,,,,1516.0,858.0,194.0,760.0,Cash Flow
Changes in Working Capital,,,,,-14199.0,-799.0,1009.0,3140.0,Cash Flow
Total Cash from Operations,,,,,890.0,4050.0,7969.0,12748.0,Cash Flow
Purchase of Fixed Assets,,,,,-128.0,-44.0,-115.0,-193.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-27.0,-17.0,-22.0,-26.0,Cash Flow
Capital Expenditures,,,,,-154.0,-61.0,-136.0,-219.0,Cash Flow
Acquisition of Business,,,,,-21.0,,,,Cash Flow
Sale of Fixed Assets,,,,,3.0,0.0,0.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,375.0,375.0,375.0,Cash Flow
Purchase of Investments,,,,,-20.0,-27.0,-30.0,-31.0,Cash Flow
Other Investing Cash Flow,,,,,-375.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-412.0,348.0,345.0,345.0,Cash Flow
Total Cash from Investing,,,,,-566.0,287.0,209.0,126.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-484.0,-484.0,Cash Flow
Sale/Issuance of Common,,,,,161.0,111.0,111.0,111.0,Cash Flow
Repurch/Retirement Common,,,,,,,-287.0,-931.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,161.0,111.0,-176.0,-820.0,Cash Flow
Long Term Debt Issued,,,,,0.0,,0.0,1.0,Cash Flow
Long Term Debt Reduction,,,,,-67.0,-30.0,-41.0,-51.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-67.0,-30.0,-41.0,-50.0,Cash Flow
Total Cash From Financing,,,,,94.0,80.0,-701.0,-1355.0,Cash Flow
Foreign Exchange Effects,,,,,65.0,54.0,165.0,212.0,Cash Flow
Net Change in Cash,,,,,483.0,4471.0,7642.0,11731.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,1210.0,1693.0,1693.0,1693.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,1693.0,6164.0,9335.0,13424.0,Cash Flow
"Depreciation, Supplemental",,,,,75.0,28.0,61.0,94.0,Cash Flow
Free Cash Flow,,,,,736.0,3989.0,7833.0,12529.0,
FCF Growth,,,,,,4.419836956521739,0.9636500376034094,0.599514872973318,
