,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,9646.0,9572.0,9667.0,9980.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,14109.0,13159.0,12227.0,12196.0,Income Statement
Total Special Items,,,,,,0.0,0.0,57.0,34.0,Income Statement
Normalzd Income Before Tax,,,,,,4564.0,1582.0,29076.0,31087.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,0.0,12.0,13.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,1765.0,1088.0,6180.0,12044.0,Income Statement
Normalized Income After Tax,,,,,,2799.0,494.0,22896.0,19043.0,Income Statement
Normalzd Inc Avail to Common,,,,,,2799.0,494.0,22896.0,19043.0,Income Statement
Basic Normalized EPS,,,,,,0.03,0.01,0.24,0.2,Income Statement
Diluted Normalized EPS,,,,,,0.03,0.01,0.24,0.2,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-4576.0,494.0,23345.0,42367.0,Cash Flow
Depreciation/Depletion,,,,,,55883.0,13159.0,25386.0,37582.0,Cash Flow
Amortization,,,,,,14636.0,3636.0,6855.0,10079.0,Cash Flow
Deferred Taxes,,,,,,469.0,725.0,6350.0,14918.0,Cash Flow
Unusual Items,,,,,,1450.0,1102.0,273.0,20273.0,Cash Flow
Other Non-Cash Items,,,,,,11486.0,4729.0,8117.0,18138.0,Cash Flow
Non-Cash Items,,,,,,12936.0,5831.0,8390.0,38411.0,Cash Flow
Accounts Receivable,,,,,,-1004.0,-12780.0,-49714.0,-13183.0,Cash Flow
Prepaid Expenses,,,,,,-1156.0,1060.0,2168.0,-737.0,Cash Flow
Payable/Accrued,,,,,,9926.0,-17591.0,-771.0,490.0,Cash Flow
Changes in Working Capital,,,,,,25251.0,-54425.0,-73693.0,114466.0,Cash Flow
Total Cash from Operations,,,,,,104599.0,-30580.0,-3367.0,257823.0,Cash Flow
Capital Expenditures,,,,,,-35915.0,-2960.0,-31379.0,-104272.0,Cash Flow
Acquisition of Business,,,,,,0.0,,,,Cash Flow
Sale of Fixed Assets,,,,,,0.0,125.0,615.0,615.0,Cash Flow
Other Investing Cash Flow,,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,0.0,125.0,615.0,615.0,Cash Flow
Total Cash from Investing,,,,,,-35915.0,-2835.0,-30764.0,-103657.0,Cash Flow
Financing Cash Flow Items,,,,,,-99.0,0.0,-77.0,-121.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,,,28000.0,16000.0,36800.0,70000.0,Cash Flow
Long Term Debt Reduction,,,,,,-80172.0,-169.0,-16297.0,-70442.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-52172.0,15831.0,20503.0,-442.0,Cash Flow
Total Cash From Financing,,,,,,-52271.0,15831.0,20426.0,-563.0,Cash Flow
Foreign Exchange Effects,,,,,,14.0,2.0,-3.0,-22.0,Cash Flow
Net Change in Cash,,,,,,16427.0,-17582.0,-13708.0,153581.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,6979.0,23406.0,23406.0,23406.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,23406.0,5824.0,9698.0,176987.0,Cash Flow
"Depreciation, Supplemental",,,,,,55883.0,13159.0,25386.0,37582.0,Cash Flow
Free Cash Flow,,,,,,68684.0,-33540.0,-34746.0,153551.0,
FCF Growth,,,,,,,-1.488323335856968,0.03595706618962424,-5.419242502734128,
