,2017,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report,Q3 2023
"Common Stock, Net",,,,,,,-1544.0,-1964.0,-1227.0,-1312.0,Cash Flow,
Options Exercised,,,,,,,81.0,83.0,2.0,2.0,Cash Flow,
"Iss (Retirmnt) of Stock,Net",,,,,,,-1463.0,-1881.0,-1225.0,-1310.0,Cash Flow,
Long Term Debt Issued,,,,,,,0.0,0.0,,0.0,Cash Flow,
Long Term Debt Reduction,,,,,,,-1716.0,-1728.0,0.0,0.0,Cash Flow,
"Iss (Retirmnt) of Debt, Net",,,,,,,-1716.0,-1728.0,0.0,0.0,Cash Flow,
Total Cash From Financing,,,,,,,-2713.0,-3188.0,-1306.0,-1446.0,Cash Flow,
Foreign Exchange Effects,,,,,,,2.0,1.0,0.0,0.0,Cash Flow,
Net Change in Cash,,,,,,,-2492.0,-1954.0,-1328.0,-1527.0,Cash Flow,
NetCash-BeginBal/RsvdforFutUse,,,,,,,3933.0,3933.0,1979.0,1979.0,Cash Flow,
NetCash-EndBal/RsrvforFutUse,,,,,,,1441.0,1979.0,651.0,452.0,Cash Flow,
"Depreciation, Supplemental",,,,,,,310.0,363.0,53.0,106.0,Cash Flow,
Free Cash Flow,,,,,,,206.0,1222.0,-22.0,-80.0,,
FCF Growth,,,,,,,,4.932038834951456,-1.0180032733224222,2.6363636363636362,,0.0
