,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Other Non-Cash Items,,,,,6260.0,2231.0,3632.0,5363.0,Cash Flow
Non-Cash Items,,,,,6137.0,2231.0,3632.0,5363.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,12554.0,0.0,3880.0,10545.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,25287.0,4784.0,10862.0,25648.0,Cash Flow
Loan Loss Provision,,,,,-4000.0,-625.0,1510.0,4844.0,Cash Flow
Other Assets,,,,,680.0,13205.0,1894.0,-728.0,Cash Flow
Changes in Working Capital,,,,,4897.0,-9173.0,-17826.0,1431.0,Cash Flow
Total Cash from Operations,,,,,88371.0,14485.0,23210.0,61876.0,Cash Flow
Capital Expenditures,,,,,-1211.0,-962.0,-1135.0,-1878.0,Cash Flow
Sale of Fixed Assets,,,,,608.0,13.0,13.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,128650.0,13126.0,24057.0,39698.0,Cash Flow
Purchase of Investments,,,,,-225719.0,-49138.0,-77607.0,-89262.0,Cash Flow
Loans,,,,,172764.0,-94437.0,-274206.0,-425494.0,Cash Flow
Foreclosed Real Estate,,,,,628.0,237.0,237.0,237.0,Cash Flow
Other Investing Cash Flow,,,,,3483.0,,0.0,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,80414.0,-130199.0,-327506.0,-474821.0,Cash Flow
Total Cash from Investing,,,,,79203.0,-131161.0,-328641.0,-476699.0,Cash Flow
Deposits,,,,,-11143.0,-61917.0,60823.0,303918.0,Cash Flow
FHLB,,,,,-57271.0,-10000.0,60000.0,-31252.0,Cash Flow
Fed. Funds/REPOs,,,,,-2306.0,0.0,6.0,0.0,Cash Flow
Other Financing Cash Flow,,,,,-826.0,-787.0,-827.0,-989.0,Cash Flow
Financing Cash Flow Items,,,,,-71546.0,-72704.0,120002.0,271677.0,Cash Flow
Total Cash Dividends Paid,,,,,0.0,,,,Cash Flow
"Common Stock, Net",,,,,-22283.0,-16592.0,-19984.0,-30810.0,Cash Flow
"Preferred Stock, Net",,,,,0.0,,,,Cash Flow
Options Exercised,,,,,172.0,172.0,364.0,364.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,-22111.0,-16420.0,-19620.0,-30446.0,Cash Flow
Total Cash From Financing,,,,,-93657.0,-89124.0,100382.0,241231.0,Cash Flow
Net Change in Cash,,,,,73917.0,-205800.0,-205049.0,-173592.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,408810.0,482727.0,482727.0,482727.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,482727.0,276927.0,277678.0,309135.0,Cash Flow
"Depreciation, Supplemental",,,,,5260.0,1241.0,2474.0,3716.0,Cash Flow
Free Cash Flow,,,,,87160.0,13523.0,22075.0,59998.0,
FCF Growth,,,,,,-0.8448485543827444,0.6324040523552465,1.717916194790487,
