,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
Unusual Expense (Income),,,,,43.0,39.0,38.0,77.0,Income Statement
Total Operating Expense,,,,,4271.0,2780.0,2404.0,2280.0,Income Statement
Total Operating Income,,,,,170.0,675.0,629.0,912.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-97.0,-91.0,-86.0,-87.0,Income Statement
"Inter Income, Non-Operating",,,,,,,,19.0,Income Statement
"Invest Income, Non-Operat",,,,,-165.0,-191.0,-93.0,21.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,-165.0,-191.0,-93.0,40.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-3.0,-3.0,-3.0,-20.0,Income Statement
"Other, Net",,,,,-3.0,-3.0,-3.0,-20.0,Income Statement
Income Before Tax,,,,,-95.0,390.0,447.0,845.0,Income Statement
Income Tax - Total,,,,,-22.0,100.0,139.0,232.0,Income Statement
Income After Tax,,,,,-73.0,290.0,308.0,613.0,Income Statement
Minority Interest,,,,,-12.0,-7.0,-2.0,-8.0,Income Statement
Net Inc Before Extra Items,,,,,-85.0,283.0,306.0,605.0,Income Statement
Total Net Income,,,,,-85.0,283.0,306.0,605.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,-85.0,283.0,306.0,605.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,-85.0,283.0,306.0,605.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,569.0,566.0,557.0,550.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,-0.15,0.5,0.55,1.1,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,-0.15,0.5,0.55,1.1,Income Statement
Diluted Weighted Average Shares,,,,,569.0,566.0,562.0,552.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,-0.15,0.5,0.54,1.1,Income Statement
Diluted EPS Incl. Extra. Items,,,,,-0.15,0.5,0.54,1.1,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.24,0.0,0.24,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,135.0,0.0,137.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,97.0,91.0,86.0,87.0,Income Statement
"Depreciat/Amort, Suppl",,,,,93.0,92.0,99.0,99.0,Income Statement
Total Special Items,,,,,43.0,39.0,38.0,77.0,Income Statement
Normalzd Income Before Tax,,,,,-52.0,429.0,485.0,922.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,15.0,10.0,12.0,21.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,-7.0,110.0,151.0,253.0,Income Statement
Normalized Income After Tax,,,,,-45.0,319.0,334.0,669.0,Income Statement
Normalzd Inc Avail to Common,,,,,-57.0,312.0,332.0,661.0,Income Statement
Basic Normalized EPS,,,,,-0.1,0.55,0.6,1.2,Income Statement
Diluted Normalized EPS,,,,,-0.1,0.55,0.59,1.2,Income Statement
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,635.0,925.0,1233.0,613.0,Cash Flow
Depreciation/Depletion,,,,,172.0,264.0,363.0,99.0,Cash Flow
Deferred Taxes,,,,,143.0,195.0,342.0,104.0,Cash Flow
Unusual Items,,,,,0.0,0.0,0.0,,Cash Flow
Other Non-Cash Items,,,,,198.0,464.0,629.0,87.0,Cash Flow
Non-Cash Items,,,,,198.0,464.0,629.0,87.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,155.0,204.0,209.0,8.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,200.0,363.0,383.0,151.0,Cash Flow
Accounts Receivable,,,,,-940.0,-309.0,-79.0,-260.0,Cash Flow
Inventories,,,,,-494.0,-156.0,-301.0,-333.0,Cash Flow
Payable/Accrued,,,,,-214.0,-205.0,-54.0,-127.0,Cash Flow
Changes in Working Capital,,,,,-1804.0,-897.0,-683.0,-633.0,Cash Flow
Total Cash from Operations,,,,,-656.0,951.0,1884.0,270.0,Cash Flow
Capital Expenditures,,,,,-121.0,-191.0,-307.0,-74.0,Cash Flow
Acquisition of Business,,,,,-229.0,-243.0,-243.0,0.0,Cash Flow
Sale of Business,,,,,82.0,82.0,83.0,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,,0.0,,Cash Flow
Purchase of Investments,,,,,-28.0,-28.0,-28.0,-31.0,Cash Flow
Other Investing Cash Flow,,,,,0.0,-6.0,-18.0,-13.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-175.0,-195.0,-206.0,-44.0,Cash Flow
Total Cash from Investing,,,,,-296.0,-386.0,-513.0,-118.0,Cash Flow
Financing Cash Flow Items,,,,,-32.0,-24.0,0.0,-5.0,Cash Flow
Total Cash Dividends Paid,,,,,-150.0,-295.0,-307.0,-147.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,-497.0,-748.0,-1000.0,-250.0,Cash Flow
Long Term Debt Issued,,,,,,,0.0,,Cash Flow
Long Term Debt Reduction,,,,,,-750.0,-750.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,-750.0,-750.0,,Cash Flow
Total Cash From Financing,,,,,-679.0,-1817.0,-2057.0,-402.0,Cash Flow
Net Change in Cash,,,,,-1631.0,-1252.0,-686.0,-250.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,5886.0,5886.0,5886.0,5200.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,4255.0,4634.0,5200.0,4950.0,Cash Flow
"Depreciation, Supplemental",,,,,172.0,264.0,363.0,99.0,Cash Flow
Free Cash Flow,,,,,-777.0,760.0,1577.0,196.0,
FCF Growth,,,,,,-1.978120978120978,1.0750000000000002,-0.87571337983513,
