,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
Basic Normalized EPS,,,,,-0.31,-0.33,-0.36,-0.43,Income Statement
Diluted Normalized EPS,,,,,-0.31,-0.33,-0.36,-0.43,Income Statement
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,-78560.0,-107455.0,-32820.0,-71419.0,Cash Flow
Depreciation/Depletion,,,,,6160.0,8356.0,3591.0,8280.0,Cash Flow
Non-Cash Items,,,,,65790.0,94995.0,31390.0,67987.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,126.0,324.0,13.0,25.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,1797.0,1797.0,,1797.0,Cash Flow
Accounts Receivable,,,,,360.0,-21594.0,15262.0,16521.0,Cash Flow
Prepaid Expenses,,,,,-857.0,1279.0,-1991.0,-1510.0,Cash Flow
Other Assets,,,,,-16842.0,-26167.0,-4998.0,-10033.0,Cash Flow
Accounts Payable,,,,,3836.0,2901.0,57.0,-2226.0,Cash Flow
Accrued Expenses,,,,,-131.0,1412.0,-9705.0,-6198.0,Cash Flow
Changes in Working Capital,,,,,-756.0,-1917.0,-5146.0,-4992.0,Cash Flow
Total Cash from Operations,,,,,-7366.0,-6021.0,-2985.0,-144.0,Cash Flow
Purchase of Fixed Assets,,,,,-1376.0,-3457.0,-2078.0,-4785.0,Cash Flow
Software Development Costs,,,,,-2701.0,-3353.0,-772.0,-1737.0,Cash Flow
Capital Expenditures,,,,,-4077.0,-6810.0,-2850.0,-6522.0,Cash Flow
Acquisition of Business,,,,,-160.0,-160.0,-66262.0,-66262.0,Cash Flow
Sale/Maturity of Investment,,,,,183996.0,221439.0,40440.0,95200.0,Cash Flow
Purchase of Investments,,,,,-150608.0,-197093.0,-41685.0,-95468.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,33228.0,24186.0,-67507.0,-66530.0,Cash Flow
Total Cash from Investing,,,,,29151.0,17376.0,-70357.0,-73052.0,Cash Flow
Financing Cash Flow Items,,,,,-18619.0,-23586.0,-6170.0,-10415.0,Cash Flow
"Common Stock, Net",,,,,,0.0,,,Cash Flow
Options Exercised,,,,,17406.0,22850.0,3586.0,12296.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,17406.0,22850.0,3586.0,12296.0,Cash Flow
Long Term Debt Issued,,,,,0.0,0.0,,0.0,Cash Flow
Long Term Debt Reduction,,,,,0.0,0.0,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,0.0,0.0,,0.0,Cash Flow
Total Cash From Financing,,,,,-1213.0,-736.0,-2584.0,1881.0,Cash Flow
Foreign Exchange Effects,,,,,,,,-139.0,Cash Flow
Net Change in Cash,,,,,20572.0,10619.0,-75926.0,-71454.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,339166.0,339166.0,349785.0,349785.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,359738.0,349785.0,273859.0,278331.0,Cash Flow
"Depreciation, Supplemental",,,,,6160.0,8356.0,3591.0,8280.0,Cash Flow
Free Cash Flow,,,,,-11443.0,-12831.0,-5835.0,-6666.0,
FCF Growth,,,,,,0.12129686271082751,-0.5452419920505027,0.1424164524421594,
