,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Changes in Working Capital,,,,,86000.0,-109000.0,-154000.0,-142000.0,Cash Flow
Total Cash from Operations,,,,,322000.0,-64000.0,-4000.0,156000.0,Cash Flow
Capital Expenditures,,,,,-85000.0,-20000.0,-44000.0,-83000.0,Cash Flow
Sale of Fixed Assets,,,,,41000.0,20000.0,43000.0,55000.0,Cash Flow
Sale/Maturity of Investment,,,,,0.0,,,,Cash Flow
Other Investing Cash Flow,,,,,-39000.0,9000.0,8000.0,6000.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,2000.0,29000.0,51000.0,61000.0,Cash Flow
Total Cash from Investing,,,,,-83000.0,9000.0,7000.0,-22000.0,Cash Flow
Financing Cash Flow Items,,,,,-159000.0,-1000.0,-18000.0,-27000.0,Cash Flow
"Short Term Debt, Net",,,,,-4000.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Issued,,,,,2073000.0,,,0.0,Cash Flow
Long Term Debt Reduction,,,,,-2313000.0,-4000.0,-7000.0,-62000.0,Cash Flow
"Long Term Debt, Net",,,,,-240000.0,-4000.0,-7000.0,-62000.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-244000.0,-4000.0,-7000.0,-62000.0,Cash Flow
Total Cash From Financing,,,,,-403000.0,-5000.0,-25000.0,-89000.0,Cash Flow
Foreign Exchange Effects,,,,,-8000.0,3000.0,-1000.0,-15000.0,Cash Flow
Net Change in Cash,,,,,-172000.0,-57000.0,-23000.0,30000.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,1285000.0,1113000.0,1113000.0,1113000.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,1113000.0,1056000.0,1090000.0,1143000.0,Cash Flow
"Depreciation, Supplemental",,,,,440000.0,87000.0,177000.0,265000.0,Cash Flow
Free Cash Flow,,,,,237000.0,-84000.0,-48000.0,73000.0,
FCF Growth,,,,,,-1.3544303797468356,-0.4285714285714286,-2.520833333333333,
