,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2022
Cum. Trans. Adjustment,,,,,,,-185.0,-212.0,-266.0,-295.0,Balance Sheet,
Min. Pension Lblty Adj.,,,,,,,-100.0,-93.0,-86.0,-82.0,Balance Sheet,
Other Comprehensive Income,,,,,,,3.0,7.0,19.0,15.0,Balance Sheet,
"Other Equity, Total",,,,,,,-282.0,-298.0,-333.0,-362.0,Balance Sheet,
Total Equity,,,,,,,5389.0,5154.0,5122.0,5091.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,10705.0,10327.0,10455.0,10484.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,302.0,300.0,299.0,296.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Date,,,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement,
Total Revenue,,,,,,,1660.0,1674.0,1607.0,1718.0,Income Statement,
"Cost of Revenue, Total",,,,,,,760.0,764.0,746.0,779.0,Income Statement,
Selling/Gen/Admin Expense,,,,,,,376.0,389.0,367.0,394.0,Income Statement,
Labor & Related Expense,,,,,,,13.0,28.0,19.0,18.0,Income Statement,
"Sell/Gen/AdminExpenses,Tot",,,,,,,389.0,417.0,386.0,412.0,Income Statement,
Research & Development,,,,,,,116.0,117.0,115.0,116.0,Income Statement,
Total Operating Expense,,,,,,,1265.0,1298.0,1247.0,1307.0,Income Statement,
Total Operating Income,,,,,,,395.0,376.0,360.0,411.0,Income Statement,
"Inter Expse,Net Non-Operat",,,,,,,-21.0,-21.0,-21.0,-19.0,Income Statement,
"Inter/Invest Inc, Non-Oper",,,,,,,1.0,1.0,1.0,2.0,Income Statement,
OtherNon-OperatInc (Expnse),,,,,,,73.0,-37.0,-7.0,3.0,Income Statement,
"Other, Net",,,,,,,73.0,-37.0,-7.0,3.0,Income Statement,
Income Before Tax,,,,,,,448.0,319.0,333.0,397.0,Income Statement,
Income Tax - Total,,,,,,,6.0,36.0,59.0,68.0,Income Statement,
Income After Tax,,,,,,,442.0,283.0,274.0,329.0,Income Statement,
Net Inc Before Extra Items,,,,,,,442.0,283.0,274.0,329.0,Income Statement,
Total Net Income,,,,,,,442.0,283.0,274.0,329.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,442.0,283.0,274.0,329.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,442.0,283.0,274.0,329.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,301.0,301.0,299.0,298.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.47,0.94,0.92,1.1,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.47,0.94,0.92,1.1,Income Statement,
Diluted Weighted Average Shares,,,,,,,307.0,303.0,301.0,299.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,1.44,0.93,0.91,1.1,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,1.44,0.93,0.91,1.1,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,0.19,0.19,0.21,0.21,Income Statement,
Gross Divid - Common Stock,,,,,,,59.0,63.0,63.0,62.0,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,,,,21.0,21.0,21.0,19.0,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,33.0,31.0,31.0,32.0,Income Statement,
Total Special Items,,,,,,,15.0,11.0,24.0,12.0,Income Statement,
Normalzd Income Before Tax,,,,,,,463.0,330.0,357.0,409.0,Income Statement,
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,1.0,4.0,2.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,6.0,37.0,63.0,70.0,Income Statement,
Normalized Income After Tax,,,,,,,457.0,293.0,294.0,339.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,457.0,293.0,294.0,339.0,Income Statement,
Basic Normalized EPS,,,,,,,1.52,0.97,0.98,1.14,Income Statement,
Diluted Normalized EPS,,,,,,,1.49,0.97,0.98,1.13,Income Statement,
Date,,,,,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow,2022-10-31 00:00:00
Net Income,,,,,,,,283.0,557.0,886.0,Cash Flow,1254.0
Depreciation/Depletion,,,,,,,,82.0,164.0,244.0,Cash Flow,317.0
Deferred Taxes,,,,,,,,24.0,19.0,25.0,Cash Flow,8.0
Unusual Items,,,,,,,,0.0,0.0,9.0,Cash Flow,9.0
Equity in Net Earnings/Loss,,,,,,,,47.0,62.0,60.0,Cash Flow,67.0
Other Non-Cash Items,,,,,,,,52.0,65.0,100.0,Cash Flow,135.0
Non-Cash Items,,,,,,,,99.0,127.0,169.0,Cash Flow,211.0
"Cash Taxes Pd, Supplemental",,,,,,,,22.0,134.0,217.0,Cash Flow,279.0
"Cash Interest Pd, Suppl",,,,,,,,18.0,40.0,56.0,Cash Flow,85.0
Accounts Receivable,,,,,,,,-46.0,-108.0,-233.0,Cash Flow,-321.0
Inventories,,,,,,,,-54.0,-124.0,-206.0,Cash Flow,-248.0
Accounts Payable,,,,,,,,37.0,54.0,110.0,Cash Flow,121.0
Accrued Expenses,,,,,,,,-210.0,-144.0,-98.0,Cash Flow,-22.0
Changes in Working Capital,,,,,,,,-233.0,-329.0,-460.0,Cash Flow,-478.0
Total Cash from Operations,,,,,,,,255.0,538.0,864.0,Cash Flow,1312.0
Capital Expenditures,,,,,,,,-75.0,-139.0,-221.0,Cash Flow,-291.0
Acquisition of Business,,,,,,,,,-18.0,-18.0,Cash Flow,-52.0
Sale of Fixed Assets,,,,,,,,,,,Cash Flow,0.0
Sale/Maturity of Investment,,,,,,,,,6.0,22.0,Cash Flow,22.0
Other Investing Cash Flow,,,,,,,,-4.0,-4.0,-11.0,Cash Flow,-17.0
"OtherInvestCashFlowItms,Tot",,,,,,,,-4.0,-16.0,-7.0,Cash Flow,-47.0
Total Cash from Investing,,,,,,,,-79.0,-155.0,-228.0,Cash Flow,-338.0
Financing Cash Flow Items,,,,,,,,-63.0,-64.0,-65.0,Cash Flow,-67.0
Total Cash Dividends Paid,,,,,,,,-63.0,-126.0,-188.0,Cash Flow,-250.0
Sale/Issuance of Common,,,,,,,,27.0,27.0,55.0,Cash Flow,58.0
Repurch/Retirement Common,,,,,,,,-447.0,-681.0,-1004.0,Cash Flow,-1139.0
"Iss (Retirmnt) of Stock,Net",,,,,,,,-420.0,-654.0,-949.0,Cash Flow,-1081.0
Short Term Debt Issued,,,,,,,,240.0,575.0,940.0,Cash Flow,1295.0
Short Term Debt Reduction,,,,,,,,-240.0,-400.0,-760.0,Cash Flow,-1260.0
"Short Term Debt, Net",,,,,,,,0.0,175.0,180.0,Cash Flow,35.0
Long Term Debt Issued,,,,,,,,,0.0,600.0,Cash Flow,600.0
Long Term Debt Reduction,,,,,,,,0.0,0.0,-609.0,Cash Flow,-609.0
"Long Term Debt, Net",,,,,,,,0.0,0.0,-9.0,Cash Flow,-9.0
"Iss (Retirmnt) of Debt, Net",,,,,,,,0.0,175.0,171.0,Cash Flow,26.0
Total Cash From Financing,,,,,,,,-546.0,-669.0,-1031.0,Cash Flow,-1372.0
Foreign Exchange Effects,,,,,,,,-4.0,-16.0,-22.0,Cash Flow,-36.0
Net Change in Cash,,,,,,,,-374.0,-302.0,-417.0,Cash Flow,-434.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,,1490.0,1490.0,1490.0,Cash Flow,1490.0
NetCash-EndBal/RsrvforFutUse,,,,,,,,1116.0,1188.0,1073.0,Cash Flow,1056.0
"Depreciation, Supplemental",,,,,,,,82.0,164.0,244.0,Cash Flow,317.0
Free Cash Flow,,,,,,,,180.0,399.0,643.0,,1021.0
FCF Growth,,,,,,,,,1.2166666666666668,0.6115288220551378,,0.5878693623639191
