,2017,2018,2019,2020,2021,2022,Q4 2020,Q4 2021,Q2 2022,Report,Q1 2022
Selling/Gen/Admin Expense,,,,,,,3127.0,9632.0,6164.0,Income Statement,5483.0
Labor & Related Expense,,,,,,,471.0,2003.0,1511.0,Income Statement,132.0
"Sell/Gen/AdminExpenses,Tot",,,,,,,3598.0,11635.0,7675.0,Income Statement,5615.0
Research & Development,,,,,,,2955.0,8941.0,663.0,Income Statement,126.0
Depreciation/Amortization,,,,,,,13.0,9.0,6.0,Income Statement,5.0
Total Operating Expense,,,,,,,6566.0,20585.0,8344.0,Income Statement,5746.0
Total Operating Income,,,,,,,-6566.0,-20585.0,-8344.0,Income Statement,-5746.0
"Inter Inc(Exp),Net Non-Oper",,,,,,,54.0,-113.0,-34.0,Income Statement,-42.0
Income Before Tax,,,,,,,-5879.0,-20706.0,-8426.0,Income Statement,-5765.0
Income Tax - Total,,,,,,,0.0,0.0,0.0,Income Statement,0.0
Income After Tax,,,,,,,-5879.0,-20706.0,-8426.0,Income Statement,-5765.0
Equity In Affiliates,,,,,,,0.0,-642.0,-1155.0,Income Statement,-3390.0
Net Inc Before Extra Items,,,,,,,-5879.0,-21348.0,-9581.0,Income Statement,-9155.0
Total Net Income,,,,,,,-5879.0,-21348.0,-9581.0,Income Statement,-9155.0
Income Available to Common Excl. Extra. Items,,,,,,,-5879.0,-21348.0,-9581.0,Income Statement,-9155.0
Income Available to Common Incl. Extra. Items,,,,,,,-5879.0,-21348.0,-9581.0,Income Statement,-9155.0
Basic/Primary Weighted Average Shares,,,,,,,8284.0,15869.0,17931.0,Income Statement,16088.0
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.71,-1.35,-0.53,Income Statement,-0.57
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.71,-1.35,-0.53,Income Statement,-0.57
Diluted Weighted Average Shares,,,,,,,8284.0,15869.0,17931.0,Income Statement,16088.0
Diluted EPS Excl. Extra. Items,,,,,,,-0.71,-1.35,-0.53,Income Statement,-0.57
Diluted EPS Incl. Extra. Items,,,,,,,-0.71,-1.35,-0.53,Income Statement,-0.57
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,Income Statement,0.0
Pro Forma Net Income,,,,,,,,,,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,13.0,9.0,6.0,Income Statement,5.0
Normalzd Income Before Tax,,,,,,,-5879.0,-20706.0,-8426.0,Income Statement,-5765.0
IncTxsExcl ImpctofSpec Itms,,,,,,,0.0,0.0,0.0,Income Statement,0.0
Normalized Income After Tax,,,,,,,-5879.0,-20706.0,-8426.0,Income Statement,-5765.0
Normalzd Inc Avail to Common,,,,,,,-5879.0,-21348.0,-9581.0,Income Statement,-9155.0
Basic Normalized EPS,,,,,,,-0.71,-1.35,-0.53,Income Statement,-0.57
Diluted Normalized EPS,,,,,,,-0.71,-1.35,-0.53,Income Statement,-0.57
Date,,,,,,,2020-06-30 00:00:00,2021-12-31 00:00:00,2022-06-30 00:00:00,Cash Flow,2022-03-31 00:00:00
Net Income,,,,,,,-5879.0,-21348.0,-18736.0,Cash Flow,-9155.0
Depreciation/Depletion,,,,,,,13.0,9.0,11.0,Cash Flow,5.0
Unusual Items,,,,,,,,,35.0,Cash Flow,-21.0
Equity in Net Earnings/Loss,,,,,,,0.0,642.0,4545.0,Cash Flow,3390.0
Other Non-Cash Items,,,,,,,594.0,2082.0,1444.0,Cash Flow,-96.0
Non-Cash Items,,,,,,,594.0,2724.0,6024.0,Cash Flow,3273.0
Other Assets,,,,,,,-30.0,-717.0,-1969.0,Cash Flow,919.0
Accounts Payable,,,,,,,-1080.0,-1299.0,-486.0,Cash Flow,-540.0
Accrued Expenses,,,,,,,-119.0,2958.0,-2698.0,Cash Flow,-3352.0
Changes in Working Capital,,,,,,,-1060.0,941.0,-5153.0,Cash Flow,-2973.0
Total Cash from Operations,,,,,,,-6332.0,-17674.0,-17854.0,Cash Flow,-8849.0
Capital Expenditures,,,,,,,-3452.0,-12499.0,-21589.0,Cash Flow,-7665.0
Sale/Maturity of Investment,,,,,,,0.0,,,Cash Flow,
Purchase of Investments,,,,,,,,-43604.0,,Cash Flow,
Other Investing Cash Flow,,,,,,,,-4310.0,-7099.0,Cash Flow,-3632.0
"OtherInvestCashFlowItms,Tot",,,,,,,0.0,-47914.0,-7099.0,Cash Flow,-3632.0
Total Cash from Investing,,,,,,,-3452.0,-60413.0,-28688.0,Cash Flow,-11298.0
"Common Stock, Net",,,,,,,25109.0,0.0,122059.0,Cash Flow,122059.0
Options Exercised,,,,,,,0.0,557.0,93.0,Cash Flow,0.0
"Iss (Retirmnt) of Stock,Net",,,,,,,25109.0,557.0,122153.0,Cash Flow,122059.0
"Iss (Retirmnt) of Debt, Net",,,,,,,-390.0,-876.0,-822.0,Cash Flow,-247.0
Total Cash From Financing,,,,,,,24719.0,-319.0,121331.0,Cash Flow,121812.0
Foreign Exchange Effects,,,,,,,-509.0,0.0,,Cash Flow,
Net Change in Cash,,,,,,,14425.0,-78407.0,74789.0,Cash Flow,101666.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,4432.0,142652.0,64245.0,Cash Flow,64245.0
NetCash-EndBal/RsrvforFutUse,,,,,,,18857.0,64245.0,139034.0,Cash Flow,165910.0
"Depreciation, Supplemental",,,,,,,13.0,9.0,11.0,Cash Flow,5.0
Free Cash Flow,,,,,,,-9784.0,-30173.0,-39443.0,,-16514.0
FCF Growth,,,,,,,,2.0839125102207685,0.3072283167069898,,-0.5813198793195244
