,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Total Operating Expense,,,,,,355976.0,266698.0,349642.0,344866.0,Income Statement
Total Operating Income,,,,,,-13505.0,-65659.0,-106406.0,-52592.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-25227.0,-14087.0,-13814.0,-13099.0,Income Statement
"Inter Income, Non-Operating",,,,,,40.0,59.0,196.0,1109.0,Income Statement
"Invest Income, Non-Operat",,,,,,725.0,531.0,38.0,54.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,765.0,590.0,234.0,1163.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,-10087.0,-3027.0,-1191.0,4472.0,Income Statement
"Other, Net",,,,,,-10087.0,-3027.0,-1191.0,4472.0,Income Statement
Income Before Tax,,,,,,-48054.0,-82183.0,-121177.0,-60056.0,Income Statement
Income Tax - Total,,,,,,451.0,564.0,-12.0,336.0,Income Statement
Income After Tax,,,,,,-48505.0,-82747.0,-121165.0,-60392.0,Income Statement
Minority Interest,,,,,,15182.0,4388.0,2365.0,3315.0,Income Statement
Net Inc Before Extra Items,,,,,,-33323.0,-78359.0,-118800.0,-57077.0,Income Statement
Total Net Income,,,,,,-33323.0,-78359.0,-118800.0,-57077.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-33323.0,-78359.0,-118800.0,-57077.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-33323.0,-78359.0,-118800.0,-57077.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,175949.0,177189.0,178507.0,186487.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.19,-0.44,-0.67,-0.31,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.19,-0.44,-0.67,-0.31,Income Statement
Diluted Weighted Average Shares,,,,,,175949.0,177189.0,178507.0,186487.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.19,-0.44,-0.67,-0.31,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.19,-0.44,-0.67,-0.31,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,25227.0,14087.0,13814.0,13099.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,13549.0,14400.0,16313.0,15500.0,Income Statement
Total Special Items,,,,,,0.0,,4233.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,-48054.0,-82183.0,-116944.0,-60056.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,,1482.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,451.0,564.0,1470.0,336.0,Income Statement
Normalized Income After Tax,,,,,,-48505.0,-82747.0,-118414.0,-60392.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-33323.0,-78359.0,-116049.0,-57077.0,Income Statement
Basic Normalized EPS,,,,,,-0.19,-0.44,-0.65,-0.31,Income Statement
Diluted Normalized EPS,,,,,,-0.19,-0.44,-0.65,-0.31,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-193369.0,-82747.0,-203912.0,-264304.0,Cash Flow
Depreciation/Depletion,,,,,,53454.0,14384.0,30697.0,46182.0,Cash Flow
Unusual Items,,,,,,14925.0,2407.0,50190.0,38870.0,Cash Flow
Other Non-Cash Items,,,,,,83156.0,29470.0,71712.0,108541.0,Cash Flow
Non-Cash Items,,,,,,98081.0,31877.0,121902.0,147411.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,576.0,381.0,982.0,1296.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,68739.0,14405.0,25938.0,39664.0,Cash Flow
Accounts Receivable,,,,,,-7876.0,-9997.0,4154.0,17701.0,Cash Flow
Inventories,,,,,,-885.0,-39542.0,-62824.0,-110797.0,Cash Flow
Prepaid Expenses,,,,,,1520.0,-6340.0,-5813.0,-15766.0,Cash Flow
Other Assets,,,,,,14713.0,6568.0,-8995.0,-9586.0,Cash Flow
Accounts Payable,,,,,,13132.0,16117.0,51982.0,38642.0,Cash Flow
Accrued Expenses,,,,,,479.0,-22219.0,-18017.0,2099.0,Cash Flow
Changes in Working Capital,,,,,,-18847.0,-55957.0,-47201.0,-97742.0,Cash Flow
Total Cash from Operations,,,,,,-60681.0,-92443.0,-98514.0,-168453.0,Cash Flow
Capital Expenditures,,,,,,-49810.0,-18510.0,-44728.0,-80907.0,Cash Flow
Sale of Business,,,,,,3114.0,,,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,3114.0,,,0.0,Cash Flow
Total Cash from Investing,,,,,,-46696.0,-18510.0,-44728.0,-80907.0,Cash Flow
Financing Cash Flow Items,,,,,,-7788.0,-2876.0,-4415.0,-16627.0,Cash Flow
"Common Stock, Net",,,,,,89790.0,6961.0,5981.0,400546.0,Cash Flow
Sale/Issue of Common/Prefrd,,,,,,208551.0,,,,Cash Flow
Options Exercised,,,,,,,,1317.0,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,298341.0,6961.0,7298.0,400546.0,Cash Flow
Long Term Debt Issued,,,,,,152838.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,,,,-137016.0,-14197.0,-59829.0,-78708.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,15822.0,-14197.0,-59829.0,-78708.0,Cash Flow
Total Cash From Financing,,,,,,306375.0,-10112.0,-56946.0,305211.0,Cash Flow
Foreign Exchange Effects,,,,,,-594.0,-153.0,-747.0,-1643.0,Cash Flow
Net Change in Cash,,,,,,198404.0,-121218.0,-200935.0,54208.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,416710.0,615114.0,615114.0,615114.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,615114.0,493896.0,414179.0,669322.0,Cash Flow
"Depreciation, Supplemental",,,,,,53454.0,14384.0,30697.0,46182.0,Cash Flow
Free Cash Flow,,,,,,-110491.0,-110953.0,-143242.0,-249360.0,
FCF Growth,,,,,,,0.0041813360364193475,0.2910151145079447,0.7408302034319543,
