,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2017,Q1 2018,Q2 2018,Q4 2018
Other LT Liabilities,,,,,,,74.0,37.0,40.0,38.0,Balance Sheet,,,,
"Other Liabilities, Total",,,,,,,84.0,48.0,52.0,52.0,Balance Sheet,,,,
Total Liabilities,,,,,,,585.0,516.0,501.0,525.0,Balance Sheet,,,,
Common Stock,,,,,,,50.0,50.0,50.0,51.0,Balance Sheet,,,,
Additional Paid-In Capital,,,,,,,872.0,879.0,899.0,927.0,Balance Sheet,,,,
Ret. Earn.(Accum. Deficit),,,,,,,383.0,418.0,428.0,443.0,Balance Sheet,,,,
Total Equity,,,,,,,1305.0,1347.0,1377.0,1421.0,Balance Sheet,,,,
Total Liabilities & Shareholders’ Equity,,,,,,,1890.0,1863.0,1878.0,1946.0,Balance Sheet,,,,
Ttl Comm. Shares Outs.,,,,,,,42.0,42.0,42.0,42.0,Balance Sheet,,,,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,,,,
Total Revenue,,,,,,,379817.0,401378.0,429257.0,458884.0,Income Statement,,,,
"Cost of Revenue, Total",,,,,,,235499.0,248967.0,267970.0,286707.0,Income Statement,,,,
Selling/Gen/Admin Expense,,,,,,,71122.0,74645.0,80551.0,86203.0,Income Statement,,,,
Labor & Related Expense,,,,,,,14437.0,10361.0,13116.0,13784.0,Income Statement,,,,
"Sell/Gen/AdminExpenses,Tot",,,,,,,85559.0,85006.0,93667.0,99987.0,Income Statement,,,,
Depreciation/Amortization,,,,,,,10597.0,14155.0,14778.0,15930.0,Income Statement,,,,
Impair-Assets Held for Use,,,,,,,11.0,,,,Income Statement,,,,
Impair-Assets Held for Sale,,,,,,,1035.0,37.0,707.0,1079.0,Income Statement,,,,
Other Unusual Expnse (In),,,,,,,3482.0,2477.0,3233.0,3291.0,Income Statement,,,,
Unusual Expense (Income),,,,,,,4528.0,2514.0,3940.0,4370.0,Income Statement,,,,
"Other Operat Expse, Total",,,,,,,,0.0,0.0,0.0,Income Statement,,,,
Total Operating Expense,,,,,,,336183.0,350642.0,380355.0,406994.0,Income Statement,,,,
Total Operating Income,,,,,,,43634.0,50736.0,48902.0,51890.0,Income Statement,,,,
"Inter/Invest Inc, Non-Oper",,,,,,,-4028.0,-3739.0,-2989.0,-3191.0,Income Statement,,,,
OtherNon-OperatInc (Expnse),,,,,,,-1574.0,1312.0,2018.0,-2448.0,Income Statement,,,,
"Other, Net",,,,,,,-1574.0,1312.0,2018.0,-2448.0,Income Statement,,,,
Income Before Tax,,,,,,,38032.0,48309.0,47931.0,46251.0,Income Statement,,,,
Income Tax - Total,,,,,,,8901.0,11502.0,10777.0,10151.0,Income Statement,,,,
Income After Tax,,,,,,,29131.0,36807.0,37154.0,36100.0,Income Statement,,,,
Minority Interest,,,,,,,-158.0,-184.0,-62.0,-109.0,Income Statement,,,,
Net Inc Before Extra Items,,,,,,,28973.0,36623.0,37092.0,35991.0,Income Statement,,,,
Total Net Income,,,,,,,28973.0,36623.0,37092.0,35991.0,Income Statement,,,,
Income Available to Common Excl. Extra. Items,,,,,,,28973.0,36623.0,37092.0,35991.0,Income Statement,,,,
Income Available to Common Incl. Extra. Items,,,,,,,28973.0,36623.0,37092.0,35991.0,Income Statement,,,,
Basic/Primary Weighted Average Shares,,,,,,,41696.0,41748.0,41829.0,41982.0,Income Statement,,,,
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.69,0.88,0.89,0.86,Income Statement,,,,
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.69,0.88,0.89,0.86,Income Statement,,,,
Diluted Weighted Average Shares,,,,,,,42688.0,42741.0,42778.0,42891.0,Income Statement,,,,
Diluted EPS Excl. Extra. Items,,,,,,,0.68,0.86,0.87,0.84,Income Statement,,,,
Diluted EPS Incl. Extra. Items,,,,,,,0.68,0.86,0.87,0.84,Income Statement,,,,
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement,,,,
Pro Forma Net Income,,,,,,,,,,,Income Statement,,,,
"Depreciat/Amort, Suppl",,,,,,,11845.0,19373.0,20360.0,21887.0,Income Statement,,,,
Total Special Items,,,,,,,8853.0,8154.0,10015.0,10843.0,Income Statement,,,,
Normalzd Income Before Tax,,,,,,,46885.0,56463.0,57946.0,57094.0,Income Statement,,,,
Efct/SpecItemsIncTxs (STEC),,,,,,,2072.0,1941.0,2252.0,2380.0,Income Statement,,,,
IncTxsExcl ImpctofSpec Itms,,,,,,,10973.0,13443.0,13029.0,12531.0,Income Statement,,,,
Normalized Income After Tax,,,,,,,35912.0,43020.0,44917.0,44563.0,Income Statement,,,,
Normalzd Inc Avail to Common,,,,,,,35754.0,42836.0,44855.0,44454.0,Income Statement,,,,
Basic Normalized EPS,,,,,,,0.86,1.03,1.07,1.06,Income Statement,,,,
Diluted Normalized EPS,,,,,,,0.84,1.0,1.05,1.04,Income Statement,,,,
Date,,,,,,,,,,,Cash Flow,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-12-31 00:00:00
Net Income,,,,,,,,,,,Cash Flow,30463.0,10141.0,24566.0,51596.0
Depreciation/Depletion,,,,,,,,,,,Cash Flow,9053.0,2512.0,5171.0,11230.0
Amortization,,,,,,,,,,,Cash Flow,7075.0,1993.0,4311.0,9313.0
Deferred Taxes,,,,,,,,,,,Cash Flow,-5972.0,-1986.0,-1289.0,-7456.0
Unusual Items,,,,,,,,,,,Cash Flow,-2710.0,-311.0,-5924.0,-6302.0
Other Non-Cash Items,,,,,,,,,,,Cash Flow,30489.0,7899.0,17678.0,43204.0
Non-Cash Items,,,,,,,,,,,Cash Flow,27779.0,7588.0,11754.0,36902.0
"Cash Taxes Pd, Supplemental",,,,,,,,,,,Cash Flow,10947.0,1040.0,7668.0,12955.0
"Cash Interest Pd, Suppl",,,,,,,,,,,Cash Flow,95.0,43.0,98.0,159.0
Accounts Receivable,,,,,,,,,,,Cash Flow,-24359.0,-19595.0,-38683.0,-46915.0
Accounts Payable,,,,,,,,,,,Cash Flow,4341.0,-1424.0,14706.0,2479.0
Accrued Expenses,,,,,,,,,,,Cash Flow,7576.0,-3412.0,3054.0,21885.0
Changes in Working Capital,,,,,,,,,,,Cash Flow,-25409.0,-25253.0,-27324.0,-34388.0
Total Cash from Operations,,,,,,,,,,,Cash Flow,42989.0,-5005.0,17189.0,67197.0
Purchase of Fixed Assets,,,,,,,,,,,Cash Flow,-19605.0,-4425.0,-9410.0,-19171.0
Purchase/Acq of Intangibles,,,,,,,,,,,Cash Flow,-8447.0,-2537.0,-5901.0,-9711.0
Capital Expenditures,,,,,,,,,,,Cash Flow,-28052.0,-6962.0,-15311.0,-28882.0
Acquisition of Business,,,,,,,,,,,Cash Flow,-19149.0,0.0,0.0,-4137.0
Sale of Fixed Assets,,,,,,,,,,,Cash Flow,468.0,127.0,131.0,149.0
Sale/Maturity of Investment,,,,,,,,,,,Cash Flow,153320.0,40442.0,82565.0,138423.0
"Investment, Net",,,,,,,,,,,Cash Flow,-579.0,297.0,1342.0,2382.0
Purchase of Investments,,,,,,,,,,,Cash Flow,-152081.0,-41531.0,-86041.0,-142694.0
Other Investing Cash Flow,,,,,,,,,,,Cash Flow,-11461.0,-9043.0,-9043.0,-11358.0
"OtherInvestCashFlowItms,Tot",,,,,,,,,,,Cash Flow,-29482.0,-9708.0,-11046.0,-17235.0
Total Cash from Investing,,,,,,,,,,,Cash Flow,-57534.0,-16670.0,-26357.0,-46117.0
Financing Cash Flow Items,,,,,,,,,,,Cash Flow,5600.0,832.0,1177.0,3058.0
"Iss (Retirmnt) of Stock,Net",,,,,,,,,,,Cash Flow,5296.0,3758.0,4488.0,7040.0
Long Term Debt Issued,,,,,,,,,,,Cash Flow,22000.0,,0.0,0.0
Long Term Debt Reduction,,,,,,,,,,,Cash Flow,-16298.0,-4.0,-4.0,-6004.0
"Iss (Retirmnt) of Debt, Net",,,,,,,,,,,Cash Flow,5702.0,-4.0,-4.0,-6004.0
Total Cash From Financing,,,,,,,,,,,Cash Flow,16598.0,4586.0,5661.0,4094.0
Foreign Exchange Effects,,,,,,,,,,,Cash Flow,-60.0,153.0,210.0,-93.0
Net Change in Cash,,,,,,,,,,,Cash Flow,1993.0,-16936.0,-3297.0,25081.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,,,,,Cash Flow,50532.0,52525.0,52525.0,52525.0
NetCash-EndBal/RsrvforFutUse,,,,,,,,,,,Cash Flow,52525.0,35589.0,49228.0,77606.0
"Depreciation, Supplemental",,,,,,,,,,,Cash Flow,9053.0,2512.0,5171.0,11230.0
Free Cash Flow,,,,,,,,,,,,14937.0,-11967.0,1878.0,38315.0
FCF Growth,,,,,,,,,,,,,-1.8011648925487047,-1.156931561794936,19.40202342917998
