,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2021
Net Inc Before Extra Items,,,,10630.0,12736.0,3154.0,Income Statement,24252.0
Total Net Income,,,,10630.0,12736.0,3154.0,Income Statement,24252.0
Income Available to Common Excl. Extra. Items,,,,10630.0,12736.0,3154.0,Income Statement,24252.0
Income Available to Common Incl. Extra. Items,,,,10630.0,12736.0,3154.0,Income Statement,24252.0
Basic/Primary Weighted Average Shares,,,,100177.0,99304.0,98961.0,Income Statement,80294.0
Basic/Primary EPS Excl. Extra. Items,,,,0.11,0.13,0.03,Income Statement,0.3
Basic/Primary EPS Incl. Extra. Items,,,,0.11,0.13,0.03,Income Statement,0.3
Diluted Weighted Average Shares,,,,115652.0,115280.0,107403.0,Income Statement,94864.0
Diluted EPS Excl. Extra. Items,,,,0.09,0.11,0.03,Income Statement,0.26
Diluted EPS Incl. Extra. Items,,,,0.09,0.11,0.03,Income Statement,0.26
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement,
Gross Divid - Common Stock,,,,0.0,0.0,0.0,Income Statement,
Pro Forma Net Income,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,23.0,21.0,26.0,Income Statement,
"Depreciat/Amort, Suppl",,,,1568.0,1392.0,2025.0,Income Statement,
Total Special Items,,,,1348.0,3061.0,2158.0,Income Statement,
Normalzd Income Before Tax,,,,11161.0,15139.0,5027.0,Income Statement,20303.0
Efct/SpecItemsIncTxs (STEC),,,,60.0,82.0,302.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,501.0,403.0,704.0,Income Statement,616.0
Normalized Income After Tax,,,,10660.0,14736.0,4322.0,Income Statement,19688.0
Normalzd Inc Avail to Common,,,,11917.0,15715.0,5010.0,Income Statement,24252.0
Basic Normalized EPS,,,,0.12,0.16,0.05,Income Statement,0.3
Diluted Normalized EPS,,,,0.1,0.14,0.05,Income Statement,0.26
Date,,,,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow,2021-12-31 00:00:00
Net Income,,,,9372.0,21128.0,23595.0,Cash Flow,19179.0
Depreciation/Depletion,,,,1568.0,2960.0,4984.0,Cash Flow,5226.0
Amortization,,,,633.0,1279.0,2269.0,Cash Flow,1845.0
Unusual Items,,,,-59.0,-4357.0,-2568.0,Cash Flow,-5308.0
Equity in Net Earnings/Loss,,,,69.0,-30.0,-100.0,Cash Flow,67.0
Other Non-Cash Items,,,,2577.0,5324.0,7319.0,Cash Flow,5844.0
Non-Cash Items,,,,2587.0,936.0,4651.0,Cash Flow,603.0
Accounts Receivable,,,,1062.0,4311.0,2895.0,Cash Flow,-57997.0
Prepaid Expenses,,,,-1538.0,-3174.0,-283.0,Cash Flow,-961.0
Other Assets,,,,2188.0,2128.0,882.0,Cash Flow,-2491.0
Accounts Payable,,,,-672.0,-2927.0,-3983.0,Cash Flow,11880.0
Accrued Expenses,,,,3063.0,3546.0,2597.0,Cash Flow,20767.0
Changes in Working Capital,,,,4104.0,3884.0,2108.0,Cash Flow,-28802.0
Total Cash from Operations,,,,18265.0,30187.0,37608.0,Cash Flow,-1947.0
Purchase of Fixed Assets,,,,-602.0,-942.0,-1994.0,Cash Flow,-4859.0
Purchase/Acq of Intangibles,,,,-535.0,-1016.0,-1956.0,Cash Flow,-1849.0
Capital Expenditures,,,,-1137.0,-1958.0,-3951.0,Cash Flow,-6708.0
Acquisition of Business,,,,0.0,,-33843.0,Cash Flow,-1300.0
Sale of Fixed Assets,,,,,0.0,0.0,Cash Flow,75.0
Purchase of Investments,,,,,,,Cash Flow,-656.0
"OtherInvestCashFlowItms,Tot",,,,0.0,0.0,-33843.0,Cash Flow,-1881.0
Total Cash from Investing,,,,-1137.0,-1958.0,-37794.0,Cash Flow,-8589.0
Financing Cash Flow Items,,,,1883.0,1166.0,1036.0,Cash Flow,-20703.0
Sale/Issuance of Common,,,,,,,Cash Flow,178102.0
Repurch/Retirement Common,,,,,-498.0,-498.0,Cash Flow,
"Common Stock, Net",,,,,-498.0,-498.0,Cash Flow,178102.0
Options Exercised,,,,374.0,1153.0,1881.0,Cash Flow,629.0
"Iss (Retirmnt) of Stock,Net",,,,374.0,656.0,1383.0,Cash Flow,178731.0
Short Term Debt Issued,,,,1000.0,1000.0,1000.0,Cash Flow,8000.0
Short Term Debt Reduction,,,,,,,Cash Flow,-8000.0
"Short Term Debt, Net",,,,1000.0,1000.0,1000.0,Cash Flow,0.0
"Long Term Debt, Net",,,,-761.0,-1700.0,-2733.0,Cash Flow,-2821.0
"Iss (Retirmnt) of Debt, Net",,,,239.0,-700.0,-1733.0,Cash Flow,-2821.0
Total Cash From Financing,,,,2497.0,1122.0,686.0,Cash Flow,155206.0
Foreign Exchange Effects,,,,-6.0,5.0,-253.0,Cash Flow,-21.0
Net Change in Cash,,,,19619.0,29356.0,247.0,Cash Flow,144648.0
NetCash-BeginBal/RsvdforFutUse,,,,179106.0,179106.0,179106.0,Cash Flow,34457.0
NetCash-EndBal/RsrvforFutUse,,,,198724.0,208461.0,179352.0,Cash Flow,179106.0
"Depreciation, Supplemental",,,,1568.0,2960.0,4984.0,Cash Flow,5226.0
Free Cash Flow,,,,17128.0,28229.0,33657.0,,-8655.0
FCF Growth,,,,,0.648120037365717,0.1922845300931666,,-1.2571530439433105
