,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
"Iss (Retirmnt) of Stock,Net",,,,-499.0,248951.0,248934.0,248429.0,Cash Flow
"Short Term Debt, Net",,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,91.0,,,,Cash Flow
Long Term Debt Reduction,,,,-104.0,,,,Cash Flow
"Long Term Debt, Net",,,,-4560.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,-4560.0,0.0,0.0,0.0,Cash Flow
Total Cash From Financing,,,,293366.0,248166.0,248136.0,247618.0,Cash Flow
Net Change in Cash,,,,-66716.0,126184.0,21192.0,-6340.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,330574.0,263858.0,263858.0,263858.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,263858.0,390042.0,285050.0,257518.0,Cash Flow
"Depreciation, Supplemental",,,,2281.0,818.0,1693.0,2583.0,Cash Flow
Free Cash Flow,,,,-191895.0,-69101.0,-162157.0,-262259.0,
FCF Growth,,,,,-0.6399020297558561,1.346666473712392,0.6173153178709523,
