,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
Diluted EPS Excl. Extra. Items,,,,,,-0.11,-0.33,-0.17,-0.15,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.11,-0.33,-0.17,-0.15,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,3154.0,3377.0,3767.0,4477.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,670.0,647.0,606.0,645.0,Income Statement
Total Special Items,,,,,,228.0,246.0,127.0,172.0,Income Statement
Normalzd Income Before Tax,,,,,,-3681.0,-9308.0,-6371.0,1923.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,80.0,86.0,44.0,60.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-148.0,970.0,-1766.0,6221.0,Income Statement
Normalized Income After Tax,,,,,,-3533.0,-10278.0,-4605.0,-4298.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-2380.0,-7213.0,-3645.0,-3361.0,Income Statement
Basic Normalized EPS,,,,,,-0.11,-0.33,-0.16,-0.15,Income Statement
Diluted Normalized EPS,,,,,,-0.11,-0.33,-0.16,-0.15,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-3681.0,-14119.0,-18807.0,-23217.0,Cash Flow
Depreciation/Depletion,,,,,,6870.0,14317.0,21823.0,29424.0,Cash Flow
Deferred Taxes,,,,,,-228.0,656.0,-1154.0,2588.0,Cash Flow
Unusual Items,,,,,,0.0,0.0,0.0,,Cash Flow
Other Non-Cash Items,,,,,,14455.0,35103.0,53407.0,61803.0,Cash Flow
Non-Cash Items,,,,,,14455.0,35103.0,53407.0,61803.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,556.0,588.0,835.0,1079.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,1367.0,3471.0,5428.0,8985.0,Cash Flow
Accounts Receivable,,,,,,-628.0,-2844.0,-4800.0,-15771.0,Cash Flow
Prepaid Expenses,,,,,,-4541.0,-4118.0,-2735.0,-3629.0,Cash Flow
Other Assets,,,,,,-877.0,-1087.0,-1837.0,-1197.0,Cash Flow
Accounts Payable,,,,,,419.0,1489.0,242.0,1537.0,Cash Flow
Accrued Expenses,,,,,,5638.0,3665.0,7519.0,8277.0,Cash Flow
Changes in Working Capital,,,,,,4494.0,-4744.0,-19429.0,-24752.0,Cash Flow
Total Cash from Operations,,,,,,21910.0,31213.0,35840.0,45846.0,Cash Flow
Purchase of Fixed Assets,,,,,,-384.0,-967.0,-1395.0,-2268.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-1969.0,-4316.0,-7210.0,-10180.0,Cash Flow
Capital Expenditures,,,,,,-2353.0,-5283.0,-8605.0,-12448.0,Cash Flow
Acquisition of Business,,,,,,-60000.0,-94315.0,-100715.0,-100715.0,Cash Flow
Sale/Maturity of Investment,,,,,,,,,0.0,Cash Flow
Other Investing Cash Flow,,,,,,,,-30.0,118.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,-60000.0,-94315.0,-100745.0,-100597.0,Cash Flow
Total Cash from Investing,,,,,,-62353.0,-99598.0,-109350.0,-113045.0,Cash Flow
Financing Cash Flow Items,,,,,,-6060.0,-6377.0,-17932.0,-25973.0,Cash Flow
"Common Stock, Net",,,,,,,,,17692.0,Cash Flow
Options Exercised,,,,,,174.0,217.0,617.0,694.0,Cash Flow
Warrants Converted,,,,,,,,,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,174.0,217.0,617.0,18386.0,Cash Flow
Long Term Debt Issued,,,,,,105009.0,179835.0,258665.0,335720.0,Cash Flow
Long Term Debt Reduction,,,,,,-49900.0,-95908.0,-155655.0,-255100.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,55109.0,83927.0,103010.0,80620.0,Cash Flow
Total Cash From Financing,,,,,,49223.0,77767.0,85695.0,73033.0,Cash Flow
Net Change in Cash,,,,,,8780.0,9382.0,12185.0,5834.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,17931.0,17931.0,17931.0,17931.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,26711.0,27313.0,30116.0,23765.0,Cash Flow
"Depreciation, Supplemental",,,,,,6870.0,14317.0,21823.0,29424.0,Cash Flow
Free Cash Flow,,,,,,19557.0,25930.0,27235.0,33398.0,
FCF Growth,,,,,,,0.32586797566088865,0.05032780563054384,0.22628970075270782,
