,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report,Q4 2021
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.91,-1.13,-1.08,-0.91,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.91,-1.13,-1.08,-0.91,Income Statement,
Diluted Weighted Average Shares,,,,,,49912.0,53472.0,56287.0,56267.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,-0.91,-1.13,-1.08,-0.91,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,-0.91,-1.13,-1.08,-0.91,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,,Income Statement,
Gross Divid - Common Stock,,,,,,0.0,0.0,0.0,,Income Statement,
Pro Forma Net Income,,,,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,,,26.0,29.0,0.0,26.0,Income Statement,
"Depreciat/Amort, Suppl",,,,,,2350.0,2568.0,3044.0,,Income Statement,
Total Special Items,,,,,,-2826.0,-6014.0,-4231.0,-5781.0,Income Statement,
Normalzd Income Before Tax,,,,,,-58794.0,-66831.0,-64897.0,-56604.0,Income Statement,
Efct/SpecItemsIncTxs (STEC),,,,,,-989.0,-2105.0,-1481.0,-2023.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,-11394.0,-2254.0,-1630.0,-1731.0,Income Statement,
Normalized Income After Tax,,,,,,-47400.0,-64577.0,-63267.0,-54873.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,-47400.0,-64577.0,-63267.0,-54873.0,Income Statement,
Basic Normalized EPS,,,,,,-0.95,-1.21,-1.12,-0.98,Income Statement,
Diluted Normalized EPS,,,,,,-0.95,-1.21,-1.12,-0.98,Income Statement,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,,Cash Flow,2021-09-30 00:00:00
Net Income,,,,,,-45563.0,-106231.0,-166748.0,,Cash Flow,-152098.0
Depreciation/Depletion,,,,,,3150.0,7118.0,11562.0,,Cash Flow,9750.0
Deferred Taxes,,,,,,-10545.0,-11045.0,-11177.0,,Cash Flow,
Unusual Items,,,,,,-2756.0,-8770.0,-13001.0,,Cash Flow,-537.0
Other Non-Cash Items,,,,,,19607.0,42799.0,64127.0,,Cash Flow,40022.0
Non-Cash Items,,,,,,16851.0,34029.0,51126.0,,Cash Flow,39485.0
"Cash Taxes Pd, Supplemental",,,,,,91.0,130.0,130.0,,Cash Flow,101.0
"Cash Interest Pd, Suppl",,,,,,9.0,9.0,9.0,,Cash Flow,167.0
Accounts Receivable,,,,,,-2032.0,-3845.0,-10284.0,,Cash Flow,-2202.0
Inventories,,,,,,-8436.0,-12787.0,-11237.0,,Cash Flow,-19489.0
Prepaid Expenses,,,,,,-91.0,-1407.0,-2736.0,,Cash Flow,-2058.0
Other Assets,,,,,,3231.0,3873.0,6829.0,,Cash Flow,-4653.0
Accounts Payable,,,,,,-5.0,-762.0,466.0,,Cash Flow,8542.0
Accrued Expenses,,,,,,-3179.0,1232.0,6127.0,,Cash Flow,10507.0
Changes in Working Capital,,,,,,-10546.0,-12864.0,-7881.0,,Cash Flow,-9381.0
Total Cash from Operations,,,,,,-46653.0,-88993.0,-123118.0,,Cash Flow,-112244.0
Capital Expenditures,,,,,,-12783.0,-44753.0,-85395.0,,Cash Flow,-27061.0
Acquisition of Business,,,,,,-8160.0,-8160.0,-8160.0,,Cash Flow,-483.0
Sale/Maturity of Investment,,,,,,12000.0,30676.0,75481.0,,Cash Flow,242494.0
Purchase of Investments,,,,,,-217639.0,-217639.0,-217639.0,,Cash Flow,-58795.0
"OtherInvestCashFlowItms,Tot",,,,,,-213799.0,-195123.0,-150318.0,,Cash Flow,183216.0
Total Cash from Investing,,,,,,-226582.0,-239876.0,-235713.0,,Cash Flow,156155.0
Sale/Issuance of Common,,,,,,0.0,269818.0,269824.0,,Cash Flow,323861.0
Repurch/Retirement Common,,,,,,-2558.0,-4050.0,-6130.0,,Cash Flow,-10849.0
"Common Stock, Net",,,,,,-2558.0,265768.0,263694.0,,Cash Flow,313012.0
Options Exercised,,,,,,3105.0,6395.0,7158.0,,Cash Flow,19503.0
"Iss (Retirmnt) of Stock,Net",,,,,,547.0,272163.0,270852.0,,Cash Flow,332515.0
"Iss (Retirmnt) of Debt, Net",,,,,,-1558.0,-1558.0,-1558.0,,Cash Flow,-3333.0
Total Cash From Financing,,,,,,-1011.0,270605.0,269294.0,,Cash Flow,329182.0
Foreign Exchange Effects,,,,,,83.0,104.0,-1.0,,Cash Flow,20.0
Net Change in Cash,,,,,,-274163.0,-58160.0,-89538.0,,Cash Flow,373113.0
NetCash-BeginBal/RsvdforFutUse,,,,,,467359.0,467359.0,467359.0,,Cash Flow,94246.0
NetCash-EndBal/RsrvforFutUse,,,,,,193196.0,409199.0,377821.0,,Cash Flow,467359.0
"Depreciation, Supplemental",,,,,,3150.0,7118.0,11562.0,,Cash Flow,9750.0
Free Cash Flow,,,,,,-59436.0,-133746.0,-208513.0,,,-139305.0
FCF Growth,,,,,,,1.2502523722996166,0.5590223259013354,0.0,,-0.33191215895411796
