,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Report,Q4 2021
Date,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Income Statement,2021-10-31 00:00:00
Total Revenue,,,,3838.0,8653.0,-1966.0,Income Statement,4391.0
"Cost of Revenue, Total",,,,1414.0,1817.0,3572.0,Income Statement,1406.0
Selling/Gen/Admin Expense,,,,6168.0,7456.0,10140.0,Income Statement,6074.0
Labor & Related Expense,,,,12977.0,15806.0,13525.0,Income Statement,7662.0
"Sell/Gen/AdminExpenses,Tot",,,,19145.0,23262.0,23665.0,Income Statement,13736.0
Research & Development,,,,342.0,528.0,515.0,Income Statement,734.0
Depreciation/Amortization,,,,1834.0,1987.0,2969.0,Income Statement,1069.0
"Other Operat Expse, Total",,,,647.0,1571.0,1745.0,Income Statement,800.0
Total Operating Expense,,,,23382.0,29165.0,32466.0,Income Statement,17745.0
Total Operating Income,,,,-19544.0,-20512.0,-34433.0,Income Statement,-13354.0
"Inter Expse,Net Non-Operat",,,,-3741.0,-2451.0,-3533.0,Income Statement,-2120.0
"Inter Income, Non-Operating",,,,138.0,409.0,2010.0,Income Statement,81.0
"Invest Income, Non-Operat",,,,50883.0,2721.0,8515.0,Income Statement,-36043.0
"Inter/Invest Inc, Non-Oper",,,,51021.0,3130.0,10526.0,Income Statement,-35963.0
OtherNon-OperatInc (Expnse),,,,811.0,-812.0,-82.0,Income Statement,-153532.0
"Other, Net",,,,811.0,-812.0,-82.0,Income Statement,-153532.0
Income Before Tax,,,,28547.0,-20645.0,-27522.0,Income Statement,-204969.0
Income Tax - Total,,,,,5.0,0.0,Income Statement,
Income After Tax,,,,28547.0,-20650.0,-27522.0,Income Statement,-204969.0
Minority Interest,,,,,24.0,42.0,Income Statement,
Net Inc Before Extra Items,,,,28547.0,-20627.0,-27479.0,Income Statement,-204969.0
Total Net Income,,,,28547.0,-20627.0,-27479.0,Income Statement,-204969.0
Income Available to Common Excl. Extra. Items,,,,28547.0,-20627.0,-27479.0,Income Statement,-204969.0
Income Available to Common Incl. Extra. Items,,,,28547.0,-20627.0,-27479.0,Income Statement,-204969.0
Basic/Primary Weighted Average Shares,,,,163845.0,168972.0,174384.0,Income Statement,163180.0
Basic/Primary EPS Excl. Extra. Items,,,,0.17,-0.12,-0.16,Income Statement,-1.26
Basic/Primary EPS Incl. Extra. Items,,,,0.17,-0.12,-0.16,Income Statement,-1.26
Diluted Weighted Average Shares,,,,163845.0,168972.0,174384.0,Income Statement,163180.0
Diluted EPS Excl. Extra. Items,,,,0.17,-0.12,-0.16,Income Statement,-1.26
Diluted EPS Incl. Extra. Items,,,,0.17,-0.12,-0.16,Income Statement,-1.26
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement,
Gross Divid - Common Stock,,,,0.0,0.0,0.0,Income Statement,
Pro Forma Net Income,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,3741.0,2451.0,3533.0,Income Statement,2120.0
"Depreciat/Amort, Suppl",,,,1834.0,1503.0,2969.0,Income Statement,1069.0
Normalzd Income Before Tax,,,,28547.0,-20645.0,-27522.0,Income Statement,-204969.0
IncTxsExcl ImpctofSpec Itms,,,,,5.0,0.0,Income Statement,
Normalized Income After Tax,,,,28547.0,-20650.0,-27522.0,Income Statement,-204969.0
Normalzd Inc Avail to Common,,,,28547.0,-20627.0,-27479.0,Income Statement,-204969.0
Basic Normalized EPS,,,,0.17,-0.12,-0.16,Income Statement,-1.26
Diluted Normalized EPS,,,,0.17,-0.12,-0.16,Income Statement,-1.26
Date,,,,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Cash Flow,2021-10-31 00:00:00
Net Income,,,,29.0,8.0,-20.0,Cash Flow,-227.0
Depreciation/Depletion,,,,2.0,3.0,7.0,Cash Flow,3.0
Unusual Items,,,,-51.0,-54.0,-62.0,Cash Flow,38.0
Other Non-Cash Items,,,,8.0,14.0,21.0,Cash Flow,158.0
Non-Cash Items,,,,-43.0,-39.0,-41.0,Cash Flow,197.0
"Cash Interest Pd, Suppl",,,,0.0,1.0,2.0,Cash Flow,
Accounts Receivable,,,,-1.0,-8.0,-4.0,Cash Flow,-4.0
Inventories,,,,-2.0,-2.0,-5.0,Cash Flow,-1.0
Prepaid Expenses,,,,2.0,2.0,-4.0,Cash Flow,-8.0
Payable/Accrued,,,,-5.0,-3.0,3.0,Cash Flow,12.0
Changes in Working Capital,,,,-6.0,-11.0,-10.0,Cash Flow,-1.0
Total Cash from Operations,,,,-19.0,-39.0,-64.0,Cash Flow,-28.0
Capital Expenditures,,,,-12.0,-15.0,-45.0,Cash Flow,-18.0
Sale of Fixed Assets,,,,,,,Cash Flow,0.0
Other Investing Cash Flow,,,,-13.0,-32.0,-84.0,Cash Flow,
"OtherInvestCashFlowItms,Tot",,,,-13.0,-32.0,-84.0,Cash Flow,0.0
Total Cash from Investing,,,,-25.0,-47.0,-130.0,Cash Flow,-18.0
Financing Cash Flow Items,,,,,0.0,50.0,Cash Flow,0.0
"Common Stock, Net",,,,,,,Cash Flow,547.0
Options Exercised,,,,,,,Cash Flow,0.0
Warrants Converted,,,,0.0,0.0,0.0,Cash Flow,0.0
"Iss (Retirmnt) of Stock,Net",,,,0.0,0.0,0.0,Cash Flow,547.0
Long Term Debt Issued,,,,,,199.0,Cash Flow,109.0
Long Term Debt Reduction,,,,-1.0,-2.0,-3.0,Cash Flow,-13.0
"Iss (Retirmnt) of Debt, Net",,,,-1.0,-2.0,195.0,Cash Flow,95.0
Total Cash From Financing,,,,-1.0,-2.0,246.0,Cash Flow,642.0
Net Change in Cash,,,,-45.0,-88.0,52.0,Cash Flow,596.0
NetCash-BeginBal/RsvdforFutUse,,,,597.0,597.0,597.0,Cash Flow,1.0
NetCash-EndBal/RsrvforFutUse,,,,552.0,509.0,649.0,Cash Flow,597.0
"Depreciation, Supplemental",,,,2.0,3.0,7.0,Cash Flow,3.0
Free Cash Flow,,,,-31.0,-54.0,-109.0,,-46.0
FCF Growth,,,,,0.7419354838709677,1.0185185185185186,,-0.5779816513761468
