,2018,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,90658.0,96574.0,103480.0,109864.0,Balance Sheet
Total Liabilities,,,,,,172236.0,215353.0,207339.0,207923.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,0.0,0.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,170773.0,173762.0,174878.0,174510.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-50176.0,-17536.0,-15641.0,-8519.0,Balance Sheet
"Other Equity, Total",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,120597.0,156226.0,159237.0,165991.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,292833.0,371579.0,366576.0,373914.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,15123.0,15123.0,15125.0,15183.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-10-31 00:00:00,2022-01-30 00:00:00,2022-05-01 00:00:00,2022-07-31 00:00:00,Income Statement
Total Revenue,,,,,,116678.0,196198.0,129380.0,148534.0,Income Statement
"Cost of Revenue, Total",,,,,,58062.0,86577.0,63272.0,67608.0,Income Statement
Selling/Gen/Admin Expense,,,,,,38087.0,57730.0,44901.0,48866.0,Income Statement
Advertising Expense,,,,,,15832.0,25530.0,15901.0,19088.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,53919.0,83260.0,60802.0,67954.0,Income Statement
Depreciation,,,,,,1642.0,2033.0,2575.0,2974.0,Income Statement
Amortiz of Intangibles,,,,,,84.0,78.0,86.0,102.0,Income Statement
Depreciation/Amortization,,,,,,1726.0,2111.0,2661.0,3076.0,Income Statement
Unusual Expense (Income),,,,,,0.0,46.0,,,Income Statement
Total Operating Expense,,,,,,113707.0,171994.0,126735.0,138638.0,Income Statement
Total Operating Income,,,,,,2971.0,24204.0,2645.0,9896.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,-45.0,-44.0,-35.0,3.0,Income Statement
Income Before Tax,,,,,,2926.0,24160.0,2610.0,9899.0,Income Statement
Income Tax - Total,,,,,,174.0,-8480.0,715.0,2777.0,Income Statement
Income After Tax,,,,,,2752.0,32640.0,1895.0,7122.0,Income Statement
Net Inc Before Extra Items,,,,,,2752.0,32640.0,1895.0,7122.0,Income Statement
Total Net Income,,,,,,2752.0,32640.0,1895.0,7122.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,2752.0,32640.0,1895.0,7122.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,2752.0,32640.0,1895.0,7122.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,15147.0,15153.0,15155.0,15195.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,0.18,2.15,0.13,0.47,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,0.18,2.15,0.13,0.47,Income Statement
Diluted Weighted Average Shares,,,,,,16070.0,16185.0,16173.0,16004.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,0.17,2.02,0.12,0.45,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,0.17,2.02,0.12,0.45,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,0.0,0.0,,,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,,,1642.0,2033.0,2575.0,2974.0,Income Statement
Total Special Items,,,,,,0.0,46.0,105.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,2926.0,24206.0,2715.0,9899.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,0.0,16.0,29.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,174.0,-8464.0,744.0,2777.0,Income Statement
Normalized Income After Tax,,,,,,2752.0,32670.0,1971.0,7122.0,Income Statement
Normalzd Inc Avail to Common,,,,,,2752.0,32670.0,1971.0,7122.0,Income Statement
Basic Normalized EPS,,,,,,0.18,2.16,0.13,0.47,Income Statement
Diluted Normalized EPS,,,,,,0.17,2.02,0.12,0.45,Income Statement
Date,,,,,,2021-10-31 00:00:00,2022-01-30 00:00:00,2022-05-01 00:00:00,2022-07-31 00:00:00,Cash Flow
Net Income,,,,,,13260.0,45900.0,1895.0,9017.0,Cash Flow
Depreciation/Depletion,,,,,,5121.0,7154.0,2575.0,5549.0,Cash Flow
Amortization,,,,,,627.0,705.0,86.0,188.0,Cash Flow
Deferred Taxes,,,,,,,-9836.0,,,Cash Flow
Unusual Items,,,,,,554.0,1018.0,,0.0,Cash Flow
Other Non-Cash Items,,,,,,13921.0,20271.0,5899.0,13717.0,Cash Flow
Non-Cash Items,,,,,,14475.0,21289.0,5899.0,13717.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,775.0,1121.0,905.0,9393.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,80.0,95.0,33.0,34.0,Cash Flow
Accounts Receivable,,,,,,-5281.0,-4034.0,2134.0,-423.0,Cash Flow
Inventories,,,,,,-44127.0,-56819.0,-14515.0,-38133.0,Cash Flow
Prepaid Expenses,,,,,,1166.0,-2459.0,270.0,-17916.0,Cash Flow
Other Assets,,,,,,711.0,7323.0,-5709.0,-6828.0,Cash Flow
Accrued Expenses,,,,,,-10396.0,-14400.0,-4062.0,-8501.0,Cash Flow
Payable/Accrued,,,,,,9265.0,39195.0,-10359.0,-16024.0,Cash Flow
Changes in Working Capital,,,,,,-48662.0,-31194.0,-32241.0,-87825.0,Cash Flow
Total Cash from Operations,,,,,,-15179.0,34018.0,-21786.0,-59354.0,Cash Flow
Purchase of Fixed Assets,,,,,,-11386.0,-15887.0,-5893.0,-13461.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-455.0,-601.0,-125.0,-200.0,Cash Flow
Capital Expenditures,,,,,,-11841.0,-16488.0,-6018.0,-13661.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,0.0,,,Cash Flow
Total Cash from Investing,,,,,,-11841.0,-16488.0,-6018.0,-13661.0,Cash Flow
Financing Cash Flow Items,,,,,,-3563.0,-3583.0,-208.0,-1725.0,Cash Flow
"Common Stock, Net",,,,,,,0.0,,,Cash Flow
"Preferred Stock, Net",,,,,,,,0.0,0.0,Cash Flow
Warrants Converted,,,,,,104.0,104.0,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,104.0,104.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,,0.0,,Cash Flow
Total Cash From Financing,,,,,,-3459.0,-3479.0,-208.0,-1725.0,Cash Flow
Net Change in Cash,,,,,,-30479.0,14051.0,-28012.0,-74740.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,78341.0,78341.0,92392.0,92392.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,47862.0,92392.0,64380.0,17652.0,Cash Flow
"Depreciation, Supplemental",,,,,,5121.0,7154.0,2575.0,5549.0,Cash Flow
Free Cash Flow,,,,,,-27020.0,17530.0,-27804.0,-73015.0,
FCF Growth,,,,,,,-1.648778682457439,-2.5860810039931543,1.6260609984174939,
