,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Income Available to Common Excl. Extra. Items,,,,-30713.0,-34440.0,-47686.0,-39853.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-30713.0,-34440.0,-47686.0,-39853.0,Income Statement
Basic/Primary Weighted Average Shares,,,,70934.0,71050.0,71162.0,71208.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.43,-0.48,-0.67,-0.56,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.43,-0.48,-0.67,-0.56,Income Statement
Diluted Weighted Average Shares,,,,70934.0,71050.0,71162.0,71208.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.43,-0.48,-0.67,-0.56,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.43,-0.48,-0.67,-0.56,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,,652.0,969.0,1126.0,1107.0,Income Statement
Normalzd Income Before Tax,,,,-30441.0,-34479.0,-47641.0,-39662.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,274.0,-28.0,33.0,194.0,Income Statement
Normalized Income After Tax,,,,-30715.0,-34451.0,-47674.0,-39856.0,Income Statement
Normalzd Inc Avail to Common,,,,-30713.0,-34440.0,-47686.0,-39853.0,Income Statement
Basic Normalized EPS,,,,-0.43,-0.48,-0.67,-0.56,Income Statement
Diluted Normalized EPS,,,,-0.43,-0.48,-0.67,-0.56,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-101219.0,-34451.0,-82125.0,-121981.0,Cash Flow
Depreciation/Depletion,,,,2847.0,969.0,2095.0,3202.0,Cash Flow
Unusual Items,,,,-11219.0,6160.0,21860.0,16605.0,Cash Flow
Equity in Net Earnings/Loss,,,,1674.0,0.0,-11828.0,-11825.0,Cash Flow
Other Non-Cash Items,,,,32571.0,10638.0,21278.0,31527.0,Cash Flow
Non-Cash Items,,,,23026.0,16798.0,31310.0,36307.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,448.0,37.0,171.0,462.0,Cash Flow
Accounts Receivable,,,,-5508.0,-4455.0,9394.0,5401.0,Cash Flow
Prepaid Expenses,,,,-1121.0,-7725.0,-8719.0,-6837.0,Cash Flow
Other Assets,,,,5799.0,1221.0,3140.0,4812.0,Cash Flow
Accounts Payable,,,,-411.0,1328.0,-2938.0,2597.0,Cash Flow
Accrued Expenses,,,,6946.0,-6328.0,1352.0,1293.0,Cash Flow
Changes in Working Capital,,,,4677.0,-23038.0,-15658.0,-12269.0,Cash Flow
Total Cash from Operations,,,,-70669.0,-39722.0,-64378.0,-94741.0,Cash Flow
Capital Expenditures,,,,-7167.0,-1696.0,-3670.0,-6668.0,Cash Flow
Acquisition of Business,,,,,-6427.0,-6427.0,-6427.0,Cash Flow
Sale/Maturity of Investment,,,,408482.0,99495.0,180710.0,283711.0,Cash Flow
Purchase of Investments,,,,-418502.0,-55068.0,-111815.0,-203975.0,Cash Flow
Other Investing Cash Flow,,,,375.0,0.0,11828.0,11825.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-9645.0,38000.0,74296.0,85134.0,Cash Flow
Total Cash from Investing,,,,-16812.0,36304.0,70626.0,78466.0,Cash Flow
Financing Cash Flow Items,,,,25.0,,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,7927.0,908.0,1304.0,1628.0,Cash Flow
Total Cash From Financing,,,,7952.0,908.0,1304.0,1628.0,Cash Flow
Net Change in Cash,,,,-79529.0,-2510.0,7552.0,-14647.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,202796.0,123267.0,123267.0,123267.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,123267.0,120757.0,130819.0,108620.0,Cash Flow
"Depreciation, Supplemental",,,,2847.0,969.0,2095.0,3202.0,Cash Flow
Free Cash Flow,,,,-77836.0,-41418.0,-68048.0,-101409.0,
FCF Growth,,,,,-0.46788118608356033,0.6429571683808972,0.49025687749823654,
