,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Depreciation/Depletion,,,,,86500.0,26100.0,52700.0,77900.0,Cash Flow
Deferred Taxes,,,,,-700.0,-700.0,-2300.0,-3100.0,Cash Flow
Unusual Items,,,,,10500.0,2200.0,3700.0,6900.0,Cash Flow
Other Non-Cash Items,,,,,172400.0,48000.0,97400.0,148700.0,Cash Flow
Non-Cash Items,,,,,182900.0,50200.0,101100.0,155600.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,90000.0,3200.0,53500.0,61800.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,45200.0,3600.0,21800.0,27800.0,Cash Flow
Accounts Receivable,,,,,-134400.0,7900.0,66700.0,53100.0,Cash Flow
Accrued Expenses,,,,,-147000.0,-54300.0,-95900.0,-139400.0,Cash Flow
Payable/Accrued,,,,,29400.0,-13000.0,-56200.0,-43200.0,Cash Flow
Changes in Working Capital,,,,,-252000.0,-59400.0,-85400.0,-129500.0,Cash Flow
Total Cash from Operations,,,,,311100.0,97700.0,230300.0,315400.0,Cash Flow
Capital Expenditures,,,,,-135600.0,-30900.0,-75100.0,-135900.0,Cash Flow
Acquisition of Business,,,,,-257100.0,,0.0,0.0,Cash Flow
Sale of Fixed Assets,,,,,800.0,37100.0,38700.0,38800.0,Cash Flow
Other Investing Cash Flow,,,,,-2000.0,-1000.0,-1600.0,-2000.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,-258300.0,36100.0,37100.0,36800.0,Cash Flow
Total Cash from Investing,,,,,-393900.0,5200.0,-38000.0,-99100.0,Cash Flow
Financing Cash Flow Items,,,,,-47500.0,-66700.0,-85600.0,-89100.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,2600.0,300.0,1000.0,1500.0,Cash Flow
"Short Term Debt, Net",,,,,28800.0,-15400.0,49300.0,47000.0,Cash Flow
Long Term Debt Issued,,,,,815000.0,,0.0,0.0,Cash Flow
Long Term Debt Reduction,,,,,-786700.0,-47000.0,-179800.0,-182000.0,Cash Flow
"Long Term Debt, Net",,,,,28300.0,-47000.0,-179800.0,-182000.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,57100.0,-62400.0,-130500.0,-135000.0,Cash Flow
Total Cash From Financing,,,,,12200.0,-128800.0,-215100.0,-222600.0,Cash Flow
Foreign Exchange Effects,,,,,200.0,-300.0,-2000.0,-10200.0,Cash Flow
Net Change in Cash,,,,,-70400.0,-26200.0,-24800.0,-16500.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,232800.0,162400.0,162400.0,162400.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,162400.0,136200.0,137600.0,145900.0,Cash Flow
"Depreciation, Supplemental",,,,,86500.0,26100.0,52700.0,77900.0,Cash Flow
Free Cash Flow,,,,,175500.0,66800.0,155200.0,179500.0,
FCF Growth,,,,,,-0.6193732193732193,1.3233532934131738,0.15657216494845372,
