,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Depreciation/Depletion,,,,,97194.0,24636.0,48989.0,75050.0,Cash Flow
Deferred Taxes,,,,,4848.0,-2577.0,2671.0,20728.0,Cash Flow
Unusual Items,,,,,5205.0,1973.0,-4619.0,-459.0,Cash Flow
Equity in Net Earnings/Loss,,,,,-186.0,-9.0,-37.0,7.0,Cash Flow
Other Non-Cash Items,,,,,12803.0,2980.0,7704.0,12194.0,Cash Flow
Non-Cash Items,,,,,17822.0,4944.0,3048.0,11742.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,14686.0,561.0,4719.0,5280.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,51495.0,7684.0,27740.0,36109.0,Cash Flow
Accounts Receivable,,,,,-16003.0,-12886.0,-31491.0,-59867.0,Cash Flow
Inventories,,,,,-21816.0,-21318.0,-35947.0,-14570.0,Cash Flow
Other Assets,,,,,-5421.0,18215.0,7607.0,-7367.0,Cash Flow
Accounts Payable,,,,,16813.0,20177.0,46407.0,37493.0,Cash Flow
Changes in Working Capital,,,,,-20100.0,741.0,-16670.0,-26875.0,Cash Flow
Total Cash from Operations,,,,,159191.0,30062.0,72162.0,139763.0,Cash Flow
Purchase of Fixed Assets,,,,,-226205.0,-20667.0,-45168.0,-72902.0,Cash Flow
Purchase/Acq of Intangibles,,,,,-246.0,,-125.0,-176.0,Cash Flow
Capital Expenditures,,,,,-226451.0,-20667.0,-45293.0,-73078.0,Cash Flow
Acquisition of Business,,,,,-203070.0,-11746.0,-11853.0,-191203.0,Cash Flow
Sale of Fixed Assets,,,,,284854.0,6933.0,7261.0,140380.0,Cash Flow
Sale/Maturity of Investment,,,,,0.0,,174.0,174.0,Cash Flow
"Investment, Net",,,,,,1618.0,27109.0,58934.0,Cash Flow
Purchase of Investments,,,,,-27110.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,54674.0,-3195.0,22691.0,8285.0,Cash Flow
Total Cash from Investing,,,,,-171777.0,-23862.0,-22602.0,-64793.0,Cash Flow
Financing Cash Flow Items,,,,,35347.0,-60.0,-2205.0,-2265.0,Cash Flow
Cash Divids Paid - Common,,,,,,-2474.0,-4889.0,-7291.0,Cash Flow
Cash Divs Paid - Preferred,,,,,-5892.0,-1418.0,-2852.0,-4301.0,Cash Flow
Total Cash Dividends Paid,,,,,-5892.0,-3892.0,-7741.0,-11592.0,Cash Flow
Sale/Issuance of Common,,,,,0.0,,,,Cash Flow
Repurch/Retirement Common,,,,,,-13084.0,-40038.0,-40042.0,Cash Flow
"Common Stock, Net",,,,,0.0,-13084.0,-40038.0,-40042.0,Cash Flow
"Preferred Stock, Net",,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,0.0,-13084.0,-40038.0,-40042.0,Cash Flow
"Short Term Debt, Net",,,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,,484089.0,0.0,0.0,51450.0,Cash Flow
Long Term Debt Reduction,,,,,-539928.0,-4809.0,-9397.0,-47386.0,Cash Flow
"Long Term Debt, Net",,,,,-55839.0,-4809.0,-9397.0,4064.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,-55839.0,-4809.0,-9397.0,4064.0,Cash Flow
Total Cash From Financing,,,,,-26384.0,-21845.0,-59381.0,-49835.0,Cash Flow
Foreign Exchange Effects,,,,,-1464.0,-16.0,-121.0,-109.0,Cash Flow
Net Change in Cash,,,,,-40434.0,-15661.0,-9942.0,25026.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,312977.0,272543.0,272543.0,272543.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,272543.0,256882.0,262601.0,297569.0,Cash Flow
"Depreciation, Supplemental",,,,,97194.0,24636.0,48989.0,75050.0,Cash Flow
Free Cash Flow,,,,,-67260.0,9395.0,26869.0,66685.0,
FCF Growth,,,,,,-1.1396818316978887,1.8599254922831294,1.4818564144553203,
