,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Total Operating Income,,,,-26080.0,-23737.0,-61842.0,-28634.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-870.0,-859.0,-641.0,,Income Statement
"Inter/Invest Inc, Non-Oper",,,,-54.0,-781.0,-676.0,-2624.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,,45.0,Income Statement
"Other, Net",,,,0.0,,,,Income Statement
Income Before Tax,,,,-27004.0,-25377.0,-63159.0,-31213.0,Income Statement
Income Tax - Total,,,,-3254.0,252.0,-20.0,89.0,Income Statement
Income After Tax,,,,-23750.0,-25629.0,-63139.0,-31302.0,Income Statement
Net Inc Before Extra Items,,,,-23750.0,-25629.0,-63139.0,-31302.0,Income Statement
Total Net Income,,,,-23750.0,-25629.0,-63139.0,-31302.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,-23750.0,-25629.0,-63139.0,-31302.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-23750.0,-25629.0,-63139.0,-31302.0,Income Statement
Basic/Primary Weighted Average Shares,,,,119155.0,119594.0,119941.0,121014.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.2,-0.21,-0.53,-0.26,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.2,-0.21,-0.53,-0.26,Income Statement
Diluted Weighted Average Shares,,,,119155.0,119594.0,119941.0,121014.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.2,-0.21,-0.53,-0.26,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.2,-0.21,-0.53,-0.26,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,870.0,859.0,641.0,,Income Statement
"Depreciat/Amort, Suppl",,,,1618.0,1646.0,1592.0,1637.0,Income Statement
Total Special Items,,,,3604.0,1189.0,648.0,1982.0,Income Statement
Normalzd Income Before Tax,,,,-23400.0,-24188.0,-62511.0,-29231.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1261.0,416.0,227.0,694.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,-1993.0,668.0,207.0,783.0,Income Statement
Normalized Income After Tax,,,,-21407.0,-24856.0,-62718.0,-30014.0,Income Statement
Normalzd Inc Avail to Common,,,,-21407.0,-24856.0,-62718.0,-30014.0,Income Statement
Basic Normalized EPS,,,,-0.18,-0.21,-0.52,-0.25,Income Statement
Diluted Normalized EPS,,,,-0.18,-0.21,-0.52,-0.25,Income Statement
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,-75189.0,-25629.0,-88768.0,-120070.0,Cash Flow
Depreciation/Depletion,,,,47069.0,13893.0,27784.0,41738.0,Cash Flow
Deferred Taxes,,,,-5644.0,-468.0,-1199.0,-2019.0,Cash Flow
Unusual Items,,,,449.0,,,0.0,Cash Flow
Other Non-Cash Items,,,,62077.0,22676.0,83094.0,113329.0,Cash Flow
Non-Cash Items,,,,62526.0,22676.0,83094.0,113329.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,1334.0,192.0,751.0,1630.0,Cash Flow
"Cash Interest Pd, Suppl",,,,967.0,293.0,371.0,683.0,Cash Flow
Accounts Receivable,,,,-6521.0,-2190.0,-17870.0,-15125.0,Cash Flow
Prepaid Expenses,,,,-9265.0,-3668.0,-3851.0,-3351.0,Cash Flow
Other Assets,,,,-24795.0,-6952.0,-15438.0,-22919.0,Cash Flow
Accounts Payable,,,,2069.0,-413.0,292.0,7766.0,Cash Flow
Accrued Expenses,,,,4345.0,-11250.0,-3100.0,2872.0,Cash Flow
Changes in Working Capital,,,,36403.0,-13462.0,-4569.0,29853.0,Cash Flow
Total Cash from Operations,,,,65165.0,-2990.0,16342.0,62831.0,Cash Flow
Capital Expenditures,,,,-9755.0,-1964.0,-2955.0,-5645.0,Cash Flow
Acquisition of Business,,,,-352711.0,-4023.0,-4023.0,-4023.0,Cash Flow
Sale of Fixed Assets,,,,48.0,8.0,,,Cash Flow
Purchase of Investments,,,,,,,-3100.0,Cash Flow
Other Investing Cash Flow,,,,-25000.0,,,-151.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,-377663.0,-4015.0,-4023.0,-7274.0,Cash Flow
Total Cash from Investing,,,,-387418.0,-5979.0,-6978.0,-12919.0,Cash Flow
Financing Cash Flow Items,,,,-78913.0,-4638.0,-4918.0,-4942.0,Cash Flow
"Common Stock, Net",,,,0.0,,,,Cash Flow
Options Exercised,,,,10691.0,1197.0,1543.0,4682.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,10691.0,1197.0,1543.0,4682.0,Cash Flow
Long Term Debt Issued,,,,623750.0,0.0,,0.0,Cash Flow
Long Term Debt Reduction,,,,-250000.0,,,0.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,373750.0,0.0,,0.0,Cash Flow
Total Cash From Financing,,,,305528.0,-3441.0,-3375.0,-260.0,Cash Flow
Foreign Exchange Effects,,,,-993.0,-145.0,-790.0,-1322.0,Cash Flow
Net Change in Cash,,,,-17718.0,-12555.0,5199.0,48330.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,194868.0,177150.0,177150.0,177150.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,177150.0,164595.0,182349.0,225480.0,Cash Flow
"Depreciation, Supplemental",,,,47069.0,13893.0,27784.0,41738.0,Cash Flow
Free Cash Flow,,,,55410.0,-4954.0,13387.0,57186.0,
FCF Growth,,,,,-1.0894062443602237,-3.7022607993540575,3.2717561813699856,
