,2017,2018,2019,2020,2021,2022,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Report,Q3 2022
Inventories,,,,,,,-34679.0,-37806.0,-21857.0,-35549.0,Cash Flow,
Other Assets,,,,,,,-15915.0,-24005.0,-6129.0,-11388.0,Cash Flow,
Accounts Payable,,,,,,,-6223.0,4890.0,9205.0,13724.0,Cash Flow,
Accrued Expenses,,,,,,,5030.0,11067.0,-14966.0,-12260.0,Cash Flow,
Changes in Working Capital,,,,,,,-35527.0,-55697.0,-36998.0,-56316.0,Cash Flow,
Total Cash from Operations,,,,,,,77985.0,111770.0,328.0,19070.0,Cash Flow,
Capital Expenditures,,,,,,,-11678.0,-14866.0,-3687.0,-9398.0,Cash Flow,
Acquisition of Business,,,,,,,0.0,,,-142555.0,Cash Flow,
Sale of Fixed Assets,,,,,,,0.0,,,,Cash Flow,
"OtherInvestCashFlowItms,Tot",,,,,,,0.0,,,-142555.0,Cash Flow,
Total Cash from Investing,,,,,,,-11678.0,-14866.0,-3687.0,-151953.0,Cash Flow,
Financing Cash Flow Items,,,,,,,3921.0,2951.0,5344.0,-116102.0,Cash Flow,
Total Cash Dividends Paid,,,,,,,-17418.0,-23256.0,-5874.0,-11773.0,Cash Flow,
"Iss (Retirmnt) of Stock,Net",,,,,,,,,,2466.0,Cash Flow,
Long Term Debt Issued,,,,,,,289164.0,379164.0,110000.0,972000.0,Cash Flow,
Long Term Debt Reduction,,,,,,,-336426.0,-460407.0,-101981.0,-679981.0,Cash Flow,
"Iss (Retirmnt) of Debt, Net",,,,,,,-47262.0,-81243.0,8019.0,292019.0,Cash Flow,
Total Cash From Financing,,,,,,,-60759.0,-101548.0,7489.0,166610.0,Cash Flow,
Foreign Exchange Effects,,,,,,,-1393.0,-1865.0,-113.0,-1422.0,Cash Flow,
Net Change in Cash,,,,,,,4155.0,-6509.0,4017.0,32305.0,Cash Flow,
NetCash-BeginBal/RsvdforFutUse,,,,,,,27356.0,27356.0,20847.0,20847.0,Cash Flow,
NetCash-EndBal/RsrvforFutUse,,,,,,,31511.0,20847.0,24864.0,53152.0,Cash Flow,
"Depreciation, Supplemental",,,,,,,12519.0,16494.0,4032.0,8090.0,Cash Flow,
Free Cash Flow,,,,,,,66307.0,96904.0,-3359.0,9672.0,,
FCF Growth,,,,,,,,0.4614444930399506,-1.0346631717988937,-3.8794284013099136,,0.0
