,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
Additional Paid-In Capital,,,,,,,8997.0,8730.0,15948.0,,Balance Sheet,
Ret. Earn.(Accum. Deficit),,,,,,,7670.0,7511.0,6591.0,,Balance Sheet,
"Other Equity, Total",,,,,,,-210.0,-1650.0,-4591.0,,Balance Sheet,
Total Equity,,,,,,,17582.0,15714.0,19073.0,17451.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,264285.0,266291.0,266075.0,266249.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,596.0,590.0,860.0,860.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Shrs Out-Pref Primary Iss.,,,,,,,0.0,0.0,,,Balance Sheet,
Shrs Out-Pref Stk Iss. 2,,,,,,,0.0,0.0,,,Balance Sheet,
Shrs Out-Pref Stk Iss. 3,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Shrs Out-Pref Stk Iss. 4,,,,,,,259.0,259.0,259.0,259.0,Balance Sheet,
Shrs Out-Pref Stk Iss. 5,,,,,,,23.0,23.0,23.0,23.0,Balance Sheet,
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,0.0,,,Balance Sheet,
Trsry Shrs-Pref. Iss. 2,,,,,,,0.0,0.0,,,Balance Sheet,
Trsry Shrs-Pref. Iss. 3,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Trsry Shrs-Pref. Iss. 4,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Trsry Shrs-Pref. Iss. 5,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,
Total Revenue,,,,,,,4196.0,1192.0,394.0,1858.0,Income Statement,
"Cost of Revenue, Total",,,,,,,1729.0,1036.0,181.0,1280.0,Income Statement,
Selling/Gen/Admin Expense,,,,,,,539.0,407.0,431.0,410.0,Income Statement,
Labor & Related Expense,,,,,,,1010.0,284.0,251.0,245.0,Income Statement,
"Sell/Gen/AdminExpenses,Tot",,,,,,,1549.0,691.0,682.0,654.0,Income Statement,
Depreciation/Amortization,,,,,,,13.0,13.0,13.0,,Income Statement,
Total Operating Expense,,,,,,,3291.0,1740.0,876.0,1935.0,Income Statement,
Total Operating Income,,,,,,,905.0,-548.0,-482.0,-76.0,Income Statement,
"Inter Expse,Net Non-Operat",,,,,,,-275.0,-282.0,-329.0,-392.0,Income Statement,
"Inter Income, Non-Operating",,,,,,,334.0,353.0,392.0,500.0,Income Statement,
"Invest Income, Non-Operat",,,,,,,64.0,1577.0,-1738.0,-85.0,Income Statement,
"Inter/Invest Inc, Non-Oper",,,,,,,398.0,1929.0,-1347.0,415.0,Income Statement,
Income Before Tax,,,,,,,1027.0,1099.0,-2158.0,-52.0,Income Statement,
Income Tax - Total,,,,,,,192.0,-3.0,-153.0,27.0,Income Statement,
Income After Tax,,,,,,,835.0,1103.0,-2004.0,-80.0,Income Statement,
Minority Interest,,,,,,,-310.0,-1159.0,1194.0,5.0,Income Statement,
Net Inc Before Extra Items,,,,,,,525.0,-57.0,-811.0,-74.0,Income Statement,
Total Net Income,,,,,,,525.0,-57.0,-811.0,-74.0,Income Statement,
Total Adjust to Net Income,,,,,,,-17.0,-17.0,-17.0,-17.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,508.0,-74.0,-828.0,-92.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,508.0,-74.0,-828.0,-92.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,587.0,592.0,681.0,860.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.86,-0.12,-1.22,-0.11,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.86,-0.12,-1.22,-0.11,Income Statement,
Diluted Weighted Average Shares,,,,,,,644.0,592.0,681.0,860.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,0.79,-0.12,-1.22,-0.11,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,0.79,-0.12,-1.22,-0.11,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,0.15,0.15,0.16,0.16,Income Statement,
Gross Divid - Common Stock,,,,,,,85.0,86.0,92.0,,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Interest Expense, Suppl",,,,,,,293.0,295.0,348.0,418.0,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,13.0,13.0,13.0,9.0,Income Statement,
Normalzd Income Before Tax,,,,,,,1027.0,1099.0,-2158.0,-52.0,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,192.0,-3.0,-153.0,27.0,Income Statement,
Normalized Income After Tax,,,,,,,835.0,1103.0,-2004.0,-80.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,508.0,-74.0,-828.0,-92.0,Income Statement,
Basic Normalized EPS,,,,,,,0.86,-0.12,-1.22,-0.11,Income Statement,
Diluted Normalized EPS,,,,,,,0.79,-0.12,-1.22,-0.11,Income Statement,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,,Cash Flow,2021-09-30 00:00:00
Net Income,,,,,,,12295.0,1103.0,-902.0,,Cash Flow,11460.0
Unusual Items,,,,,,,-6861.0,-989.0,982.0,,Cash Flow,-7390.0
Other Non-Cash Items,,,,,,,-4288.0,1652.0,3273.0,,Cash Flow,-4075.0
Non-Cash Items,,,,,,,-11148.0,663.0,4256.0,,Cash Flow,-11466.0
"Cash Taxes Pd, Supplemental",,,,,,,659.0,24.0,384.0,,Cash Flow,464.0
"Cash Interest Pd, Suppl",,,,,,,1242.0,330.0,718.0,,Cash Flow,876.0
Other Assets,,,,,,,720.0,793.0,1627.0,,Cash Flow,862.0
Payable/Accrued,,,,,,,976.0,-913.0,-2778.0,,Cash Flow,2025.0
Changes in Working Capital,,,,,,,-8323.0,-849.0,-6501.0,,Cash Flow,-3553.0
Total Cash from Operations,,,,,,,-7177.0,917.0,-3147.0,,Cash Flow,-3558.0
Capital Expenditures,,,,,,,-102.0,-12.0,-34.0,,Cash Flow,-83.0
Acquisition of Business,,,,,,,-474.0,0.0,-1691.0,,Cash Flow,-474.0
Sale/Maturity of Investment,,,,,,,49567.0,13131.0,22592.0,,Cash Flow,32463.0
Purchase of Investments,,,,,,,-58618.0,-15106.0,-27922.0,,Cash Flow,-38215.0
Other Investing Cash Flow,,,,,,,20.0,-11.0,-38.0,,Cash Flow,-709.0
"OtherInvestCashFlowItms,Tot",,,,,,,-9503.0,-1986.0,-7058.0,,Cash Flow,-6935.0
Total Cash from Investing,,,,,,,-9606.0,-1998.0,-7092.0,,Cash Flow,-7017.0
Financing Cash Flow Items,,,,,,,12786.0,4565.0,9700.0,,Cash Flow,10414.0
Cash Divids Paid - Common,,,,,,,-331.0,-86.0,-178.0,,Cash Flow,-247.0
Cash Divs Paid - Preferred,,,,,,,-88.0,-17.0,-35.0,,Cash Flow,-71.0
Total Cash Dividends Paid,,,,,,,-420.0,-103.0,-212.0,,Cash Flow,-318.0
Sale/Issuance of Common,,,,,,,38.0,0.0,0.0,,Cash Flow,38.0
Repurch/Retirement Common,,,,,,,-270.0,-347.0,-347.0,,Cash Flow,-136.0
"Common Stock, Net",,,,,,,-398.0,-347.0,-382.0,,Cash Flow,-204.0
"Preferred Stock, Net",,,,,,,-500.0,,0.0,,Cash Flow,-500.0
"Iss (Retirmnt) of Stock,Net",,,,,,,-898.0,-347.0,-382.0,,Cash Flow,-704.0
Total Debt Issued,,,,,,,30369.0,5516.0,13066.0,,Cash Flow,20615.0
Total Debt Reduction,,,,,,,-21474.0,-5484.0,-9868.0,,Cash Flow,-13881.0
"Iss (Retirmnt) of Debt, Net",,,,,,,8896.0,32.0,3198.0,,Cash Flow,6734.0
Total Cash From Financing,,,,,,,20364.0,4146.0,12305.0,,Cash Flow,16126.0
Foreign Exchange Effects,,,,,,,-49.0,-49.0,-220.0,,Cash Flow,-31.0
Net Change in Cash,,,,,,,3533.0,3016.0,1846.0,,Cash Flow,5519.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,6993.0,10526.0,10526.0,,Cash Flow,6993.0
NetCash-EndBal/RsrvforFutUse,,,,,,,10526.0,13542.0,12372.0,,Cash Flow,12513.0
Free Cash Flow,,,,,,,-7279.0,905.0,-3181.0,,,-3641.0
FCF Growth,,,,,,,,-1.1243302651463114,-4.514917127071824,0.0,,0.1446086136435083
