,2017,2018,2019,2020,2021,2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Report,Q3 2022
"Cash Taxes Pd, Supplemental",,,,,,,387.0,18.0,103.0,,Cash Flow,313.0
"Cash Interest Pd, Suppl",,,,,,,11.0,8.0,8.0,,Cash Flow,7.0
Accounts Receivable,,,,,,,10.0,0.0,,,Cash Flow,8.0
Inventories,,,,,,,-259.0,-150.0,-413.0,,Cash Flow,-306.0
Accounts Payable,,,,,,,161.0,-25.0,10.0,,Cash Flow,122.0
Accrued Expenses,,,,,,,1.0,-80.0,-69.0,,Cash Flow,16.0
Changes in Working Capital,,,,,,,-307.0,-245.0,-482.0,,Cash Flow,-262.0
Total Cash from Operations,,,,,,,666.0,-21.0,-102.0,,Cash Flow,498.0
Capital Expenditures,,,,,,,-209.0,-95.0,-156.0,,Cash Flow,-137.0
Acquisition of Business,,,,,,,-1056.0,-7.0,-12.0,,Cash Flow,-737.0
Sale of Business,,,,,,,,,47.0,,Cash Flow,
Sale of Fixed Assets,,,,,,,3.0,0.0,,,Cash Flow,3.0
Sale/Maturity of Investment,,,,,,,,,12.0,,Cash Flow,
Purchase of Investments,,,,,,,-118.0,-3.0,-4.0,,Cash Flow,-115.0
Other Investing Cash Flow,,,,,,,4.0,0.0,,,Cash Flow,3.0
"OtherInvestCashFlowItms,Tot",,,,,,,-1167.0,-10.0,43.0,,Cash Flow,-846.0
Total Cash from Investing,,,,,,,-1376.0,-105.0,-113.0,,Cash Flow,-983.0
Financing Cash Flow Items,,,,,,,-2.0,,4.0,,Cash Flow,-2.0
Total Cash Dividends Paid,,,,,,,-101.0,-38.0,-76.0,,Cash Flow,-72.0
Sale/Issuance of Common,,,,,,,7.0,,3.0,,Cash Flow,7.0
Repurch/Retirement Common,,,,,,,-359.0,-90.0,-130.0,,Cash Flow,-181.0
"Common Stock, Net",,,,,,,-352.0,-90.0,-127.0,,Cash Flow,-174.0
Options Exercised,,,,,,,10.0,2.0,3.0,,Cash Flow,10.0
"Iss (Retirmnt) of Stock,Net",,,,,,,-342.0,-88.0,-124.0,,Cash Flow,-164.0
Long Term Debt Issued,,,,,,,395.0,,,,Cash Flow,395.0
Long Term Debt Reduction,,,,,,,-102.0,-2.0,-3.0,,Cash Flow,-3.0
"Iss (Retirmnt) of Debt, Net",,,,,,,293.0,-2.0,-3.0,,Cash Flow,392.0
Total Cash From Financing,,,,,,,-152.0,-128.0,-199.0,,Cash Flow,154.0
Foreign Exchange Effects,,,,,,,-6.0,-1.0,-5.0,,Cash Flow,-2.0
Net Change in Cash,,,,,,,-868.0,-255.0,-419.0,,Cash Flow,-333.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,1718.0,850.0,850.0,,Cash Flow,1718.0
NetCash-EndBal/RsrvforFutUse,,,,,,,850.0,595.0,431.0,,Cash Flow,1385.0
"Depreciation, Supplemental",,,,,,,197.0,54.0,105.0,,Cash Flow,142.0
Free Cash Flow,,,,,,,457.0,-116.0,-258.0,,,361.0
FCF Growth,,,,,,,,-1.2538293216630196,1.2241379310344827,0.0,,-2.39922480620155
