,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report,Q3 2021
Treasury Stock - Common,,,,,,,-75.0,-76.0,-89.0,,Balance Sheet,
Unrealized Gain (Loss),,,,,,,5.0,-6.0,-21.0,-33.0,Balance Sheet,
Total Equity,,,,,,,587.0,595.0,592.0,591.0,Balance Sheet,
Total Liabilities & Shareholders’ Equity,,,,,,,6046.0,6142.0,6233.0,6293.0,Balance Sheet,
Ttl Comm. Shares Outs.,,,,,,,15.0,15.0,15.0,14.0,Balance Sheet,
Trsy. Shrs-Comm. Primary Iss.,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet,
Trsry Shrs-Pref. Iss. 1,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement,
Interest & Fees on Loans,,,,,,,51906.0,52119.0,58541.0,71192.0,Income Statement,
Inter & Divs/ Invest Securs,,,,,,,2867.0,2886.0,3972.0,7111.0,Income Statement,
Fed. Fund/Resale,,,,,,,18.0,19.0,46.0,117.0,Income Statement,
"Interest Income, Bank",,,,,,,54791.0,55024.0,62559.0,78420.0,Income Statement,
Interest on Deposit,,,,,,,4049.0,3667.0,4810.0,10305.0,Income Statement,
Inter on Other Borrowings,,,,,,,1325.0,1325.0,1325.0,1325.0,Income Statement,
Total Interest Expense,,,,,,,5374.0,4992.0,6135.0,11630.0,Income Statement,
Net Interest Income,,,,,,,49417.0,50032.0,56424.0,66790.0,Income Statement,
Loan Loss Provision,,,,,,,,-250.0,2900.0,2700.0,Income Statement,
NetInterIn after Loan Loss Provision,,,,,,,49417.0,50282.0,53524.0,64090.0,Income Statement,
Fees & Commish from Operat,,,,,,,719.0,933.0,1329.0,956.0,Income Statement,
Fees for Other Cust Serv,,,,,,,581.0,671.0,723.0,703.0,Income Statement,
Invest Securities Gains,,,,,,,0.0,0.0,,,Income Statement,
Other Revenue,,,,,,,666.0,662.0,549.0,528.0,Income Statement,
"Non-Interest Income, Bank",,,,,,,1966.0,2266.0,2601.0,2187.0,Income Statement,
Labor & Related Expenses,,,,,,,-10278.0,-11640.0,-11688.0,-12326.0,Income Statement,
Real Estate Operat Expnse,,,,,,,0.0,-16.0,-385.0,-314.0,Income Statement,
Other Unusual Expense,,,,,,,900.0,,,,Income Statement,
Other Expense,,,,,,,-4528.0,-4501.0,-5067.0,-4760.0,Income Statement,
"Non-Interest Expense, Bank",,,,,,,-13906.0,-16157.0,-17140.0,-17400.0,Income Statement,
Income Before Tax,,,,,,,37477.0,36391.0,38985.0,48877.0,Income Statement,
Income Tax - Total,,,,,,,11056.0,10364.0,10916.0,13688.0,Income Statement,
Income After Tax,,,,,,,26421.0,26027.0,28069.0,35189.0,Income Statement,
Net Inc Before Extra Items,,,,,,,26421.0,26027.0,28069.0,35189.0,Income Statement,
Total Net Income,,,,,,,26421.0,26027.0,28069.0,35189.0,Income Statement,
Total Adjust to Net Income,,,,,,,-3.0,-1.0,0.0,0.0,Income Statement,
Income Available to Common Excl. Extra. Items,,,,,,,26418.0,26026.0,28069.0,35189.0,Income Statement,
Income Available to Common Incl. Extra. Items,,,,,,,26418.0,26026.0,28069.0,35189.0,Income Statement,
Basic/Primary Weighted Average Shares,,,,,,,14675.0,14765.0,14792.0,14408.0,Income Statement,
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.8,1.76,1.9,2.44,Income Statement,
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.8,1.76,1.9,2.44,Income Statement,
Diluted Weighted Average Shares,,,,,,,14675.0,14979.0,15007.0,14644.0,Income Statement,
Diluted EPS Excl. Extra. Items,,,,,,,1.8,1.74,1.87,2.4,Income Statement,
Diluted EPS Incl. Extra. Items,,,,,,,1.8,1.74,1.87,2.4,Income Statement,
Div/Share-ComStockPrimIssue,,,,,,,0.43,0.43,0.43,0.43,Income Statement,
Gross Divid - Common Stock,,,,,,,1231.0,6369.0,6286.0,,Income Statement,
Pro Forma Net Income,,,,,,,,,,,Income Statement,
"Depreciat/Amort, Suppl",,,,,,,482.0,486.0,482.0,,Income Statement,
Total Special Items,,,,,,,-900.0,,,,Income Statement,
Normalzd Income Before Tax,,,,,,,36577.0,36391.0,38985.0,48877.0,Income Statement,
Efct/SpecItemsIncTxs (STEC),,,,,,,-266.0,,,,Income Statement,
IncTxsExcl ImpctofSpec Itms,,,,,,,10790.0,10364.0,10916.0,13688.0,Income Statement,
Normalized Income After Tax,,,,,,,25787.0,26027.0,28069.0,35189.0,Income Statement,
Normalzd Inc Avail to Common,,,,,,,25784.0,26026.0,28069.0,35189.0,Income Statement,
Basic Normalized EPS,,,,,,,1.76,1.76,1.9,2.44,Income Statement,
Diluted Normalized EPS,,,,,,,1.76,1.74,1.87,2.4,Income Statement,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,,Cash Flow,2021-09-30 00:00:00
Net Income,,,,,,,95.0,26.0,54.0,,Cash Flow,69.0
Depreciation/Depletion,,,,,,,2.0,0.0,1.0,,Cash Flow,1.0
Deferred Taxes,,,,,,,-1.0,,,,Cash Flow,
Unusual Items,,,,,,,0.0,,,,Cash Flow,
Other Non-Cash Items,,,,,,,11.0,3.0,6.0,,Cash Flow,13.0
Non-Cash Items,,,,,,,11.0,3.0,6.0,,Cash Flow,13.0
"Cash Taxes Pd, Supplemental",,,,,,,29.0,1.0,12.0,,Cash Flow,22.0
"Cash Interest Pd, Suppl",,,,,,,26.0,4.0,11.0,,Cash Flow,13.0
Loan Loss Provision,,,,,,,-1.0,0.0,3.0,,Cash Flow,0.0
Other Assets,,,,,,,8.0,-3.0,-5.0,,Cash Flow,4.0
Changes in Working Capital,,,,,,,13.0,3.0,1.0,,Cash Flow,7.0
Total Cash from Operations,,,,,,,120.0,32.0,62.0,,Cash Flow,90.0
Capital Expenditures,,,,,,,-1.0,0.0,0.0,,Cash Flow,-1.0
Sale of Fixed Assets,,,,,,,0.0,,,,Cash Flow,0.0
Sale/Maturity of Investment,,,,,,,50.0,13.0,23.0,,Cash Flow,40.0
Purchase of Investments,,,,,,,-282.0,-7.0,-10.0,,Cash Flow,-287.0
Loans,,,,,,,-388.0,-180.0,-499.0,,Cash Flow,-286.0
Other Investing Cash Flow,,,,,,,0.0,,-14.0,,Cash Flow,
"OtherInvestCashFlowItms,Tot",,,,,,,-619.0,-174.0,-499.0,,Cash Flow,-532.0
Total Cash from Investing,,,,,,,-620.0,-174.0,-499.0,,Cash Flow,-533.0
Financing Cash Flow Items,,,,,,,783.0,84.0,182.0,,Cash Flow,751.0
Total Cash Dividends Paid,,,,,,,-21.0,-6.0,-13.0,,Cash Flow,-16.0
"Iss (Retirmnt) of Stock,Net",,,,,,,-18.0,-1.0,-14.0,,Cash Flow,-18.0
Long Term Debt Issued,,,,,,,148.0,,,,Cash Flow,148.0
Long Term Debt Reduction,,,,,,,-100.0,,,,Cash Flow,-100.0
"Iss (Retirmnt) of Debt, Net",,,,,,,48.0,,,,Cash Flow,48.0
Total Cash From Financing,,,,,,,792.0,77.0,156.0,,Cash Flow,766.0
Net Change in Cash,,,,,,,291.0,-65.0,-282.0,,Cash Flow,323.0
NetCash-BeginBal/RsvdforFutUse,,,,,,,759.0,1051.0,1051.0,,Cash Flow,759.0
NetCash-EndBal/RsrvforFutUse,,,,,,,1051.0,985.0,769.0,,Cash Flow,1083.0
"Depreciation, Supplemental",,,,,,,2.0,0.0,1.0,,Cash Flow,1.0
Free Cash Flow,,,,,,,119.0,32.0,62.0,,,89.0
FCF Growth,,,,,,,,-0.73109243697479,0.9375,0.0,,0.435483870967742
