,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,-87931.0,-47848.0,-101915.0,-155671.0,Cash Flow
Depreciation/Depletion,,52.0,35.0,140.0,305.0,Cash Flow
Unusual Items,,5228.0,0.0,0.0,0.0,Cash Flow
Other Non-Cash Items,,3113.0,4393.0,9979.0,15366.0,Cash Flow
Non-Cash Items,,8341.0,4393.0,9979.0,15366.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,27.0,Cash Flow
Accounts Receivable,,,,,-137.0,Cash Flow
Inventories,,,,,-563.0,Cash Flow
Prepaid Expenses,,-4486.0,-4890.0,-4053.0,-2879.0,Cash Flow
Other Assets,,125.0,-82.0,334.0,752.0,Cash Flow
Accounts Payable,,670.0,5020.0,3755.0,2654.0,Cash Flow
Accrued Expenses,,8430.0,2738.0,4664.0,9999.0,Cash Flow
Changes in Working Capital,,4739.0,2786.0,4700.0,9826.0,Cash Flow
Total Cash from Operations,,-74799.0,-40634.0,-87096.0,-130174.0,Cash Flow
Capital Expenditures,,-353.0,-342.0,-1447.0,-1906.0,Cash Flow
Sale/Maturity of Investment,,3000.0,24911.0,60911.0,145411.0,Cash Flow
Purchase of Investments,,-49053.0,-123880.0,-154313.0,-154313.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,-46053.0,-98969.0,-93402.0,-8902.0,Cash Flow
Total Cash from Investing,,-46406.0,-99311.0,-94849.0,-10808.0,Cash Flow
Financing Cash Flow Items,,-2733.0,-442.0,-1518.0,-1518.0,Cash Flow
"Common Stock, Net",,,200897.0,200897.0,200897.0,Cash Flow
"Preferred Stock, Net",,135000.0,,,0.0,Cash Flow
Options Exercised,,343.0,0.0,248.0,248.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,135343.0,200897.0,201145.0,201145.0,Cash Flow
Long Term Debt Issued,,26159.0,0.0,0.0,0.0,Cash Flow
Long Term Debt Reduction,,-263.0,,0.0,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,25896.0,0.0,0.0,0.0,Cash Flow
Total Cash From Financing,,158506.0,200455.0,199627.0,199627.0,Cash Flow
Foreign Exchange Effects,,13.0,-68.0,-203.0,-572.0,Cash Flow
Net Change in Cash,,37314.0,60442.0,17479.0,58073.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,13066.0,50380.0,50380.0,50380.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,50380.0,110822.0,67859.0,108453.0,Cash Flow
"Depreciation, Supplemental",,52.0,35.0,140.0,305.0,Cash Flow
Free Cash Flow,,-75152.0,-40976.0,-88543.0,-132080.0,
FCF Growth,,,-0.4547583563977007,1.1608502538071064,0.49170459550726764,
