,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
Trsry Shrs-Pref. Iss. 1,,0.0,,,,Balance Sheet
Date,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Income Statement
Total Revenue,,26427.0,31800.0,37526.0,46467.0,Income Statement
"Cost of Revenue, Total",,10473.0,12688.0,13757.0,18804.0,Income Statement
Selling/Gen/Admin Expense,,7126.0,7887.0,9328.0,8818.0,Income Statement
Labor & Related Expense,,582.0,681.0,2179.0,2380.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,7708.0,8568.0,11507.0,11198.0,Income Statement
Research & Development,,11800.0,10995.0,15461.0,16683.0,Income Statement
Unusual Expense (Income),,,,3134.0,,Income Statement
Total Operating Expense,,29981.0,32251.0,43859.0,46685.0,Income Statement
Total Operating Income,,-3554.0,-451.0,-6333.0,-218.0,Income Statement
"Other, Net",,55.0,-80.0,-175.0,-220.0,Income Statement
Income Before Tax,,-3499.0,-531.0,-6508.0,-438.0,Income Statement
Income Tax - Total,,601.0,-387.0,-1153.0,-365.0,Income Statement
Income After Tax,,-4100.0,-144.0,-5355.0,-73.0,Income Statement
Net Inc Before Extra Items,,-4100.0,-144.0,-5355.0,-73.0,Income Statement
Total Net Income,,-4100.0,-144.0,-5355.0,-73.0,Income Statement
Total Adjust to Net Income,,,,0.0,,Income Statement
Income Available to Common Excl. Extra. Items,,-4100.0,-144.0,-5355.0,-73.0,Income Statement
Income Available to Common Incl. Extra. Items,,-4100.0,-144.0,-5355.0,-73.0,Income Statement
Basic/Primary Weighted Average Shares,,139947.0,141020.0,144495.0,145077.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,-0.03,0.0,-0.04,0.0,Income Statement
Basic/Primary EPS Incl. Extra. Items,,-0.03,0.0,-0.04,0.0,Income Statement
Diluted Weighted Average Shares,,139947.0,141020.0,144495.0,145077.0,Income Statement
Diluted EPS Excl. Extra. Items,,-0.03,0.0,-0.04,0.0,Income Statement
Diluted EPS Incl. Extra. Items,,-0.03,0.0,-0.04,0.0,Income Statement
Div/Share-ComStockPrimIssue,,0.0,0.0,,0.0,Income Statement
Gross Divid - Common Stock,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,Income Statement
"Depreciat/Amort, Suppl",,1133.0,1300.0,1500.0,1636.0,Income Statement
Total Special Items,,,,3134.0,,Income Statement
Normalzd Income Before Tax,,-3499.0,-531.0,-3374.0,-438.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,1097.0,,Income Statement
IncTxsExcl ImpctofSpec Itms,,601.0,-387.0,-56.0,-365.0,Income Statement
Normalized Income After Tax,,-4100.0,-144.0,-3318.0,-73.0,Income Statement
Normalzd Inc Avail to Common,,-4100.0,-144.0,-3318.0,-73.0,Income Statement
Basic Normalized EPS,,-0.03,0.0,-0.02,0.0,Income Statement
Diluted Normalized EPS,,-0.03,0.0,-0.02,0.0,Income Statement
Date,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,Cash Flow
Net Income,,-16677.0,-16821.0,-22176.0,-73.0,Cash Flow
Depreciation/Depletion,,2000.0,3262.0,4793.0,1636.0,Cash Flow
Unusual Items,,,1663.0,6971.0,1299.0,Cash Flow
Other Non-Cash Items,,2382.0,3820.0,9188.0,5546.0,Cash Flow
Non-Cash Items,,2382.0,5483.0,16159.0,6845.0,Cash Flow
Accounts Receivable,,-15335.0,-8049.0,-15879.0,-21205.0,Cash Flow
Inventories,,-14183.0,-20274.0,-21677.0,-10605.0,Cash Flow
Prepaid Expenses,,-124.0,-585.0,2808.0,1540.0,Cash Flow
Other Assets,,-1691.0,-2164.0,-1654.0,-560.0,Cash Flow
Accounts Payable,,3135.0,3245.0,4748.0,9714.0,Cash Flow
Accrued Expenses,,5015.0,5890.0,9601.0,-1281.0,Cash Flow
Changes in Working Capital,,-22624.0,-25116.0,-29608.0,-20627.0,Cash Flow
Total Cash from Operations,,-34919.0,-33192.0,-30832.0,-12219.0,Cash Flow
Total Cash from Investing,,-4985.0,-7932.0,-17580.0,-5258.0,Cash Flow
Financing Cash Flow Items,,-948.0,-3056.0,,0.0,Cash Flow
Sale/Issuance of Common,,,171889.0,194205.0,,Cash Flow
Repurch/Retirement Common,,0.0,0.0,0.0,,Cash Flow
"Common Stock, Net",,0.0,171889.0,194205.0,,Cash Flow
"Preferred Stock, Net",,7245.0,7245.0,7245.0,0.0,Cash Flow
Options Exercised,,869.0,1936.0,2731.0,1977.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,8114.0,181070.0,204181.0,1977.0,Cash Flow
Total Cash From Financing,,7166.0,178014.0,204181.0,1977.0,Cash Flow
Foreign Exchange Effects,,28.0,-118.0,-204.0,-39.0,Cash Flow
Net Change in Cash,,-32710.0,136772.0,155565.0,-15539.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,103757.0,103757.0,103757.0,259322.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,71047.0,240529.0,259322.0,243783.0,Cash Flow
"Depreciation, Supplemental",,2000.0,3262.0,4793.0,1636.0,Cash Flow
Free Cash Flow,,,,,,
FCF Growth,,,,,,
